Y,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
264700.0,3.5905,37,1635,427,1027,408,34.42,-119.72,2346.63886497318,141740.034393873,303495.791546945,378689.754178084,445401.923386232
351900.0,7.875,30,1631,212,523,216,33.89,-117.91,24422.8689540643,35669.0329824132,147962.249708625,525648.489164051,593682.532023665
167600.0,4.875,40,513,100,399,99,33.91,-118.1,18615.6162449893,20631.4763780639,158890.610513021,512364.855890124,580391.766999529
277800.0,4.6518,24,3571,722,1409,543,33.46,-117.67,14033.3477251553,84554.4738643809,95376.9073312268,576246.443071999,644268.178334685
181400.0,4.0972,30,3236,588,1167,569,38.52,-121.51,49528.8726953655,576534.245554711,755460.755447412,135929.11286374,115636.441365322
162500.0,4.1387,4,3746,993,1606,838,37.55,-121.96,12546.694691731,513318.585898408,692158.250580915,24575.3889451315,48387.1235427339
120000.0,3.1346,50,1843,326,892,314,33.95,-118.3,13326.1063054137,12497.3356078844,173291.908076436,497032.922266917,565023.16187811
205400.0,4.5828,17,5276,1020,4066,984,34.16,-119.17,5857.75662936396,86122.8871295556,246035.023914494,430142.903293959,497544.825904516
43700.0,1.5069,32,1393,343,1282,336,35.88,-119.27,151351.520909892,223718.793555037,401626.433588042,284604.07930239,351421.661049874
175500.0,3.1467,41,1743,373,780,357,38.45,-122.72,30159.1929870347,632466.661027721,811584.459500747,143610.315981062,79300.8275859835
159900.0,4.2054,10,3657,695,2079,663,34.04,-117.66,52496.8369978508,53794.5873410736,154366.087499037,529439.566336217,597367.967347101
274300.0,6.0743,3,1618,266,710,246,33.55,-117.69,9220.75493867655,75737.1007831294,105028.385547269,567447.237697828,635477.970341064
155000.0,3.775,9,2356,469,1556,386,34.43,-118.66,44279.2642841202,56823.8816061859,235829.676981926,434926.706815991,502951.715373614
59000.0,1.9362,33,2143,488,1732,509,35.6,-119.34,130872.871261198,199078.231555373,378196.189342937,298907.830608579,366586.439188424
463600.0,3.6019,20,4374,1311,2165,1185,34.03,-118.41,8976.32036473518,15522.633773493,186561.419129799,483712.421367845,551692.190071351
252300.0,6.4391,34,495,90,269,93,33.86,-118.32,6740.25346201675,22504.6749129257,166709.348774511,503607.626606052,571554.485022707
59500.0,2.1759,35,1387,272,610,237,39.93,-122.18,141338.151664447,740998.178969594,919204.401979358,289571.788202458,240724.632943825
81100.0,2.7468,14,4453,797,1817,685,41.54,-122.38,141186.168067203,908165.865122914,1084272.56832845,469385.434048471,418786.206212485
121500.0,2.2054,47,1671,388,895,317,34.0,-118.33,16356.1115775546,9849.50030431011,179381.473463393,490991.5531015,558988.344967567
249500.0,6.4696,10,3486,469,1700,483,32.97,-117.13,12881.9732494355,158560.933923904,28421.6350350674,650297.383578562,718324.460213211
187400.0,3.5329,31,2043,468,1524,454,33.84,-117.9,21213.2871284414,39521.8192150609,142639.709747375,530402.70793138,598437.822522648
402200.0,5.4188,10,3484,582,1469,556,33.48,-117.65,14395.6132536392,84025.8373855512,96416.3578692316,575762.343223563,643789.66462089
223900.0,4.325,37,1228,237,572,242,33.81,-118.13,7225.41733602189,28905.2808890346,151394.145307143,519039.107194808,587038.188155908
169200.0,5.3129,15,3029,555,1559,546,33.05,-117.24,9217.12678055427,145155.068108546,37891.8753180275,636877.984009801,704901.569584356
97300.0,2.2083,47,2310,484,1126,447,37.5,-120.84,86307.2139974239,449210.559513555,628353.07207133,94778.7531712284,143392.736531297
271400.0,5.7695,3,4778,1047,2522,990,37.38,-121.89,19324.6514416343,495178.063543469,673808.482552788,4957.62713743522,64765.6303381781
500001.0,7.2675,11,3184,641,911,463,34.06,-118.43,8471.21125273212,17185.9359124464,190317.109162004,479967.556704442,547951.083275256
193800.0,2.6083,52,1963,565,1628,524,37.77,-122.41,3071.54847316259,558154.791592216,736649.988538772,66418.220729086,1923.28919149078
500001.0,3.6607,25,1188,264,569,249,33.62,-117.94,1120.70337301617,55648.151393122,123960.287006147,546519.700039096,614518.428228254
96100.0,2.1607,48,1514,376,1353,344,34.0,-118.28,18891.6218299872,6703.53136130576,176610.015703242,493961.535140703,561972.108923729
165000.0,2.4779,21,2050,608,1131,550,32.75,-117.23,7320.89508084379,172688.822008036,7487.72429792333,663264.360074083,731219.660631999
302000.0,6.8588,3,8874,1302,3191,1027,33.64,-117.49,29867.7582792478,83341.2753020003,107235.151719978,572370.682754101,640388.341328967
125000.0,1.3444,47,1927,561,1349,508,34.03,-118.34,15381.2309305243,9212.62438537213,182592.14997597,487844.024893241,555846.881865534
356200.0,7.5,29,6349,858,2450,778,37.89,-122.02,18686.3625948683,545408.110863053,724624.906459209,62665.8956150251,38356.3174890831
309300.0,4.1875,24,2814,675,1463,620,34.17,-118.46,17495.7631612018,23834.4875497067,201673.212976577,468822.876550113,536832.168504
450000.0,2.879,52,1925,568,867,515,37.77,-122.42,3769.75401221375,558759.883301336,737236.735014549,67026.1570490969,1086.74196240573
123400.0,3.5036,29,1840,388,1278,368,34.07,-117.67,54143.3997909022,52883.5925005927,157824.38891353,526432.032449922,594348.548759395
294300.0,6.3568,18,4173,625,1649,634,33.49,-117.68,11414.3866800359,81382.3208920559,98734.1007804218,573107.032601211,641131.824202622
55900.0,1.7132,21,1551,423,1519,406,36.69,-119.55,185739.954605133,316308.585950901,492882.965868034,220061.42866057,282113.186007824
500001.0,7.7517,11,1412,185,529,166,33.01,-116.99,26665.0180961629,164113.521740187,36414.1319957211,655486.411511443,723521.159478893
45500.0,1.2545,41,1576,417,1567,366,36.75,-119.76,177324.412150913,329947.975434476,507519.345443046,200190.605204144,262378.750740754
255400.0,2.3482,17,3852,1066,2986,993,34.17,-118.29,26160.1276895111,13771.6525114308,192663.917615245,479089.568357298,547124.064377121
238900.0,5.4727,34,2765,515,1422,438,34.21,-118.15,39167.4476223587,19547.3176566213,189793.352003371,484486.77001441,552508.188250212
252300.0,6.4391,34,495,90,269,93,33.86,-118.32,6740.25346201675,22504.6749129257,166709.348774511,503607.626606052,571554.485022707
384600.0,4.6667,43,403,77,156,85,34.27,-119.28,1799.90296389831,98377.1184139433,261668.539139165,414347.23256726,481720.513079452
56100.0,3.1071,24,544,112,442,106,36.28,-119.81,136673.567159843,285706.479602684,464708.213532984,219457.162989793,285891.447467675
500001.0,4.0217,52,2402,506,878,464,34.06,-118.37,13415.0802079143,11668.7931220563,186920.411440962,483511.962476602,551514.996896212
