Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Y
11.0,95,5.5,65.0,partly cloudy,997.77,2,Autumn,4.0,coastal,Rainy
9.0,73,10.0,84.0,overcast,1000.06,14,Spring,8.0,mountain,Cloudy
34.0,52,7.0,13.0,overcast,1009.3,1,Summer,8.0,coastal,Cloudy
41.0,79,14.0,17.0,overcast,959.01,14,Summer,1.0,mountain,Rainy
32.0,98,5.5,89.0,overcast,1006.51,2,Spring,2.5,coastal,Rainy
-2.0,74,0.5,58.0,overcast,984.23,1,Winter,3.0,inland,Snowy
0.0,77,2.0,82.0,overcast,984.62,0,Winter,2.5,inland,Snowy
14.0,77,14.5,95.0,partly cloudy,1012.02,3,Spring,4.0,inland,Rainy
40.0,96,1.0,88.0,clear,1021.63,0,Summer,7.5,mountain,Sunny
-10.0,60,1.5,98.0,overcast,993.36,1,Winter,2.0,inland,Snowy
32.0,71,11.5,15.0,overcast,1013.15,3,Summer,7.5,coastal,Cloudy
-5.0,60,17.0,51.0,partly cloudy,985.52,1,Winter,4.0,inland,Snowy
43.0,26,3.0,4.0,partly cloudy,1018.23,7,Autumn,9.0,mountain,Sunny
-9.0,61,1.5,86.0,overcast,1006.14,14,Autumn,17.0,inland,Rainy
-8.0,109,6.5,80.0,overcast,990.07,14,Winter,2.0,mountain,Snowy
42.0,33,2.0,14.0,clear,1015.7,5,Autumn,9.0,inland,Sunny
34.0,68,10.5,62.0,overcast,1012.09,2,Summer,2.0,coastal,Rainy
24.0,70,2.5,48.0,partly cloudy,1006.77,1,Winter,5.5,inland,Cloudy
16.0,79,11.0,25.0,partly cloudy,1000.39,1,Summer,6.0,mountain,Cloudy
11.0,88,7.0,74.0,overcast,1017.24,0,Spring,2.5,mountain,Rainy
21.0,94,25.5,98.0,overcast,1010.98,8,Winter,4.0,inland,Rainy
25.0,33,1.5,19.0,clear,1015.54,5,Winter,9.0,inland,Sunny
11.0,86,11.0,82.0,overcast,1001.8,1,Spring,1.5,coastal,Rainy
