,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.7330960854092526,0.8116889699918897,0.7295634920634921,0.05309457374961031,0.0029921531677246094,0.0,4.039198398590088,"{'C': 0.1, 'class_weight': 'balanced', 'solver': 'liblinear'}"
KNN,0.9110320284697508,0.971588605028386,0.8816825396825397,0.017401806725138278,0.0019941329956054688,0.003989696502685547,0.317150354385376,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}"
Decision Tree,0.8220640569395018,0.8414436334144363,0.7989285714285714,0.035285771408532195,0.01296687126159668,0.0,0.9175479412078857,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Random Forest,0.8932384341637011,0.9608171127331713,0.8611904761904763,0.021806196460676778,0.554548978805542,0.020913362503051758,43.63830828666687,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
Gradient Boosting,0.8790035587188612,0.9591950527169506,0.8585396825396826,0.006554152584413394,1.060163974761963,0.0019943714141845703,32.80490183830261,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
XGBoost,0.8861209964412812,0.9669505271695054,0.8594325396825397,0.003470795625301593,0.13264751434326172,0.0029914379119873047,8.546468734741211,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}"
LightGBM,0.8932384341637011,0.9718673965936739,0.87809126984127,0.01809356891493819,0.41788315773010254,0.009973287582397461,23.491182804107666,"{'learning_rate': 0.05, 'n_estimators': 400, 'num_leaves': 50}"
CatBoost,0.9323843416370107,0.9763787510137876,0.8896746031746032,0.012104785216800532,2.733827590942383,0.0009970664978027344,85.3363184928894,"{'depth': 8, 'iterations': 400, 'learning_rate': 0.05}"
MLP,0.8916083916083916,0.955154538341158,0.9053575539899619,0.011859792315718896,4.996886253356934,0.00099945068359375,320.0632977485657,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.9125874125874126,0.9608274647887324,0.9062093005439363,0.01939166389540305,9.80677604675293,0.0009963512420654297,110.15839505195618,"{'hidden_dim_0': 178, 'hidden_dim_1': 77, 'hidden_dim_2': 250, 'learning_rate': 0.014311703697406497, 'batch_size': 64, 'num_epochs': 93}"
DCN,0.9020979020979021,0.9596537558685446,0.8957021374396691,0.0033796235907577153,12.533483743667603,0.001994609832763672,159.11850261688232,"{'cross_layers': 3, 'hidden_layer_0': 245, 'hidden_layer_1': 190, 'hidden_layer_2': 180, 'learning_rate': 0.0019371893276934624, 'batch_size': 32, 'num_epochs': 51}"
Wide_and_Deep,0.8986013986013986,0.9614632237871674,0.9141078679230829,0.014586887241429664,6.399886608123779,0.0019960403442382812,71.74614715576172,"{'hidden_layer_0': 128, 'hidden_layer_1': 190, 'hidden_layer_2': 82, 'learning_rate': 0.017508490509995492, 'batch_size': 64, 'num_epochs': 58}"
XGBoost + NN,0.8391608391608392,0.9243446791862285,0.8484026660537808,0.01697928655451811,4.345380067825317,0.0,50.43613004684448,"{'n_estimators': 242, 'max_depth': 5, 'xgb_learning_rate': 0.06091590060838292, 'subsample': 0.8129585096109597, 'colsample_bytree': 0.7384452755163059, 'use_hidden_layer_0': False, 'use_hidden_layer_1': False, 'use_hidden_layer_2': True, 'hidden_layer_2': 152, 'nn_learning_rate': 0.0004625876873984398, 'batch_size': 32, 'num_epochs': 40}"
LightGBM + NN,0.8601398601398601,0.93285406885759,0.8536505018003524,0.011105686787809998,9.293148279190063,0.0009975433349609375,95.73699140548706,"{'n_estimators': 273, 'max_depth': 7, 'lgb_learning_rate': 0.012571214860371225, 'num_leaves': 98, 'subsample': 0.9559240758869565, 'colsample_bytree': 0.7207506247968168, 'hidden_layer_0': 119, 'hidden_layer_1': 137, 'hidden_layer_2': 133, 'nn_learning_rate': 0.0013211099226694283, 'batch_size': 64, 'num_epochs': 95}"
AutoInt + NN,0.8916083916083916,0.9667938184663536,0.9044932199494369,0.017901594285312815,20.94698667526245,0.0019941329956054688,207.08723068237305,"{'num_heads': 4, 'embedding_dim': 24, 'num_layers': 1, 'hidden_layer_0': 235, 'hidden_layer_1': 227, 'hidden_layer_2': 188, 'nn_learning_rate': 0.01705434416798736, 'batch_size': 32, 'num_epochs': 82}"
FT-Transformer,0.916083916083916,0.9629303599374022,0.9009921090936949,0.01954338571963857,2.3377468585968018,0.0,139.1877954006195,"{'num_heads': 8, 'embedding_dim': 16, 'num_layers': 1, 'hidden_layer_0': 91, 'hidden_layer_1': 184, 'hidden_layer_2': 111, 'nn_learning_rate': 0.018022422207719803, 'batch_size': 128, 'num_epochs': 38}"
Neural Architecture Search,0.9055944055944056,0.9633949530516431,0.9141116984601242,0.012882532878090828,4.052164554595947,0.0009968280792236328,68.82595419883728,"{'num_layers': 2, 'hidden_layer_0': 195, 'hidden_layer_1': 87, 'learning_rate': 0.017685335813927353, 'batch_size': 64, 'num_epochs': 55}"
KAN,0.8916083916083916,0.9400919405320813,0.8799471385888301,0.01492904525216161,1.9976580142974854,0.0,31.231488943099976,"{'hidden_dim': 204, 'learning_rate': 0.035274557383339296, 'batch_size': 32, 'num_epochs': 32}"
NODE,0.8916083916083916,0.9618544600938967,0.9062437753773078,0.01880250390283232,6.536519527435303,0.001995086669921875,111.41107726097107,"{'num_layers': 2, 'num_trees': 5, 'tree_dim': 62, 'learning_rate': 0.008653639809907236, 'batch_size': 128, 'num_epochs': 55}"
TabNet,0.8776223776223776,0.9341255868544601,0.8519037769095228,0.030579457184124817,15.629209280014038,0.08975553512573242,599.1857256889343,"{'n_d': 27, 'n_a': 27, 'n_steps': 5, 'gamma': 1.1317881082282935, 'lambda_sparse': 4.73104738552908e-06, 'learning_rate': 0.032153634542594026, 'batch_size': 256, 'num_epochs': 96}"
SAINT,0.8846153846153846,0.9562304381846635,0.907982839194055,0.013246241895287928,11.44240140914917,0.03091883659362793,498.6164536476135,"{'heads': 7, 'dim': 98, 'depth': 2, 'mlp_dim': 172, 'dropout': 0.017463863336966923, 'learning_rate': 0.0014986557601365576, 'batch_size': 256, 'num_epochs': 55}"
