,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.7532467532467533,0.8178145087235997,0.7638944422231108,0.029626143177026814,0.002991914749145508,0.0,3.4497721195220947,"{'C': 0.1, 'class_weight': None, 'solver': 'lbfgs'}"
KNN,0.6818181818181818,0.7654729109274564,0.7459682793549247,0.028944296757241812,0.0009975433349609375,0.0029931068420410156,0.24135541915893555,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
Decision Tree,0.7012987012987013,0.757483930211203,0.7491536718645875,0.04146320685217169,0.0029900074005126953,0.0,0.44281530380249023,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}"
Random Forest,0.7532467532467533,0.8251606978879706,0.7801546048247368,0.03276612816795816,0.6971664428710938,0.03587198257446289,34.599477767944336,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}"
Gradient Boosting,0.7467532467532467,0.8071625344352616,0.7785152605624417,0.01556432196728194,0.5575089454650879,0.001995563507080078,30.65103578567505,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
XGBoost,0.7532467532467533,0.8172635445362718,0.7932160469145675,0.035939916004253364,0.05684804916381836,0.0010044574737548828,7.331399917602539,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
LightGBM,0.7402597402597403,0.7900826446280993,0.7719978675196588,0.01910017566629065,0.19248414039611816,0.0029947757720947266,15.631202936172485,"{'learning_rate': 0.01, 'n_estimators': 400, 'num_leaves': 31}"
CatBoost,0.7662337662337663,0.8308539944903581,0.7850593096094894,0.029970454087873914,0.1289069652557373,0.0009975433349609375,76.73868441581726,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.1}"
MLP,0.774869109947644,0.86,0.7405022901549071,0.02421825607974259,3.2427377700805664,0.000997304916381836,195.62852215766907,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.7696335078534031,0.8587912087912087,0.7365239078087376,0.023651243037596234,2.2938649654388428,0.0009984970092773438,37.06289029121399,"{'hidden_dim_0': 170, 'hidden_dim_1': 207, 'hidden_dim_2': 134, 'learning_rate': 0.017656494713675787, 'batch_size': 256, 'num_epochs': 65}"
