,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.8360655737704918,0.927801724137931,0.8262755102040817,0.05040989604740709,0.001994609832763672,0.0,4.1947832107543945,"{'C': 1, 'class_weight': 'balanced', 'solver': 'liblinear'}"
KNN,0.8360655737704918,0.931573275862069,0.8384353741496599,0.045479287720353985,0.0009975433349609375,0.0019943714141845703,0.16655302047729492,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}"
Decision Tree,0.8524590163934426,0.8545258620689655,0.7605442176870748,0.04724892603663633,0.001993417739868164,0.0009970664978027344,0.3390936851501465,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}"
Random Forest,0.8688524590163934,0.9331896551724138,0.8138605442176872,0.03033986913033493,0.13265109062194824,0.008936882019042969,30.49345898628235,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
Gradient Boosting,0.7868852459016393,0.9019396551724138,0.8096938775510203,0.02876940841692629,0.12267160415649414,0.0,16.059041738510132,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
XGBoost,0.7704918032786885,0.90625,0.8140306122448979,0.013308841868376794,0.03989291191101074,0.0009975433349609375,4.342522382736206,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
LightGBM,0.8688524590163934,0.9105603448275862,0.8140306122448979,0.013308841868376794,0.030919551849365234,0.0019931793212890625,9.236299991607666,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}"
CatBoost,0.8360655737704918,0.9202586206896551,0.8386904761904763,0.03385122805996899,0.4619317054748535,0.0019936561584472656,36.885359048843384,"{'depth': 6, 'iterations': 200, 'learning_rate': 0.01}"
MLP,0.8153846153846154,0.9024621212121213,0.8616680032076985,0.04057291860358784,0.25332164764404297,0.0,64.27307319641113,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}"
DNN,0.8307692307692308,0.9109848484848484,0.8076923076923077,0.034401045807689073,1.2686095237731934,0.0009987354278564453,17.468289613723755,"{'hidden_dim_0': 216, 'hidden_dim_1': 249, 'hidden_dim_2': 85, 'learning_rate': 0.0008517532638797331, 'batch_size': 32, 'num_epochs': 28}"
DCN,0.8,0.9034090909090909,0.8076923076923077,0.04033880185269812,1.6715295314788818,0.0,23.417378425598145,"{'cross_layers': 1, 'hidden_layer_0': 205, 'hidden_layer_1': 36, 'hidden_layer_2': 76, 'learning_rate': 0.02255854313749633, 'batch_size': 64, 'num_epochs': 69}"
Wide_and_Deep,0.7384615384615385,0.8854166666666665,0.8307692307692308,0.04452244962611624,1.2506542205810547,0.0,17.793418407440186,"{'hidden_layer_0': 105, 'hidden_layer_1': 60, 'hidden_layer_2': 113, 'learning_rate': 0.0032117803885419547, 'batch_size': 256, 'num_epochs': 79}"
XGBoost + NN,0.8461538461538461,0.9261363636363635,0.8115384615384615,0.03308586641170241,2.58209490776062,0.0009980201721191406,25.052009344100952,"{'n_estimators': 136, 'max_depth': 8, 'xgb_learning_rate': 0.0002613822312628724, 'subsample': 0.8009291687927511, 'colsample_bytree': 0.831170118827193, 'use_hidden_layer_0': True, 'hidden_layer_0': 225, 'use_hidden_layer_1': False, 'use_hidden_layer_2': True, 'hidden_layer_2': 201, 'nn_learning_rate': 0.00019151433489769939, 'batch_size': 64, 'num_epochs': 89}"
LightGBM + NN,0.8461538461538461,0.9128787878787878,0.826923076923077,0.054392829322042126,1.5668132305145264,0.0009975433349609375,20.111221075057983,"{'n_estimators': 293, 'max_depth': 6, 'lgb_learning_rate': 0.0007960676413054438, 'num_leaves': 29, 'subsample': 0.7034202746782126, 'colsample_bytree': 0.7045399010181819, 'hidden_layer_0': 173, 'hidden_layer_1': 144, 'hidden_layer_2': 200, 'nn_learning_rate': 0.0016002407536632537, 'batch_size': 64, 'num_epochs': 50}"
AutoInt + NN,0.8153846153846154,0.8357007575757576,0.7769230769230769,0.0448534761141946,3.0458555221557617,0.000997304916381836,33.61311602592468,"{'num_heads': 6, 'embedding_dim': 60, 'num_layers': 2, 'hidden_layer_0': 38, 'hidden_layer_1': 144, 'hidden_layer_2': 54, 'nn_learning_rate': 0.001429455965854467, 'batch_size': 32, 'num_epochs': 95}"
