,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.9252669039145908,0.9778126400717168,0.9332857142857142,0.015355007849622883,0.005984306335449219,0.0,4.281481742858887,"{'C': 1, 'class_weight': 'balanced', 'solver': 'lbfgs'}"
KNN,0.9181494661921709,0.976972209771403,0.9021190476190476,0.011748701970191395,0.005984306335449219,0.012966156005859375,0.41289567947387695,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}"
Decision Tree,0.9608540925266904,0.9554852084267145,0.9688571428571429,0.007968443683316721,0.001994609832763672,0.000997304916381836,0.43483686447143555,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}"
Random Forest,0.9822064056939501,0.9984311967727477,0.975968253968254,0.006707058288802374,0.1934809684753418,0.007977962493896484,41.431241273880005,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Gradient Boosting,0.9679715302491103,0.9944531600179292,0.975968253968254,0.010774773408313705,0.3530259132385254,0.000997304916381836,29.74243474006653,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}"
XGBoost,0.9679715302491103,0.9981230389959659,0.9786388888888891,0.01031614460475294,0.08776354789733887,0.0019948482513427734,7.329400539398193,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200}"
LightGBM,0.9928825622775801,0.9994957418198118,0.9795436507936508,0.008232974675538773,0.2962057590484619,0.004987001419067383,21.193326950073242,"{'learning_rate': 0.05, 'n_estimators': 400, 'num_leaves': 50}"
CatBoost,0.9822064056939501,0.9988794262662484,0.9768650793650794,0.007123165095487837,0.6410434246063232,0.000997781753540039,80.06058502197266,"{'depth': 6, 'iterations': 200, 'learning_rate': 0.05}"
MLP,0.97953216374269,0.9968468314083011,0.961965811965812,0.006262129097892016,4.443117141723633,0.0029916763305664062,258.4618995189667,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.9766081871345029,0.9941049456763889,0.9560974305499853,0.01391579113053245,12.822710752487183,0.001994609832763672,151.68435144424438,"{'hidden_dim_0': 238, 'hidden_dim_1': 136, 'hidden_dim_2': 33, 'learning_rate': 0.0001420632441394744, 'batch_size': 32, 'num_epochs': 61}"
DCN,0.9736842105263158,0.9948932378243137,0.9524424480628861,0.015896158377587635,9.425793886184692,0.0009975433349609375,322.51845121383667,"{'cross_layers': 3, 'hidden_layer_0': 204, 'hidden_layer_1': 75, 'hidden_layer_2': 207, 'learning_rate': 0.002116381034109188, 'batch_size': 128, 'num_epochs': 96}"
Wide_and_Deep,0.9766081871345029,0.9977722178428214,0.9663351247292853,0.014557000106798196,6.604337930679321,0.0009987354278564453,92.92152070999146,"{'hidden_layer_0': 202, 'hidden_layer_1': 117, 'hidden_layer_2': 141, 'learning_rate': 0.005030807470546504, 'batch_size': 128, 'num_epochs': 70}"
XGBoost + NN,0.9824561403508771,0.9987661514206395,0.9685302532017861,0.01197233465394891,7.423146963119507,0.000997304916381836,170.74827814102173,"{'n_estimators': 253, 'max_depth': 6, 'xgb_learning_rate': 0.00035736878797072, 'subsample': 0.6729927195270189, 'colsample_bytree': 0.7621478352441813, 'use_hidden_layer_0': True, 'hidden_layer_0': 202, 'use_hidden_layer_1': True, 'hidden_layer_1': 138, 'use_hidden_layer_2': True, 'hidden_layer_2': 57, 'nn_learning_rate': 0.0006941603325565872, 'batch_size': 128, 'num_epochs': 83}"
