,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.8677248677248677,0.9456840207347307,0.9152317880794701,0.019375813030897734,0.004987239837646484,0.0009965896606445312,5.113327264785767,"{'C': 0.01, 'class_weight': None, 'solver': 'liblinear'}"
KNN,0.8571428571428571,0.9116520171286906,0.9178807947019868,0.01486751279512822,0.000997304916381836,0.0029916763305664062,0.4198763370513916,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}"
Decision Tree,0.8465608465608465,0.8930020283975658,0.8860927152317881,0.019823350393504347,0.0029926300048828125,0.0009965896606445312,0.43483757972717285,"{'max_depth': 40, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Random Forest,0.8835978835978836,0.954586432274059,0.9152317880794701,0.016961918509755855,0.3290872573852539,0.0169525146484375,44.427196979522705,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,0.8941798941798942,0.9556006310570205,0.9139072847682119,0.011081589755418196,0.6482675075531006,0.001995086669921875,22.361204624176025,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}"
XGBoost,0.8888888888888888,0.9562767635789948,0.9139072847682119,0.016753788928044376,0.022939205169677734,0.001995086669921875,5.130789279937744,"{'gamma': 0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
LightGBM,0.8624338624338624,0.9355420329051161,0.9112582781456954,0.027337440318609674,0.48769497871398926,0.004988670349121094,21.50150442123413,"{'learning_rate': 0.01, 'n_estimators': 400, 'num_leaves': 31}"
CatBoost,0.8783068783068783,0.9499661933739012,0.9192052980132452,0.02347025847240973,0.9107620716094971,0.000997304916381836,42.734997510910034,"{'depth': 8, 'iterations': 200, 'learning_rate': 0.05}"
MLP,0.8837209302325582,0.9602390852390852,0.9217355743671533,0.005868376381805227,2.3644704818725586,0.0008165836334228516,176.01643466949463,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.8837209302325582,0.9352477477477478,0.9088671290629675,0.008046309858948953,3.4228482246398926,0.0009961128234863281,68.36219334602356,"{'hidden_dim_0': 141, 'hidden_dim_1': 86, 'hidden_dim_2': 223, 'learning_rate': 0.030142039671637005, 'batch_size': 64, 'num_epochs': 44}"
DCN,0.8930232558139535,0.963574151074151,0.9123623011015912,0.014425016801686152,1.0641531944274902,0.0009970664978027344,40.15063500404358,"{'cross_layers': 2, 'hidden_layer_0': 42, 'hidden_layer_1': 75, 'hidden_layer_2': 36, 'learning_rate': 0.03065596121639589, 'batch_size': 128, 'num_epochs': 22}"
Wide_and_Deep,0.8837209302325582,0.9601524601524601,0.9135182918536652,0.01598553681380297,2.1971285343170166,0.00099945068359375,63.78842759132385,"{'hidden_layer_0': 68, 'hidden_layer_1': 79, 'hidden_layer_2': 113, 'learning_rate': 0.000555630889440022, 'batch_size': 128, 'num_epochs': 44}"
XGBoost + NN,0.8930232558139535,0.9406618156618157,0.9077383380932952,0.015212340056038356,0.944474458694458,0.0009992122650146484,29.779369354248047,"{'n_estimators': 251, 'max_depth': 9, 'xgb_learning_rate': 0.0017592409743465848, 'subsample': 0.5809846458730203, 'colsample_bytree': 0.6387716788229645, 'use_hidden_layer_0': False, 'use_hidden_layer_1': True, 'hidden_layer_1': 119, 'use_hidden_layer_2': False, 'nn_learning_rate': 0.0007132568378185654, 'batch_size': 256, 'num_epochs': 30}"
LightGBM + NN,0.8976744186046511,0.9614518364518364,0.9147150822793417,0.010230734536016202,3.5923917293548584,0.000997304916381836,74.82489013671875,"{'n_estimators': 199, 'max_depth': 8, 'lgb_learning_rate': 0.015127283072437084, 'num_leaves': 77, 'subsample': 0.8718975112548851, 'colsample_bytree': 0.6218879753739841, 'hidden_layer_0': 135, 'hidden_layer_1': 181, 'hidden_layer_2': 177, 'nn_learning_rate': 0.00020125103777636418, 'batch_size': 256, 'num_epochs': 47}"
AutoInt + NN,0.9069767441860465,0.9563842688842689,0.9076839385284918,0.019454291408954234,15.232263803482056,0.0009970664978027344,174.26312494277954,"{'num_heads': 7, 'embedding_dim': 49, 'num_layers': 3, 'hidden_layer_0': 117, 'hidden_layer_1': 229, 'hidden_layer_2': 134, 'nn_learning_rate': 0.000868828676037452, 'batch_size': 32, 'num_epochs': 96}"
FT-Transformer,0.9023255813953488,0.9384961884961885,0.9123691010471916,0.013413857496012014,14.824360370635986,0.0009968280792236328,203.35920071601868,"{'num_heads': 1, 'embedding_dim': 9, 'num_layers': 2, 'hidden_layer_0': 206, 'hidden_layer_1': 152, 'hidden_layer_2': 174, 'nn_learning_rate': 0.0008105890270654898, 'batch_size': 32, 'num_epochs': 96}"
Neural Architecture Search,0.8744186046511628,0.9346846846846847,0.9147082823337414,0.006103442684699692,3.1725170612335205,0.001993894577026367,56.95669221878052,"{'num_layers': 4, 'hidden_layer_0': 195, 'hidden_layer_1': 48, 'hidden_layer_2': 206, 'hidden_layer_3': 180, 'learning_rate': 0.006437469513675124, 'batch_size': 256, 'num_epochs': 64}"
KAN,0.9023255813953488,0.9608454608454607,0.9228818169454645,0.023549856071597774,3.0777664184570312,0.0,42.86337971687317,"{'hidden_dim': 73, 'learning_rate': 0.00014878513422395359, 'batch_size': 32, 'num_epochs': 57}"
NODE,0.8976744186046511,0.9474185724185724,0.9147150822793417,0.014632269508634744,14.932069778442383,0.0019943714141845703,180.63396835327148,"{'num_layers': 3, 'num_trees': 10, 'tree_dim': 27, 'learning_rate': 0.040542938114791746, 'batch_size': 64, 'num_epochs': 54}"
