,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.8833333333333333,0.905608755129959,0.8558333333333333,0.03431876713662334,0.0039899349212646484,0.000997781753540039,3.163541793823242,"{'C': 0.1, 'class_weight': None, 'solver': 'lbfgs'}"
KNN,0.8933333333333333,0.8903967168262654,0.8433333333333334,0.019825628755617213,0.001994609832763672,0.01595783233642578,0.3809814453125,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}"
Decision Tree,0.9066666666666666,0.8970998632010945,0.8933333333333333,0.0269516027146604,0.003989219665527344,0.0,0.4587712287902832,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Random Forest,0.9366666666666666,0.9288645690834474,0.9208333333333334,0.015590239111558076,0.9026236534118652,0.039888620376586914,37.643370628356934,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
Gradient Boosting,0.95,0.9307250341997264,0.9266666666666665,0.018745369798669965,0.2592799663543701,0.0009930133819580078,22.696308612823486,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
XGBoost,0.9433333333333334,0.9306703146374831,0.9291666666666668,0.02342244887092533,0.03789925575256348,0.0019936561584472656,5.969003915786743,"{'gamma': 0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
LightGBM,0.9366666666666666,0.9181942544459645,0.9283333333333333,0.013017082793177757,0.07380342483520508,0.0039882659912109375,19.421066284179688,"{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 50}"
CatBoost,0.95,0.9265116279069768,0.9566666666666667,0.008579691784155848,1.8520963191986084,0.0017180442810058594,42.79306125640869,"{'depth': 8, 'iterations': 400, 'learning_rate': 0.05}"
MLP,0.8979591836734694,0.9478783130957045,0.8791497831804933,0.013622652416062994,5.152064323425293,0.0009675025939941406,312.7980589866638,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.9005102040816326,0.9444575009792401,0.8900528385352666,0.021828348540864316,6.467702150344849,0.0019948482513427734,92.92550992965698,"{'hidden_dim_0': 161, 'hidden_dim_1': 135, 'hidden_dim_2': 253, 'learning_rate': 0.0004202406113199075, 'batch_size': 32, 'num_epochs': 29}"
DCN,0.8954081632653061,0.9511946729338033,0.8932436307036946,0.018720573393833144,7.608649730682373,0.001995086669921875,142.936776638031,"{'cross_layers': 1, 'hidden_layer_0': 148, 'hidden_layer_1': 214, 'hidden_layer_2': 155, 'learning_rate': 0.0006780836402095648, 'batch_size': 64, 'num_epochs': 47}"
Wide_and_Deep,0.8928571428571429,0.9492492492492492,0.8964426148930942,0.02293515892064733,8.9011971950531,0.0019960403442382812,92.0907416343689,"{'hidden_layer_0': 184, 'hidden_layer_1': 233, 'hidden_layer_2': 128, 'learning_rate': 0.0007184963647665955, 'batch_size': 128, 'num_epochs': 85}"
XGBoost + NN,0.9260204081632653,0.9547199373286329,0.929669451953797,0.010679628453909998,12.272183179855347,0.001994609832763672,114.68532371520996,"{'n_estimators': 57, 'max_depth': 4, 'xgb_learning_rate': 0.07831318761995892, 'subsample': 0.9653748219272857, 'colsample_bytree': 0.5572566588096538, 'use_hidden_layer_0': True, 'hidden_layer_0': 231, 'use_hidden_layer_1': True, 'hidden_layer_1': 256, 'use_hidden_layer_2': True, 'hidden_layer_2': 215, 'nn_learning_rate': 0.002735656043620066, 'batch_size': 128, 'num_epochs': 100}"
LightGBM + NN,0.9540816326530612,0.9603211907559733,0.9341463914147619,0.008208822983985273,5.295838356018066,0.0019953250885009766,112.50216007232666,"{'n_estimators': 103, 'max_depth': 6, 'lgb_learning_rate': 0.0806924851543069, 'num_leaves': 86, 'subsample': 0.6614459100780776, 'colsample_bytree': 0.8807759447827694, 'hidden_layer_0': 234, 'hidden_layer_1': 50, 'hidden_layer_2': 215, 'nn_learning_rate': 0.0028172955485676393, 'batch_size': 128, 'num_epochs': 60}"
AutoInt + NN,0.8979591836734694,0.9408408408408409,0.8906774801343491,0.016018700514536157,4.340403318405151,0.0009906291961669922,151.72028708457947,"{'num_heads': 5, 'embedding_dim': 25, 'num_layers': 3, 'hidden_layer_0': 99, 'hidden_layer_1': 212, 'hidden_layer_2': 175, 'nn_learning_rate': 0.0021685529628767027, 'batch_size': 256, 'num_epochs': 63}"
FT-Transformer,0.8724489795918368,0.9330722026374201,0.8766097321209143,0.01069446375090718,2.1672043800354004,0.001994609832763672,192.59398698806763,"{'num_heads': 1, 'embedding_dim': 31, 'num_layers': 2, 'hidden_layer_0': 198, 'hidden_layer_1': 251, 'hidden_layer_2': 137, 'nn_learning_rate': 0.0007132765557076105, 'batch_size': 64, 'num_epochs': 15}"
Neural Architecture Search,0.8928571428571429,0.943647995821909,0.893235438682723,0.015787939983311097,28.240482330322266,0.0019965171813964844,203.38812279701233,"{'num_layers': 4, 'hidden_layer_0': 215, 'hidden_layer_1': 168, 'hidden_layer_2': 210, 'hidden_layer_3': 150, 'learning_rate': 0.0012511617854765026, 'batch_size': 32, 'num_epochs': 91}"
KAN,0.8698979591836735,0.9425773599686643,0.8894015728680265,0.015381361460290477,4.073107481002808,0.0,52.39489412307739,"{'hidden_dim': 112, 'learning_rate': 0.0027793099702073778, 'batch_size': 128, 'num_epochs': 76}"
