,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.8718861209964412,0.8615411681914145,0.8620992063492064,0.008892293140639685,0.002993345260620117,0.0,4.2940590381622314,"{'C': 1, 'class_weight': None, 'solver': 'liblinear'}"
KNN,0.8647686832740213,0.8870513722730472,0.8540753968253968,0.01055671613144777,0.001995563507080078,0.004986286163330078,0.46475720405578613,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}"
Decision Tree,0.9288256227758007,0.9007741027445461,0.9448492063492063,0.009935557031430996,0.007979393005371094,0.0,0.7150881290435791,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}"
Random Forest,0.9395017793594306,0.9834623504574243,0.9279404761904761,0.012979432632198026,0.26632165908813477,0.008974313735961914,49.81677031517029,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}"
Gradient Boosting,0.9430604982206405,0.991027445460943,0.9564126984126984,0.009872760676536472,1.3852636814117432,0.0009980201721191406,50.65522646903992,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
XGBoost,0.9537366548042705,0.9924349049964813,0.9626468253968256,0.016987851913141533,0.1346416473388672,0.0009965896606445312,12.306573867797852,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}"
LightGBM,0.9537366548042705,0.9912913441238564,0.9635357142857144,0.014146680134608975,0.08677244186401367,0.0040166378021240234,29.41536808013916,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
CatBoost,0.9715302491103203,0.9941942294159043,0.9537539682539682,0.013908322005650047,4.6707258224487305,0.001995086669921875,146.32027459144592,"{'depth': 8, 'iterations': 400, 'learning_rate': 0.05}"
MLP,0.9857482185273159,0.998272884283247,0.956547619047619,0.008030200930495286,2.0678911209106445,0.0,357.72489738464355,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.9881235154394299,0.9978411053540588,0.9613095238095237,0.009960238411119945,2.6409380435943604,0.0009970664978027344,98.49561429023743,"{'hidden_dim_0': 73, 'hidden_dim_1': 130, 'hidden_dim_2': 34, 'learning_rate': 0.001053566231378178, 'batch_size': 64, 'num_epochs': 23}"
DCN,0.9786223277909739,0.997909280974457,0.963095238095238,0.012285575857470412,4.190794944763184,0.0019936561584472656,122.6181104183197,"{'cross_layers': 2, 'hidden_layer_0': 124, 'hidden_layer_1': 121, 'hidden_layer_2': 200, 'learning_rate': 0.0018404558939080918, 'batch_size': 64, 'num_epochs': 23}"
Wide_and_Deep,0.9786223277909739,0.9972047995636761,0.9619047619047618,0.01556749622693097,2.0584943294525146,0.002991914749145508,65.56466698646545,"{'hidden_layer_0': 198, 'hidden_layer_1': 235, 'hidden_layer_2': 75, 'learning_rate': 0.00628568315603586, 'batch_size': 256, 'num_epochs': 24}"
XGBoost + NN,0.5415676959619953,0.5,0.7047619047619047,0.19982985960340277,3.7848806381225586,0.0009968280792236328,114.76909732818604,"{'n_estimators': 179, 'max_depth': 6, 'xgb_learning_rate': 0.0536953682023045, 'subsample': 0.7508912072724021, 'colsample_bytree': 0.9143769646449367, 'use_hidden_layer_0': False, 'use_hidden_layer_1': False, 'use_hidden_layer_2': True, 'hidden_layer_2': 111, 'nn_learning_rate': 0.019420723560846908, 'batch_size': 256, 'num_epochs': 80}"
