,Accuracy,AUC Score,CV Mean Accuracy,CV Std Accuracy,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Logistic Regression,0.8469750889679716,0.9363924329814105,0.8478769841269841,0.012241134100709573,0.010971546173095703,0.0009963512420654297,3.67916202545166,"{'C': 0.1, 'class_weight': 'balanced', 'solver': 'lbfgs'}"
KNN,0.9145907473309609,0.9767874642265113,0.9083849206349205,0.0180483397407443,0.0029921531677246094,0.0059833526611328125,0.40491652488708496,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}"
Decision Tree,0.9252669039145908,0.9519572328890086,0.9101468253968253,0.018064595678619493,0.00498652458190918,0.0,0.5375628471374512,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}"
Random Forest,0.9466192170818505,0.9957405042635828,0.9261706349206349,0.015496374709128725,0.2124330997467041,0.008976221084594727,43.71813440322876,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Gradient Boosting,0.9359430604982206,0.994383174923757,0.9288492063492064,0.017493943090326113,5.5100672245025635,0.008976221084594727,122.83518981933594,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 400}"
XGBoost,0.9359430604982206,0.9949436427204107,0.931515873015873,0.015990052652341144,0.08876276016235352,0.0019943714141845703,21.75042152404785,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
LightGBM,0.9395017793594306,0.996228389039714,0.9306230158730159,0.015491951681225453,0.48769593238830566,0.01296544075012207,85.94118356704712,"{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}"
CatBoost,0.9323843416370107,0.993246079995475,0.922611111111111,0.017416112874413765,0.6737778186798096,0.000997304916381836,130.03121995925903,"{'depth': 4, 'iterations': 400, 'learning_rate': 0.1}"
MLP,0.9269102990033222,0.989906806930428,0.93,0.012416387021459446,3.1336190700531006,0.0010061264038085938,397.2258982658386,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,0.9335548172757475,0.9796180276166628,0.9258333333333333,0.0071686043892022055,3.9354772567749023,0.0009963512420654297,85.17623114585876,"{'hidden_layer_0': 108, 'hidden_layer_1': 85, 'hidden_layer_2': 169, 'learning_rate': 0.006622786270817115, 'batch_size': 256, 'num_epochs': 80}"
DCN,0.9302325581395349,0.97975241100526,0.9225,0.009354143466934868,9.042818307876587,0.001995563507080078,112.363529920578,"{'cross_layers': 3, 'hidden_layer_0': 177, 'hidden_layer_1': 183, 'hidden_layer_2': 76, 'learning_rate': 0.0038500109097153344, 'batch_size': 128, 'num_epochs': 93}"
Wide_and_Deep,0.9269102990033222,0.9804292465142275,0.9225,0.01073674893893761,9.941423177719116,0.001989126205444336,112.69664025306702,"{'hidden_layer_0': 95, 'hidden_layer_1': 247, 'hidden_layer_2': 203, 'learning_rate': 0.001208249203661858, 'batch_size': 64, 'num_epochs': 79}"
XGBoost + NN,0.9269102990033222,0.9738477668578609,0.9316666666666666,0.013591255358583399,2.4534361362457275,0.0,89.66921973228455,"{'n_estimators': 155, 'max_depth': 8, 'xgb_learning_rate': 0.002034683451998202, 'subsample': 0.6958406650988738, 'colsample_bytree': 0.7494304421949056, 'use_hidden_layer_0': False, 'use_hidden_layer_1': False, 'use_hidden_layer_2': False, 'nn_learning_rate': 0.06482820521770243, 'batch_size': 256, 'num_epochs': 75}"
LightGBM + NN,0.9534883720930233,0.9823281778992647,0.9375,0.013176156917368242,1.5708022117614746,0.000995635986328125,79.37194633483887,"{'n_estimators': 171, 'max_depth': 7, 'lgb_learning_rate': 0.0831814806342246, 'num_leaves': 21, 'subsample': 0.5432073026120943, 'colsample_bytree': 0.9386326408657575, 'hidden_layer_0': 80, 'hidden_layer_1': 146, 'hidden_layer_2': 74, 'nn_learning_rate': 0.004640847466225095, 'batch_size': 256, 'num_epochs': 31}"
AutoInt + NN,0.9235880398671097,0.9883477987116195,0.915,0.014092945437739781,1.4580910205841064,0.0019943714141845703,103.60594892501831,"{'num_heads': 6, 'embedding_dim': 42, 'num_layers': 3, 'hidden_layer_0': 181, 'hidden_layer_1': 177, 'hidden_layer_2': 143, 'nn_learning_rate': 0.008686183787890246, 'batch_size': 256, 'num_epochs': 28}"
FT-Transformer,0.9335548172757475,0.9829884996766388,0.925,0.012638125740085916,4.267587900161743,0.001994609832763672,175.19750595092773,"{'num_heads': 7, 'embedding_dim': 28, 'num_layers': 2, 'hidden_layer_0': 173, 'hidden_layer_1': 152, 'hidden_layer_2': 90, 'nn_learning_rate': 0.0007917579608536134, 'batch_size': 128, 'num_epochs': 62}"
Neural Architecture Search,0.9368770764119602,0.9828803337742003,0.9291666666666666,0.009501461875826156,6.656200647354126,0.0,120.117356300354,"{'num_layers': 2, 'hidden_layer_0': 91, 'hidden_layer_1': 94, 'learning_rate': 0.0014546141626198203, 'batch_size': 64, 'num_epochs': 82}"
KAN,0.9368770764119602,0.9764148716713118,0.9233333333333332,0.008579691784155848,0.9484639167785645,0.0,33.718833446502686,"{'hidden_dim': 237, 'learning_rate': 0.03385327373365779, 'batch_size': 256, 'num_epochs': 30}"
NODE,0.9269102990033222,0.9793895594267813,0.9225000000000001,0.008579691784155848,8.279858827590942,0.0009989738464355469,145.5507836341858,"{'num_layers': 5, 'num_trees': 2, 'tree_dim': 64, 'learning_rate': 0.017411749610624618, 'batch_size': 64, 'num_epochs': 52}"
TabNet,0.920265780730897,0.9875790198551877,0.9183333333333333,0.0097182531580755,36.496405601501465,0.07280468940734863,627.3563930988312,"{'n_d': 63, 'n_a': 10, 'n_steps': 3, 'gamma': 1.2249926687622161, 'lambda_sparse': 0.0003772097415076976, 'learning_rate': 0.0019051635664489265, 'batch_size': 64, 'num_epochs': 42}"
SAINT,0.9136212624584718,0.9887818884001903,0.9225,0.012801909579781019,34.4119758605957,0.0219419002532959,668.5442523956299,"{'heads': 2, 'dim': 182, 'depth': 4, 'mlp_dim': 64, 'dropout': 0.30841897162532345, 'learning_rate': 0.0004105549238965898, 'batch_size': 256, 'num_epochs': 92}"
