,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,7.2110963207485925,2.6853484542510664,1.636052401346782,0.13565843721612725,2.130102139098872,0.04466570567178291,0.001994609832763672,0.0,3.3320910930633545,{}
Ridge,7.25518889967835,2.6935457857029923,1.6393511457102277,0.1303733811186708,2.1287331048651823,0.04761825775009609,0.0009975433349609375,0.0,0.0797874927520752,"{'alpha': 1.0, 'solver': 'auto'}"
Lasso,7.704923056701689,2.775774316600989,1.6850982262246221,0.07646702529863292,2.195728478058,0.09754739576736378,0.0009970664978027344,0.000997781753540039,0.07181048393249512,"{'alpha': 0.1, 'selection': 'cyclic'}"
KNN,3.3570979535526213,1.8322385089154254,1.1376991793012337,0.5976091342389687,2.1127476844968607,0.14813790139163846,0.0019948482513427734,0.0019943714141845703,0.1934823989868164,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
Decision Tree,4.380877272208265,2.0930545315897207,1.4449300845839705,0.4748961684328532,2.437860945907874,0.11749735604621456,0.00498652458190918,0.0,0.6791834831237793,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}"
Random Forest,3.151688269473493,1.7752994872622176,1.2520860999419718,0.6222300960803804,2.025347866800182,0.07408196208643175,0.9983303546905518,0.021942615509033203,77.79895997047424,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,3.4886139273074073,1.8677831585351141,1.3368646675386031,0.5818452729299501,2.0714175861752215,0.08116265050680674,0.27924609184265137,0.0010006427764892578,20.0822970867157,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}"
XGBoost,3.505139257939176,1.8722017140092506,1.3002554352173177,0.579864501953125,2.071750915488093,0.08780852187800378,0.1545870304107666,0.003988027572631836,8.057501792907715,"{'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 400}"
LightGBM,3.462739093601716,1.860843651036195,1.3650424721253689,0.5849467006750768,2.084085934107,0.07256933097276502,0.08776569366455078,0.001993894577026367,24.71291494369507,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 50}"
CatBoost,3.442360100661903,1.855359830507792,1.3325447303028597,0.5873893820403051,2.029744490080517,0.09372436311348523,2.230804443359375,0.0009999275207519531,67.28117775917053,"{'depth': 8, 'iterations': 400, 'learning_rate': 0.05}"
MLP,6.35967884484787,2.521840368629202,1.813699998238399,0.6588701904688794,2.533563592277392,0.04360194358026494,5.379032611846924,0.0010280609130859375,616.8759498596191,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,17.654165267944336,4.201685905456543,3.2284610271453857,0.05303984880447388,4.27292537689209,0.11521047353744507,13.711334466934204,0.000997304916381836,136.5194890499115,"{'hidden_layer_0': 151, 'hidden_layer_1': 193, 'hidden_layer_2': 122, 'learning_rate': 0.0001491985989534309, 'batch_size': 32, 'num_epochs': 42}"
