,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,1.6520949768524855e-23,4.0645971225356216e-12,3.1894608719708167e-12,1.0,2.2451539057207438e-12,5.321440719558276e-13,0.0019969940185546875,0.0,3.6248204708099365,{}
Ridge,0.2423364215676033,0.4922767733375233,0.3987380157747283,0.9999999292002307,0.7988480428893547,0.14441426612459166,0.000997304916381836,0.0,0.07081055641174316,"{'alpha': 0.1, 'solver': 'auto'}"
Lasso,0.01367625841473903,0.11694553610437224,0.09650220223479726,0.9999999960044142,0.12211814524916798,0.006305520204890272,0.000995635986328125,0.0,0.0638282299041748,"{'alpha': 0.1, 'selection': 'cyclic'}"
KNN,161030.81179941664,401.2864460699073,296.46512109634904,0.9529540617708251,522.2429564598913,25.29093192202895,0.000997304916381836,0.00299072265625,0.19287776947021484,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
Decision Tree,30628.274733637754,175.00935613171586,123.97831050228307,0.9910517999314331,239.46382991197774,32.54167713334683,0.004985809326171875,0.0,0.44481492042541504,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}"
Random Forest,11178.686815445695,105.72930915997557,65.78763159167703,0.9967340920440876,163.95471158564888,27.18004404423222,0.8278191089630127,0.021910429000854492,56.89938402175903,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
Gradient Boosting,8478.942996842008,92.08117612651354,64.24529960158036,0.9975228353877083,125.34058714505701,11.473232705579559,0.5944108963012695,0.0009984970092773438,18.245006799697876,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
XGBoost,9031.190737059671,95.03257724096338,66.6309898062928,0.9973614811897278,123.65473102635826,13.853206562252252,0.226393461227417,0.0019948482513427734,10.466174602508545,"{'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 400}"
LightGBM,12274.31283191666,110.78949784125146,72.43598559375111,0.9964139995517428,161.25728025247358,16.982250084276288,0.13463926315307617,0.0009970664978027344,14.049421310424805,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}"
CatBoost,6256.066984858999,79.09530317824819,61.67309189803382,0.9981722594723432,109.08528305486001,17.258991033528584,0.5166170597076416,0.0009980201721191406,80.2739827632904,"{'depth': 4, 'iterations': 400, 'learning_rate': 0.05}"
MLP,112512.62343312024,335.42901400016103,264.40149947838756,0.9671288874912313,398.0720053072093,21.709468179682105,3.5161185264587402,0.0009970664978027344,134.73802542686462,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}"
DNN,3837166.5,1958.86865234375,1641.655029296875,-0.12104690074920654,1941.07421875,88.7391586303711,5.147236108779907,0.0,44.89695644378662,"{'hidden_dim_0': 122, 'hidden_dim_1': 140, 'hidden_dim_2': 194, 'learning_rate': 0.06586621440068076, 'batch_size': 64, 'num_epochs': 96}"
DCN,11457.27734375,107.0386734008789,84.92398071289062,0.9966527223587036,169.07838439941406,42.7841682434082,5.152221202850342,0.000997304916381836,61.1660041809082,"{'cross_layers': 1, 'hidden_layer_0': 141, 'hidden_layer_1': 53, 'hidden_layer_2': 214, 'learning_rate': 0.009262384477344659, 'batch_size': 32, 'num_epochs': 61}"
Wide_and_Deep,11511.0546875,107.28958129882812,75.51058959960938,0.9966369867324829,148.7985382080078,41.88701248168945,5.56365704536438,0.0009970664978027344,52.08325934410095,"{'hidden_layer_0': 176, 'hidden_layer_1': 219, 'hidden_layer_2': 143, 'learning_rate': 0.013637618458216445, 'batch_size': 64, 'num_epochs': 93}"
XGBoost + NN,1651738.75,1285.1998291015625,876.8313598632812,0.5174364447593689,1495.378173828125,200.5569610595703,0.4946765899658203,0.0009975433349609375,23.27674436569214,"{'n_estimators': 142, 'max_depth': 5, 'xgb_learning_rate': 0.0005747413822647764, 'subsample': 0.5733090587073465, 'colsample_bytree': 0.951414639255233, 'use_hidden_layer_0': False, 'use_hidden_layer_1': True, 'hidden_layer_1': 131, 'use_hidden_layer_2': True, 'hidden_layer_2': 115, 'nn_learning_rate': 0.0005908856048582727, 'batch_size': 64, 'num_epochs': 13}"
LightGBM + NN,17473.076171875,132.18576049804688,92.86653137207031,0.9948951601982117,160.77169799804688,26.74540901184082,3.776898145675659,0.0,37.56410789489746,"{'n_estimators': 132, 'max_depth': 3, 'lgb_learning_rate': 0.09196238369415112, 'num_leaves': 61, 'subsample': 0.9848122774199848, 'colsample_bytree': 0.926831856626592, 'hidden_layer_0': 155, 'hidden_layer_1': 46, 'hidden_layer_2': 71, 'nn_learning_rate': 0.007218946885761279, 'batch_size': 64, 'num_epochs': 100}"
