,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,15.96092587560865,3.9951127487980425,3.260140151288222,0.655073511221068,4.366198177332377,0.3868547238508857,0.0010287761688232422,0.0009667873382568359,0.017111539840698242,{}
Ridge,15.934165419218347,3.99176219472282,3.2567261546383652,0.6556518229263391,4.375681734944314,0.38207013145300567,0.000997781753540039,0.0,0.10172677040100098,"{'alpha': 0.1, 'solver': 'auto'}"
Lasso,15.712143555382873,3.963854633482776,3.16650636573885,0.6604498667567384,4.480683168945229,0.5066101693201328,0.000997781753540039,0.0,0.07779288291931152,"{'alpha': 0.1, 'selection': 'random'}"
KNN,18.818835817899334,4.338068212683997,3.5691892855033016,0.5933121291231054,4.930829818505342,0.4349982907901119,0.0009968280792236328,0.001994609832763672,0.1186823844909668,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}"
Decision Tree,31.140279219948205,5.5803475895277534,4.388925595238096,0.32703733764300347,5.978458490505143,0.25431741529857566,0.002990245819091797,0.0,0.3809807300567627,"{'max_depth': 40, 'min_samples_leaf': 4, 'min_samples_split': 2}"
Random Forest,17.30666533199385,4.160128042740253,3.3191195279945545,0.6259911641742983,4.70547444395589,0.2537915018400376,0.25032901763916016,0.007996082305908203,50.32643961906433,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}"
Gradient Boosting,17.652228414366576,4.201455511411084,3.459110560253447,0.6185233103929211,4.58812379096462,0.3264853423602282,0.15358877182006836,0.0,17.40253257751465,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
XGBoost,16.805757242279558,4.099482557869902,3.3784908151626585,0.6368161294634456,4.595853239735652,0.22417086425335486,0.09226226806640625,0.0019943714141845703,19.677427768707275,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
LightGBM,16.122856249375214,4.015327664011396,3.289403243629863,0.6515740854555918,4.562300107542067,0.2420630722955501,0.34511327743530273,0.004984140396118164,17.684807777404785,"{'learning_rate': 0.01, 'n_estimators': 400, 'num_leaves': 31}"
CatBoost,17.473929201449465,4.180182914831534,3.353516017463514,0.6223764779311232,4.370680707698147,0.279883646317766,0.2563145160675049,0.001994609832763672,136.3527386188507,"{'depth': 4, 'iterations': 200, 'learning_rate': 0.05}"
MLP,28.052782355569956,5.296487737696554,3.927055101723061,0.5812532491738557,5.501904230018649,0.5081145126397574,3.8064188957214355,0.0,312.0592288970947,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}"
DNN,65.35426330566406,8.084197998046875,6.543649673461914,0.024450242519378662,8.845601081848145,0.3461945652961731,7.532104015350342,0.0019943714141845703,87.09403443336487,"{'hidden_dim_0': 94, 'hidden_dim_1': 239, 'hidden_dim_2': 174, 'learning_rate': 0.005294750951911961, 'batch_size': 64, 'num_epochs': 67}"
DCN,38.294742584228516,6.188274383544922,4.882596492767334,0.42837047576904297,6.825734615325928,0.5274670720100403,1.999701738357544,0.007980108261108398,74.57935357093811,"{'cross_layers': 4, 'hidden_layer_0': 162, 'hidden_layer_1': 123, 'hidden_layer_2': 249, 'learning_rate': 0.003758084178868159, 'batch_size': 128, 'num_epochs': 19}"
Wide_and_Deep,31.925249099731445,5.650243282318115,4.46582555770874,0.5234485268592834,6.408957004547119,0.6175499558448792,7.665769577026367,0.0009980201721191406,94.00002241134644,"{'hidden_layer_0': 91, 'hidden_layer_1': 113, 'hidden_layer_2': 107, 'learning_rate': 0.0005090198921397639, 'batch_size': 64, 'num_epochs': 82}"
XGBoost + NN,51.830543518066406,7.199343204498291,5.8209028244018555,0.22632014751434326,7.979608058929443,0.4027307331562042,0.8826584815979004,0.0009958744049072266,42.45120429992676,"{'n_estimators': 125, 'max_depth': 5, 'xgb_learning_rate': 0.002530233975302264, 'subsample': 0.8292691870606925, 'colsample_bytree': 0.5918691315578062, 'use_hidden_layer_0': True, 'hidden_layer_0': 170, 'use_hidden_layer_1': False, 'use_hidden_layer_2': True, 'hidden_layer_2': 190, 'nn_learning_rate': 0.0005543765752950907, 'batch_size': 256, 'num_epochs': 16}"
LightGBM + NN,19.847537994384766,4.455057621002197,3.5360822677612305,0.7037338018417358,5.0464630126953125,0.38945823907852173,6.244041919708252,0.0009961128234863281,93.88471102714539,"{'n_estimators': 86, 'max_depth': 7, 'lgb_learning_rate': 0.02242609856895602, 'num_leaves': 22, 'subsample': 0.5078595692441619, 'colsample_bytree': 0.7004061905528065, 'hidden_layer_0': 169, 'hidden_layer_1': 151, 'hidden_layer_2': 98, 'nn_learning_rate': 0.0032278243230651534, 'batch_size': 128, 'num_epochs': 98}"
AutoInt + NN,67.03089141845703,8.187239646911621,6.5861005783081055,-0.0005769729614257812,7.291373252868652,1.0386046171188354,1.546983242034912,0.001995086669921875,88.65453743934631,"{'num_heads': 4, 'embedding_dim': 44, 'num_layers': 3, 'hidden_layer_0': 187, 'hidden_layer_1': 48, 'hidden_layer_2': 205, 'nn_learning_rate': 0.05962452183507639, 'batch_size': 256, 'num_epochs': 36}"
FT-Transformer,74.87397003173828,8.652975082397461,7.0969672203063965,-0.11765134334564209,9.214143753051758,0.5707656145095825,3.9826536178588867,0.0009975433349609375,159.7274227142334,"{'num_heads': 5, 'embedding_dim': 10, 'num_layers': 1, 'hidden_layer_0': 173, 'hidden_layer_1': 239, 'hidden_layer_2': 56, 'nn_learning_rate': 0.00014337151036388057, 'batch_size': 64, 'num_epochs': 34}"
Neural Architecture Search,66.44276428222656,8.151243209838867,6.5851149559021,0.008202075958251953,8.725555419921875,0.13266974687576294,4.7155938148498535,0.0,77.15210676193237,"{'num_layers': 2, 'hidden_layer_0': 175, 'hidden_layer_1': 174, 'learning_rate': 0.0259554109812222, 'batch_size': 128, 'num_epochs': 79}"
KAN,36.57374954223633,6.047623634338379,4.719378471374512,0.454059898853302,6.768479347229004,0.5842815637588501,1.7672092914581299,0.0009963512420654297,35.1519570350647,"{'hidden_dim': 134, 'learning_rate': 0.0033342250317641804, 'batch_size': 128, 'num_epochs': 72}"
NODE,30.259889602661133,5.500898838043213,4.150476932525635,0.5483075380325317,6.0489373207092285,0.4759340286254883,2.3357067108154297,0.0,97.9807813167572,"{'num_layers': 1, 'num_trees': 3, 'tree_dim': 27, 'learning_rate': 0.02695068447881393, 'batch_size': 128, 'num_epochs': 56}"
TabNet,22.17446990256307,4.708977585693424,3.7517103115008896,0.66899942026083,5.550585477112696,0.4704475916265923,33.47448539733887,0.08577156066894531,651.1387438774109,"{'n_d': 53, 'n_a': 46, 'n_steps': 3, 'gamma': 1.389955458981009, 'lambda_sparse': 2.2680339381299325e-05, 'learning_rate': 0.019481568470475837, 'batch_size': 32, 'num_epochs': 85}"
SAINT,29.94744873046875,5.472426414489746,4.433973789215088,0.552971363067627,6.881558895111084,0.2638852000236511,31.781798124313354,0.009972333908081055,327.18136763572693,"{'heads': 2, 'dim': 44, 'depth': 5, 'mlp_dim': 38, 'dropout': 0.027225063614698286, 'learning_rate': 0.0006302238089240674, 'batch_size': 32, 'num_epochs': 49}"
