,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,95.9709400911068,9.796475901624358,7.7455592439214325,0.627553179231485,10.664267002163129,1.0309747435984338,0.0009980201721191406,0.0,4.052489757537842,{}
Ridge,95.96510725968653,9.796178196607416,7.751966725393744,0.6275758154536216,10.663153704936136,1.027943141175779,0.0009968280792236328,0.0,0.11668920516967773,"{'alpha': 1.0, 'solver': 'auto'}"
Lasso,96.41193978884347,9.818958182457214,7.82306591506236,0.6258417347543759,10.672167400215534,0.9914535131200896,0.0009975433349609375,0.0,0.08675909042358398,"{'alpha': 0.1, 'selection': 'random'}"
KNN,57.59596075024682,7.589200270795785,5.6274841678901195,0.776479917252312,8.438221982728738,0.9789530505301061,0.0019948482513427734,0.001993417739868164,0.2647998332977295,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}"
Decision Tree,51.00185659385113,7.141558414929555,4.8408009708737865,0.8020705088056983,7.146034284174078,0.5638931292254082,0.005988359451293945,0.0009996891021728516,0.6805860996246338,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}"
Random Forest,33.11657531631504,5.754700280319996,4.080969240881825,0.8714802295403838,5.289502845693187,0.4240526834277448,0.3899266719818115,0.010001420974731445,89.5993983745575,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Gradient Boosting,19.695782924403918,4.437993119012683,2.8304515801810406,0.9235640317185889,4.512905209266579,0.42367868481136645,0.833611011505127,0.0019941329956054688,21.761905670166016,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
XGBoost,18.74926791574813,4.330042484289055,2.997547201045508,0.927237294744343,4.5095568079524,0.4097211448173714,0.3446691036224365,0.0029916763305664062,13.309669017791748,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
LightGBM,20.518517159121544,4.529736985645143,2.944009126888006,0.9203711407271378,4.456474092432739,0.41369219183753575,0.32213664054870605,0.007978677749633789,26.918427228927612,"{'learning_rate': 0.05, 'n_estimators': 400, 'num_leaves': 31}"
CatBoost,16.92794219808296,4.114358054190588,2.6457125993508455,0.9343055486604177,4.309593085498907,0.4522706695182591,1.071687936782837,0.00498652458190918,94.08783078193665,"{'depth': 6, 'iterations': 400, 'learning_rate': 0.1}"
MLP,26.90754649150221,5.187248450913279,3.5109372098175204,0.895576409526391,5.422326087250995,0.5165850370752071,3.036609411239624,0.000827789306640625,341.2059397697449,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}"
DNN,264.40093994140625,16.26041030883789,13.341514587402344,-0.026094913482666016,16.661998748779297,0.18185126781463623,6.9334588050842285,0.0009975433349609375,84.67457365989685,"{'hidden_dim_0': 165, 'hidden_dim_1': 178, 'hidden_dim_2': 100, 'learning_rate': 0.002343063909888989, 'batch_size': 32, 'num_epochs': 52}"
DCN,51.3612060546875,7.166673183441162,5.067573547363281,0.8006759285926819,5.465538024902344,0.6250852346420288,7.155862808227539,0.0019943714141845703,85.51831459999084,"{'cross_layers': 4, 'hidden_layer_0': 218, 'hidden_layer_1': 131, 'hidden_layer_2': 245, 'learning_rate': 0.020386457261826942, 'batch_size': 64, 'num_epochs': 65}"
Wide_and_Deep,34.272972106933594,5.854312419891357,4.019555568695068,0.8669924736022949,5.501931190490723,0.47852641344070435,12.514534711837769,0.000997781753540039,91.46042704582214,"{'hidden_layer_0': 198, 'hidden_layer_1': 237, 'hidden_layer_2': 53, 'learning_rate': 0.03254306635618272, 'batch_size': 32, 'num_epochs': 82}"
