,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,6.431712595370419,2.5360821349811244,1.7006228433435007,0.5094012659698849,2.2463474832505517,0.1622600690767666,0.0009975433349609375,0.0,3.8207828998565674,{}
Ridge,6.446238779932025,2.5389444223795103,1.7002408902772976,0.5082932363975838,2.2437436173485446,0.16397732693158146,0.0009963512420654297,0.0,0.12566328048706055,"{'alpha': 1.0, 'solver': 'auto'}"
Lasso,7.1370373527179325,2.671523414218549,1.7498807643173695,0.4556004426426947,2.2959776663757516,0.20144456971460956,0.000997781753540039,0.0,0.07280564308166504,"{'alpha': 0.1, 'selection': 'cyclic'}"
KNN,5.530596322877415,2.351721990983929,1.3709445999009515,0.5781366915573436,2.188413475318046,0.24213534875681142,0.001993894577026367,0.003989219665527344,0.21342945098876953,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}"
Decision Tree,8.205970984542766,2.86460660205599,1.9252744192835358,0.3740642298907513,2.5263462124450475,0.10397437025942158,0.0049860477447509766,0.0,0.5136258602142334,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Random Forest,5.333725703318894,2.309486025789915,1.48500844790015,0.5931536058380993,2.11923226505754,0.147588009041556,1.5045356750488281,0.029952049255371094,129.4051706790924,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,5.105093637747982,2.259445427034692,1.551359266459638,0.6105932224665721,2.2027329962798112,0.19145097614009154,0.7604742050170898,0.0009965896606445312,38.65222358703613,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
XGBoost,5.2512151178717685,2.291552992595146,1.5394491551107146,0.5994473695755005,2.1851458308860843,0.185587894157173,0.1944139003753662,0.001994609832763672,16.400487422943115,"{'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
LightGBM,5.586975989461705,2.3636784869058873,1.5770183319345283,0.5738361584347655,2.1671264954633753,0.16769966744619988,0.5570158958435059,0.015956401824951172,46.228195905685425,"{'learning_rate': 0.01, 'n_estimators': 400, 'num_leaves': 50}"
CatBoost,4.798067339784256,2.1904491182824257,1.3786165686495846,0.6340126011874712,2.096946290384605,0.19261382054669024,4.551503658294678,0.003616809844970703,139.50471568107605,"{'depth': 8, 'iterations': 400, 'learning_rate': 0.1}"
MLP,6.093281732959333,2.4684573589509973,1.6604899906385333,0.5352161247953726,2.1376722764479816,0.03549886793222156,7.361509323120117,0.0019965171813964844,474.83560395240784,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}"
DNN,13.069647789001465,3.615196704864502,2.489457845687866,0.0030722618103027344,3.223480701446533,0.3019348978996277,6.527543306350708,0.0,80.28924441337585,"{'hidden_dim_0': 144, 'hidden_dim_1': 54, 'hidden_dim_2': 239, 'learning_rate': 0.001356822187026425, 'batch_size': 64, 'num_epochs': 80}"
DCN,6.377686500549316,2.5254082679748535,1.7031285762786865,0.5135222673416138,2.3069984912872314,0.19970227777957916,8.961036205291748,0.001994609832763672,122.7836651802063,"{'cross_layers': 1, 'hidden_layer_0': 113, 'hidden_layer_1': 147, 'hidden_layer_2': 147, 'learning_rate': 0.06109870520050941, 'batch_size': 64, 'num_epochs': 80}"
Wide_and_Deep,6.125276565551758,2.4749295711517334,1.7752354145050049,0.5327756404876709,2.2421772480010986,0.25525084137916565,19.05205249786377,0.001992940902709961,147.18042659759521,"{'hidden_layer_0': 174, 'hidden_layer_1': 146, 'hidden_layer_2': 152, 'learning_rate': 0.015220430881207609, 'batch_size': 32, 'num_epochs': 86}"
XGBoost + NN,9.449877738952637,3.0740654468536377,2.125293731689453,0.2791813611984253,2.7280056476593018,0.34159359335899353,1.0771188735961914,0.0009980201721191406,47.64240741729736,"{'n_estimators': 277, 'max_depth': 4, 'xgb_learning_rate': 0.0008803643815818561, 'subsample': 0.9739063358699767, 'colsample_bytree': 0.9967017294672755, 'use_hidden_layer_0': True, 'hidden_layer_0': 149, 'use_hidden_layer_1': False, 'use_hidden_layer_2': True, 'hidden_layer_2': 240, 'nn_learning_rate': 0.009854364774183848, 'batch_size': 64, 'num_epochs': 11}"
LightGBM + NN,5.793698310852051,2.407010316848755,1.6258255243301392,0.5580677390098572,2.292879343032837,0.17274817824363708,1.8959312438964844,0.000997304916381836,46.8118212223053,"{'n_estimators': 170, 'max_depth': 10, 'lgb_learning_rate': 0.07066592496289201, 'num_leaves': 45, 'subsample': 0.5931417939637795, 'colsample_bytree': 0.9722942022040728, 'hidden_layer_0': 132, 'hidden_layer_1': 152, 'hidden_layer_2': 88, 'nn_learning_rate': 0.09597522633647293, 'batch_size': 128, 'num_epochs': 34}"
AutoInt + NN,6.262543678283691,2.502507448196411,1.6566228866577148,0.5223051309585571,2.258028507232666,0.2604755461215973,6.287187576293945,0.0009982585906982422,124.88903617858887,"{'num_heads': 4, 'embedding_dim': 64, 'num_layers': 2, 'hidden_layer_0': 247, 'hidden_layer_1': 103, 'hidden_layer_2': 160, 'nn_learning_rate': 0.004218957705210928, 'batch_size': 32, 'num_epochs': 34}"
FT-Transformer,13.521662712097168,3.6771812438964844,2.563615083694458,-0.03140664100646973,3.2113499641418457,0.2889449894428253,8.275029420852661,0.001993417739868164,222.80084109306335,"{'num_heads': 1, 'embedding_dim': 35, 'num_layers': 2, 'hidden_layer_0': 158, 'hidden_layer_1': 142, 'hidden_layer_2': 213, 'nn_learning_rate': 0.002241686670543006, 'batch_size': 256, 'num_epochs': 88}"
Neural Architecture Search,11.19450855255127,3.3458194732666016,2.268535614013672,0.14610421657562256,3.1767256259918213,0.3699805736541748,6.8786094188690186,0.000997304916381836,123.8617832660675,"{'num_layers': 2, 'hidden_layer_0': 174, 'hidden_layer_1': 180, 'learning_rate': 0.03037964192539963, 'batch_size': 64, 'num_epochs': 50}"
KAN,6.237864017486572,2.4975717067718506,1.7295715808868408,0.5241876840591431,2.2036972045898438,0.30677828192710876,6.87062931060791,0.0,62.263506174087524,"{'hidden_dim': 232, 'learning_rate': 0.005731237931438762, 'batch_size': 32, 'num_epochs': 92}"
NODE,5.885818004608154,2.42607045173645,1.668811321258545,0.5510410666465759,2.167632818222046,0.2777189314365387,20.521703481674194,0.00398564338684082,228.1516215801239,"{'num_layers': 3, 'num_trees': 10, 'tree_dim': 14, 'learning_rate': 0.008637606472250913, 'batch_size': 32, 'num_epochs': 38}"
TabNet,6.5881431910426205,2.5667378500818154,1.763130710573654,0.49746906757354736,2.2262341826729717,0.25713010070468506,17.26184058189392,0.05086517333984375,661.3824143409729,"{'n_d': 22, 'n_a': 26, 'n_steps': 6, 'gamma': 1.1889464946679256, 'lambda_sparse': 1.6006359589390906e-06, 'learning_rate': 0.03332086464167661, 'batch_size': 256, 'num_epochs': 37}"
SAINT,7.526888,2.7435174,1.7547387,0.4258633852005005,2.309923,0.28163755,15.435719728469849,0.04787254333496094,706.49876856803894,"{'heads': 5, 'dim': 245, 'depth': 5, 'mlp_dim': 210, 'dropout': 0.00123968056163537, 'learning_rate': 0.0004878316298632525, 'batch_size': 256, 'num_epochs': 24}"
