,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,4889229.831828105,2211.160290849152,1691.734253326,0.028525667970412227,3706.3829671549574,2214.571881100691,0.0009975433349609375,0.0,3.9942870140075684,{}
Ridge,4883088.905659915,2209.7712337841476,1690.705257840447,0.02974585036160382,3704.6884803430826,2215.8873141792087,0.0009970664978027344,0.0009963512420654297,0.08776497840881348,"{'alpha': 10.0, 'solver': 'auto'}"
Lasso,4865416.912044349,2205.76900695525,1688.2706924038744,0.03325721897871259,3702.6262452538926,2217.525549845185,0.0009982585906982422,0.0,0.06582498550415039,"{'alpha': 10.0, 'selection': 'cyclic'}"
KNN,3273818.0367700257,1809.3695136068877,1027.5920468444813,0.3495028256283873,3671.7666015740624,2149.877917880432,0.003989696502685547,0.002991914749145508,0.21043729782104492,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}"
Decision Tree,8273080.036686047,2876.29623590583,1650.8212086783149,-0.6438345463219497,4119.649354732839,1919.4449162454623,0.007979393005371094,0.0009987354278564453,0.749995231628418,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Random Forest,3824053.360395481,1955.5186934405615,1397.0430439842792,0.24017282645380245,3705.2818418748525,2161.068660110535,0.669213056564331,0.01197957992553711,137.50833368301392,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
Gradient Boosting,4477412.204499202,2115.989651321386,1623.3594300882908,0.11035251354493647,4404.560550584038,2091.0718195836234,0.3640003204345703,0.0009932518005371094,30.281712532043457,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}"
XGBoost,4467102.980339106,2113.5522185030363,1630.5587732898412,0.11240088939666748,3771.9384661105846,2152.9573651876644,0.05086398124694824,0.0009999275207519531,10.962873458862305,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}"
LightGBM,3659382.94253992,1912.9513696223225,1404.216180081937,0.27289231187252105,3607.2970607103916,2213.854619828138,0.37200498580932617,0.00997161865234375,40.894349098205566,"{'learning_rate': 0.01, 'n_estimators': 400, 'num_leaves': 50}"
CatBoost,4676739.350385802,2162.5770160588045,1655.31371867727,0.07074684709723233,3678.68416867578,2231.898632575543,0.6090652942657471,0.0019948482513427734,91.662034034729,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}"
MLP,4847092.507386554,2201.611343399773,1687.3368776756747,0.03689821958352868,3846.9156936617233,1933.739801446147,5.618086576461792,0.0009963512420654297,335.8498435020447,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}"
DNN,5001051.5,2236.302978515625,1701.87890625,0.006307065486907959,3757.08642578125,2157.006103515625,16.229602336883545,0.0009984970092773438,128.9601502418518,"{'hidden_dim_0': 83, 'hidden_dim_1': 92, 'hidden_dim_2': 133, 'learning_rate': 0.0028595024612266965, 'batch_size': 32, 'num_epochs': 76}"
DCN,4962697.5,2227.711181640625,1694.1334228515625,0.013927876949310303,3755.920654296875,2120.147705078125,9.435765981674194,0.0019948482513427734,103.94204616546631,"{'cross_layers': 1, 'hidden_layer_0': 160, 'hidden_layer_1': 204, 'hidden_layer_2': 140, 'learning_rate': 0.00024672717607645997, 'batch_size': 128, 'num_epochs': 96}"
Wide_and_Deep,5024893.5,2241.62744140625,1726.6439208984375,0.0015698075294494629,3790.10107421875,2103.186279296875,3.4378068447113037,0.0009970664978027344,93.69046449661255,"{'hidden_layer_0': 224, 'hidden_layer_1': 44, 'hidden_layer_2': 192, 'learning_rate': 0.0016061590136444283, 'batch_size': 128, 'num_epochs': 49}"
XGBoost + NN,5003418.5,2236.832275390625,1699.1810302734375,0.005836784839630127,3757.13623046875,2155.943359375,1.826120138168335,0.0,42.13685131072998,"{'n_estimators': 260, 'max_depth': 5, 'xgb_learning_rate': 0.00016852053060804518, 'subsample': 0.986714030299653, 'colsample_bytree': 0.8557110147256659, 'use_hidden_layer_0': False, 'use_hidden_layer_1': False, 'use_hidden_layer_2': False, 'nn_learning_rate': 0.030779389894911826, 'batch_size': 128, 'num_epochs': 81}"
LightGBM + NN,4943231.5,2223.337890625,1831.526611328125,0.01779574155807495,3733.903076171875,2159.6708984375,17.156126260757446,0.001993417739868164,156.2751121520996,"{'n_estimators': 231, 'max_depth': 4, 'lgb_learning_rate': 0.0017009306526396977, 'num_leaves': 50, 'subsample': 0.8604038612661242, 'colsample_bytree': 0.7716968603269441, 'hidden_layer_0': 118, 'hidden_layer_1': 150, 'hidden_layer_2': 197, 'nn_learning_rate': 0.032390672485113584, 'batch_size': 32, 'num_epochs': 77}"
AutoInt + NN,4914299.5,2216.822021484375,1664.5191650390625,0.02354443073272705,3766.6171875,2100.2216796875,0.6273179054260254,0.001996278762817383,128.20716261863708,"{'num_heads': 5, 'embedding_dim': 25, 'num_layers': 3, 'hidden_layer_0': 114, 'hidden_layer_1': 84, 'hidden_layer_2': 197, 'nn_learning_rate': 0.016421642997406182, 'batch_size': 256, 'num_epochs': 11}"
FT-Transformer,5081804.0,2254.28564453125,1757.715576171875,-0.00973820686340332,3785.286376953125,2177.21875,15.947355270385742,0.0019953250885009766,289.81800079345703,"{'num_heads': 3, 'embedding_dim': 54, 'num_layers': 3, 'hidden_layer_0': 120, 'hidden_layer_1': 213, 'hidden_layer_2': 173, 'nn_learning_rate': 0.0069906268765907035, 'batch_size': 32, 'num_epochs': 74}"
