,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,0.16582982671997132,0.40722208525566406,0.35416925360714613,0.3264058727798249,0.41271098787739185,0.01136782734396709,0.0009980201721191406,0.0,0.020940780639648438,{}
Ridge,0.16603943573836188,0.40747936848184335,0.35490880758434784,0.32555444932607747,0.4124895652229779,0.010943493407275438,0.0009980201721191406,0.0,0.0857706069946289,"{'alpha': 10.0, 'solver': 'auto'}"
Lasso,0.19433136987391456,0.4408303186872638,0.4225449688440968,0.21063374381518418,0.43603340186456085,0.004195782868522309,0.0009982585906982422,0.0,0.05285763740539551,"{'alpha': 0.1, 'selection': 'random'}"
KNN,0.09460289073006285,0.3075758292357559,0.1600712664435915,0.615726839530323,0.3122465606928861,0.023005326122936688,0.001992464065551758,0.007978200912475586,0.26927757263183594,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
Decision Tree,0.16569617222719102,0.40705794701392456,0.21153481312843866,0.32694877198676575,0.40708484933377714,0.011010366205734694,0.005983591079711914,0.0,0.561244010925293,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}"
Random Forest,0.09723691536079165,0.3118283427797923,0.22438485739581354,0.6050275367733569,0.3232769016282039,0.012164009261304001,0.5622444152832031,0.013963699340820312,73.91830277442932,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Gradient Boosting,0.10088447213913004,0.3176231605836231,0.1823584421499342,0.5902113069479475,0.3166305875635761,0.017830545444611566,1.3993711471557617,0.005952596664428711,29.025752782821655,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
XGBoost,0.09713725646878904,0.31166850413346076,0.18193109141592217,0.6054323315620422,0.3121820280605295,0.015890148414436776,0.2368779182434082,0.000997304916381836,10.256741523742676,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}"
LightGBM,0.0970157255505893,0.31147347487481064,0.17541167685578551,0.6059260009405109,0.3037767433745075,0.0200050663627804,0.345447301864624,0.005982398986816406,32.17144227027893,"{'learning_rate': 0.05, 'n_estimators': 400, 'num_leaves': 31}"
CatBoost,0.08401561295756478,0.28985446858305425,0.16974326293482053,0.6587319386241431,0.29187691414715206,0.012302897739394492,3.8567657470703125,0.00797891616821289,96.38069105148315,"{'depth': 8, 'iterations': 400, 'learning_rate': 0.1}"
