,MSE,RMSE,MAE,R2 Score,CV Mean RMSE,CV Std RMSE,Training Time (Best Params),Inference Time (Best Params),Computation Time (Total),Best Parameters
Linear Regression,3.5503451404967663,1.8842359566935258,1.5115582543283028,0.9900139779387319,2.0458427916489414,0.09966980573245578,0.0009975433349609375,0.0,3.8337490558624268,{}
Ridge,3.5506690796837397,1.8843219150887514,1.5116366943504334,0.9900130667980569,2.045840341584235,0.09972914995452126,0.0009968280792236328,0.0,0.07280468940734863,"{'alpha': 0.1, 'solver': 'svd'}"
Lasso,3.6241216971022046,1.9037126088520306,1.5348582958323858,0.9898064673185776,2.0569238887178853,0.10923269059494352,0.0010001659393310547,0.0,0.05385923385620117,"{'alpha': 0.1, 'selection': 'cyclic'}"
KNN,12.92231776676116,3.5947625466449327,2.6511940948681216,0.9636535195326001,3.6936427401350045,0.16567735159029182,0.001995086669921875,0.002991199493408203,0.19447803497314453,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}"
Decision Tree,7.368736702062514,2.714541711240134,2.1564803791887126,0.9792740242543923,2.9048957569434735,0.1062795187280061,0.0029916763305664062,0.0,0.5076422691345215,"{'max_depth': 40, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Random Forest,5.124240909741819,2.2636786233345534,1.8231328046567619,0.9855870962548801,2.3473395854925903,0.1400619253704481,1.0831043720245361,0.04986691474914551,50.696434020996094,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}"
Gradient Boosting,4.360861200895269,2.0882675118133855,1.6836525150692938,0.9877342471126132,2.2066541894296092,0.10856422467269217,0.424832820892334,0.0029900074005126953,10.229482173919678,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 400}"
XGBoost,4.435420143361464,2.106043718293014,1.6905714246961805,0.9875245358831781,2.208214534778209,0.10550587565894808,0.06382608413696289,0.0019941329956054688,4.485327959060669,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
LightGBM,4.8325328798159966,2.198302272167319,1.7499064527353418,0.9864075806604837,2.2694964023627686,0.09628581881813392,0.05385613441467285,0.002992391586303711,21.951188802719116,"{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 50}"
CatBoost,4.0027241284323445,2.0006809161963695,1.602428115783189,0.9887415758553257,2.129296394969492,0.1324664587097821,0.34607577323913574,0.0029900074005126953,20.899195432662964,"{'depth': 4, 'iterations': 400, 'learning_rate': 0.05}"
MLP,3.6914937976303084,1.9213260518793547,1.5573386627632566,0.9896169704512129,2.096840072163118,0.052573646350202355,1.9227311611175537,0.0010025501251220703,307.1606307029724,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}"
DNN,345.0408935546875,18.57527732849121,15.422826766967773,0.02950674295425415,19.44192123413086,0.6835442781448364,14.151158332824707,0.0019948482513427734,148.28646993637085,"{'hidden_dim_0': 61, 'hidden_dim_1': 255, 'hidden_dim_2': 247, 'learning_rate': 0.00780633281959205, 'batch_size': 64, 'num_epochs': 91}"
DCN,4.268176078796387,2.0659563541412354,1.686133861541748,0.9879949688911438,2.14398455619812,0.13566364347934723,15.619231700897217,0.000997304916381836,178.41789507865906,"{'cross_layers': 2, 'hidden_layer_0': 91, 'hidden_layer_1': 193, 'hidden_layer_2': 182, 'learning_rate': 0.0014672413033982828, 'batch_size': 64, 'num_epochs': 99}"
Wide_and_Deep,3.6154589653015137,1.9014359712600708,1.5268402099609375,0.9898308515548706,9.233255386352539,3.6008450984954834,2.6798293590545654,0.000997781753540039,92.8277702331543,"{'hidden_layer_0': 224, 'hidden_layer_1': 82, 'hidden_layer_2': 99, 'learning_rate': 0.09888679349113637, 'batch_size': 128, 'num_epochs': 37}"
XGBoost + NN,138.6888427734375,11.776622772216797,9.985432624816895,0.6099112033843994,14.856122970581055,1.9815568923950195,0.8287811279296875,0.0,64.92484927177429,"{'n_estimators': 102, 'max_depth': 3, 'xgb_learning_rate': 0.00015460635296232587, 'subsample': 0.9639142871144375, 'colsample_bytree': 0.6344812684244328, 'use_hidden_layer_0': False, 'use_hidden_layer_1': False, 'use_hidden_layer_2': False, 'nn_learning_rate': 0.0001682724149012347, 'batch_size': 64, 'num_epochs': 22}"
LightGBM + NN,4.922658920288086,2.2187066078186035,1.7581661939620972,0.9861540794372559,2.2969841957092285,0.10380454361438751,6.974351167678833,0.000997304916381836,104.35594272613525,"{'n_estimators': 215, 'max_depth': 8, 'lgb_learning_rate': 0.04041247224253436, 'num_leaves': 33, 'subsample': 0.8405976824865128, 'colsample_bytree': 0.92390957247875, 'hidden_layer_0': 165, 'hidden_layer_1': 73, 'hidden_layer_2': 164, 'nn_learning_rate': 0.0013769773268669137, 'batch_size': 128, 'num_epochs': 93}"
AutoInt + NN,3.778057098388672,1.9437224864959717,1.575127124786377,0.989373505115509,2.127190113067627,0.0948837473988533,1.9826979637145996,0.002001523971557617,90.36834669113159,"{'num_heads': 7, 'embedding_dim': 49, 'num_layers': 1, 'hidden_layer_0': 141, 'hidden_layer_1': 32, 'hidden_layer_2': 93, 'nn_learning_rate': 0.00648975604411795, 'batch_size': 256, 'num_epochs': 43}"
