,Method,Classifier,Accuracy,CV Mean,CV Std
17,CTGAN,Decision Tree,0.59125,0.5859374999999999,0.020324515676886385
19,CopulaGAN,Decision Tree,0.5125,0.6246875,0.005624999999999999
22,DecisionTree,Decision Tree,0.75125,0.7675,0.007551903733496606
20,GaussianCopula,Decision Tree,0.55625,0.5599999999999999,0.010298285658302552
23,MonteCarlo,Decision Tree,0.52875,0.4915625,0.007368641326594745
16,Original,Decision Tree,0.8,0.805,0.008172935519138738
21,SMOTE,Decision Tree,0.7975,0.8022414354518107,0.009204683278166467
18,TVAE,Decision Tree,0.655,0.7940625,0.00985242673152152
33,CTGAN,Gradient Boosting,0.66875,0.6675,0.013162149805407926
35,CopulaGAN,Gradient Boosting,0.61375,0.7059374999999999,0.026542271709482618
38,DecisionTree,Gradient Boosting,0.80125,0.7575000000000001,0.009447635286144371
36,GaussianCopula,Gradient Boosting,0.6825,0.63125,0.025464435984329205
39,MonteCarlo,Gradient Boosting,0.50875,0.510625,0.020855717141829457
32,Original,Gradient Boosting,0.85125,0.8575000000000002,0.015322063340164107
37,SMOTE,Gradient Boosting,0.86625,0.8552718931187154,0.016457967003624407
34,TVAE,Gradient Boosting,0.7525,0.874375,0.019075303077539813
9,CTGAN,KNN,0.49875,0.49468750000000006,0.008361930100162273
11,CopulaGAN,KNN,0.49875,0.49468750000000006,0.008361930100162273
14,DecisionTree,KNN,0.53625,0.5378125,0.02038209232390039
12,GaussianCopula,KNN,0.49875,0.50375,0.017331780779827548
15,MonteCarlo,KNN,0.52875,0.496875,0.013657358364632595
8,Original,KNN,0.5475,0.5340624999999999,0.019146842102550493
13,SMOTE,KNN,0.54625,0.5336861698767017,0.01793869235328813
10,TVAE,KNN,0.50125,0.5075,0.009185586535436935
49,CTGAN,LightGBM,0.64625,0.6553125000000001,0.01220751561539037
51,CopulaGAN,LightGBM,0.61,0.70375,0.012945196985754982
54,DecisionTree,LightGBM,0.82625,0.8046875,0.005321683239352011
52,GaussianCopula,LightGBM,0.6725,0.6053124999999999,0.022827477959687113
55,MonteCarlo,LightGBM,0.5025,0.5028125,0.02403204241216296
48,Original,LightGBM,0.8875,0.880625,0.014272734058336555
53,SMOTE,LightGBM,0.88625,0.8845913462706732,0.008545116420715164
50,TVAE,LightGBM,0.775,0.8815625,0.015606238736479722
1,CTGAN,Logistic Regression,0.49875,0.505625,0.000765465544619754
3,CopulaGAN,Logistic Regression,0.49875,0.505625,0.000765465544619754
6,DecisionTree,Logistic Regression,0.72375,0.636875,0.016846039964929456
4,GaussianCopula,Logistic Regression,0.50125,0.510625,0.0006250000000000089
7,MonteCarlo,Logistic Regression,0.46375,0.5112500000000001,0.007991694907840265
0,Original,Logistic Regression,0.755,0.7387499999999999,0.02004389713853073
5,SMOTE,Logistic Regression,0.74875,0.7407953888248988,0.020123475045098413
2,TVAE,Logistic Regression,0.49875,0.5421875,0.0
25,CTGAN,Random Forest,0.6625,0.6562500000000001,0.017978937329553166
27,CopulaGAN,Random Forest,0.62,0.701875,0.013087744744607452
30,DecisionTree,Random Forest,0.81625,0.7984375,0.015467960838455712
28,GaussianCopula,Random Forest,0.6775,0.6228125,0.016671223335436438
31,MonteCarlo,Random Forest,0.5075,0.5112500000000001,0.016280020347038866
24,Original,Random Forest,0.8825,0.8790625000000001,0.007692833515681979
29,SMOTE,Random Forest,0.88375,0.8827221873921687,0.01075461716774223
26,TVAE,Random Forest,0.75625,0.8721875000000001,0.018178799465311226
41,CTGAN,XGBoost,0.63125,0.64125,0.026119467117458606
43,CopulaGAN,XGBoost,0.6075,0.6796875,0.012732217992164622
46,DecisionTree,XGBoost,0.8125,0.8015625000000002,0.012922545705084576
44,GaussianCopula,XGBoost,0.655,0.6096874999999999,0.014162836492030813
47,MonteCarlo,XGBoost,0.50625,0.5053125,0.02399544227556557
40,Original,XGBoost,0.885,0.8875,0.006555055301063456
45,SMOTE,XGBoost,0.885,0.884589888268428,0.010222238766247118
42,TVAE,XGBoost,0.76875,0.875625,0.018397732536918773
