,Method,Classifier,Accuracy,CV Mean,CV Std
17,CTGAN,Decision Tree,0.4918032786885246,0.5124149659863945,0.023978084094057526
19,CopulaGAN,Decision Tree,0.36065573770491804,0.4833333333333333,0.08930976352499932
22,DecisionTree,Decision Tree,0.6557377049180327,0.735204081632653,0.08040522443033495
20,GaussianCopula,Decision Tree,0.5737704918032787,0.5451530612244898,0.10252203705907965
23,MonteCarlo,Decision Tree,0.5737704918032787,0.508078231292517,0.04005815107601981
16,Original,Decision Tree,0.7213114754098361,0.7644557823129252,0.07067139986087126
21,SMOTE,Decision Tree,0.7213114754098361,0.7687227866473151,0.03425653712132119
18,TVAE,Decision Tree,0.6885245901639344,0.8926870748299318,0.023618340787724464
33,CTGAN,Gradient Boosting,0.5573770491803278,0.5333333333333333,0.0428934019491295
35,CopulaGAN,Gradient Boosting,0.4918032786885246,0.4583333333333333,0.09570199518341384
38,DecisionTree,Gradient Boosting,0.7049180327868853,0.6855442176870749,0.05363388541469614
36,GaussianCopula,Gradient Boosting,0.7049180327868853,0.6200680272108843,0.07877913765102298
39,MonteCarlo,Gradient Boosting,0.5081967213114754,0.5329081632653061,0.04349354720241171
32,Original,Gradient Boosting,0.819672131147541,0.7685374149659864,0.04030791637558969
37,SMOTE,Gradient Boosting,0.7868852459016393,0.7994194484760523,0.0341909855018324
34,TVAE,Gradient Boosting,0.7049180327868853,0.9009353741496599,0.01467421997014316
9,CTGAN,KNN,0.5081967213114754,0.5453231292517007,0.024521073186524474
11,CopulaGAN,KNN,0.39344262295081966,0.3923469387755102,0.048874515265105195
14,DecisionTree,KNN,0.4918032786885246,0.5704081632653061,0.05000520589308506
12,GaussianCopula,KNN,0.6065573770491803,0.5495748299319727,0.03947959930935344
15,MonteCarlo,KNN,0.36065573770491804,0.5534863945578231,0.05982516040267501
8,Original,KNN,0.7049180327868853,0.6364795918367346,0.05705966064541215
13,SMOTE,KNN,0.7540983606557377,0.6631349782293178,0.061320368253950035
10,TVAE,KNN,0.6229508196721312,0.6943027210884354,0.04737241768901826
49,CTGAN,LightGBM,0.5737704918032787,0.470578231292517,0.06822325069096286
51,CopulaGAN,LightGBM,0.5409836065573771,0.46649659863945575,0.08588957349262355
54,DecisionTree,LightGBM,0.7540983606557377,0.727295918367347,0.03994209736173025
52,GaussianCopula,LightGBM,0.6885245901639344,0.6443877551020408,0.05905218895918199
55,MonteCarlo,LightGBM,0.5409836065573771,0.5416666666666667,0.05706219505336604
48,Original,LightGBM,0.8360655737704918,0.8056972789115647,0.05035564662683999
53,SMOTE,LightGBM,0.8360655737704918,0.8182148040638607,0.043858304637526886
50,TVAE,LightGBM,0.7377049180327869,0.9009353741496599,0.023420658274755243
1,CTGAN,Logistic Regression,0.6885245901639344,0.49183673469387756,0.03419424820358987
3,CopulaGAN,Logistic Regression,0.639344262295082,0.48741496598639455,0.04802924033599257
6,DecisionTree,Logistic Regression,0.7377049180327869,0.6775510204081633,0.05100240612113166
4,GaussianCopula,Logistic Regression,0.8032786885245902,0.6611394557823129,0.03115426239149367
7,MonteCarlo,Logistic Regression,0.39344262295081966,0.5824829931972789,0.03217051504156728
0,Original,Logistic Regression,0.8524590163934426,0.846938775510204,0.04992083255399478
5,SMOTE,Logistic Regression,0.8688524590163934,0.8219158200290277,0.044217298169705925
2,TVAE,Logistic Regression,0.7540983606557377,0.871938775510204,0.023717326351289092
25,CTGAN,Random Forest,0.7213114754098361,0.4549319727891157,0.04316596567141505
27,CopulaGAN,Random Forest,0.4918032786885246,0.4582482993197279,0.0956144622301982
30,DecisionTree,Random Forest,0.7540983606557377,0.6980442176870748,0.03596586962740423
28,GaussianCopula,Random Forest,0.6721311475409836,0.6238945578231293,0.02495657758906545
31,MonteCarlo,Random Forest,0.45901639344262296,0.5414115646258504,0.031569958352052306
24,Original,Random Forest,0.8524590163934426,0.8305272108843538,0.030390114337891648
29,SMOTE,Random Forest,0.8032786885245902,0.8181422351233673,0.028469230987877656
26,TVAE,Random Forest,0.7704918032786885,0.8968537414965987,0.021745443563982433
41,CTGAN,XGBoost,0.5409836065573771,0.4300170068027211,0.05006734554771104
43,CopulaGAN,XGBoost,0.4918032786885246,0.46649659863945575,0.07482529361010981
46,DecisionTree,XGBoost,0.7213114754098361,0.7229591836734693,0.043392849644266235
44,GaussianCopula,XGBoost,0.6721311475409836,0.632142857142857,0.061351554653199865
47,MonteCarlo,XGBoost,0.45901639344262296,0.5373299319727891,0.054626263330670846
40,Original,XGBoost,0.7868852459016393,0.7933673469387756,0.026301502895473484
45,SMOTE,XGBoost,0.7704918032786885,0.8030478955007256,0.045499278917191285
42,TVAE,XGBoost,0.7704918032786885,0.9093537414965986,0.03739698856910364
