,Method,Classifier,Accuracy,CV Mean,CV Std
17,CTGAN,Decision Tree,0.5633333333333334,0.5091666666666667,0.03316624790355401
19,CopulaGAN,Decision Tree,0.5833333333333334,0.595,0.04381146476031643
22,DecisionTree,Decision Tree,0.87,0.8541666666666666,0.02674467755980201
20,GaussianCopula,Decision Tree,0.5766666666666667,0.575,0.013693063937629145
23,MonteCarlo,Decision Tree,0.57,0.5725,0.024804793443562043
16,Original,Decision Tree,0.89,0.8491666666666667,0.019614337159899676
21,SMOTE,Decision Tree,0.9,0.8949186473992647,0.011114704838754081
18,TVAE,Decision Tree,0.7733333333333333,0.8991666666666667,0.01943650631615102
33,CTGAN,Gradient Boosting,0.6333333333333333,0.56,0.024804793443562036
35,CopulaGAN,Gradient Boosting,0.7133333333333334,0.6683333333333333,0.024381231397213012
38,DecisionTree,Gradient Boosting,0.8633333333333333,0.8775000000000001,0.017989194287435766
36,GaussianCopula,Gradient Boosting,0.6833333333333333,0.6758333333333333,0.005527707983925684
39,MonteCarlo,Gradient Boosting,0.6766666666666666,0.6641666666666666,0.01384437310486344
32,Original,Gradient Boosting,0.9133333333333333,0.9275,0.009718253158075492
37,SMOTE,Gradient Boosting,0.8933333333333333,0.9154588141083974,0.019392179046095522
34,TVAE,Gradient Boosting,0.7933333333333333,0.9358333333333333,0.015046225071056515
9,CTGAN,KNN,0.6033333333333334,0.5166666666666666,0.022821773229381923
11,CopulaGAN,KNN,0.6233333333333333,0.6083333333333333,0.014191155304938663
14,DecisionTree,KNN,0.6666666666666666,0.6624999999999999,0.021245914639969932
12,GaussianCopula,KNN,0.6333333333333333,0.6266666666666667,0.008579691784155803
15,MonteCarlo,KNN,0.62,0.6333333333333334,0.015138251770487453
8,Original,KNN,0.7,0.6791666666666668,0.025685058345704056
13,SMOTE,KNN,0.65,0.7204382484621263,0.05847721183407002
10,TVAE,KNN,0.7066666666666667,0.8183333333333334,0.011666666666666662
49,CTGAN,LightGBM,0.6033333333333334,0.5316666666666666,0.023658449277630646
51,CopulaGAN,LightGBM,0.6833333333333333,0.6624999999999999,0.01972026594366538
54,DecisionTree,LightGBM,0.88,0.8866666666666665,0.011606990230986765
52,GaussianCopula,LightGBM,0.64,0.6416666666666667,0.014191155304938663
55,MonteCarlo,LightGBM,0.6866666666666666,0.6308333333333332,0.021826334756181325
48,Original,LightGBM,0.9233333333333333,0.9225000000000001,0.0062360956446232615
53,SMOTE,LightGBM,0.9166666666666666,0.9341790121209916,0.02122459198351388
50,TVAE,LightGBM,0.8,0.9324999999999999,0.016115899671511454
1,CTGAN,Logistic Regression,0.7833333333333333,0.5549999999999999,0.028185890875479607
3,CopulaGAN,Logistic Regression,0.69,0.6725,0.0056519416526044156
6,DecisionTree,Logistic Regression,0.8333333333333334,0.8158333333333333,0.008079466429027222
4,GaussianCopula,Logistic Regression,0.71,0.6941666666666666,0.005651941652604409
7,MonteCarlo,Logistic Regression,0.69,0.6924999999999999,0.0016666666666666607
0,Original,Logistic Regression,0.85,0.8658333333333333,0.00964653075232519
5,SMOTE,Logistic Regression,0.82,0.8629272376515125,0.019600938150375148
2,TVAE,Logistic Regression,0.8033333333333333,0.9400000000000001,0.011960583412006094
25,CTGAN,Random Forest,0.65,0.5475,0.03339577484918981
27,CopulaGAN,Random Forest,0.71,0.6733333333333332,0.010736748938937616
30,DecisionTree,Random Forest,0.8766666666666667,0.8775000000000001,0.014577379737113264
28,GaussianCopula,Random Forest,0.6833333333333333,0.6875,0.016873713942763824
31,MonteCarlo,Random Forest,0.6966666666666667,0.6708333333333333,0.009128709291752777
24,Original,Random Forest,0.9,0.9099999999999999,0.020514222708485307
29,SMOTE,Random Forest,0.8866666666666667,0.9220944199759764,0.03155059770583897
26,TVAE,Random Forest,0.8066666666666666,0.9383333333333332,0.013281147875424372
41,CTGAN,XGBoost,0.5633333333333334,0.5275000000000001,0.029178569000019312
43,CopulaGAN,XGBoost,0.6666666666666666,0.6541666666666666,0.027259045389660196
46,DecisionTree,XGBoost,0.87,0.8866666666666667,0.01522972240208088
44,GaussianCopula,XGBoost,0.6566666666666666,0.6433333333333333,0.024804793443562026
47,MonteCarlo,XGBoost,0.6366666666666667,0.6308333333333334,0.013844373104863453
40,Original,XGBoost,0.92,0.925,0.004564354645876408
45,SMOTE,XGBoost,0.9133333333333333,0.9384067994030503,0.02232901459291451
42,TVAE,XGBoost,0.8066666666666666,0.93,0.016115899671511454
