,Method,Classifier,Accuracy,CV Mean,CV Std
17,CTGAN,Decision Tree,0.25,0.24315563725490197,0.023455179638396998
19,CopulaGAN,Decision Tree,0.259375,0.28616421568627454,0.028348272013895795
22,DecisionTree,Decision Tree,0.459375,0.4738174019607843,0.02050035635096102
20,GaussianCopula,Decision Tree,0.403125,0.36746629901960787,0.020960276815354284
23,MonteCarlo,Decision Tree,0.31875,0.35575367647058825,0.01877969912172473
16,Original,Decision Tree,0.60625,0.5902787990196078,0.018506272977876183
21,SMOTE,Decision Tree,0.625,0.7724770642201835,0.018686992192602073
18,TVAE,Decision Tree,0.59375,0.7419761029411764,0.013495752167148508
33,CTGAN,Gradient Boosting,0.271875,0.3252757352941177,0.03421926966907226
35,CopulaGAN,Gradient Boosting,0.29375,0.36589767156862746,0.021825171440101043
38,DecisionTree,Gradient Boosting,0.6125,0.5152420343137255,0.015543991754580757
36,GaussianCopula,Gradient Boosting,0.425,0.43314950980392164,0.015053885728683051
39,MonteCarlo,Gradient Boosting,0.425,0.424561887254902,0.023846752132861616
32,Original,Gradient Boosting,0.665625,0.6442371323529412,0.015416389638124776
37,SMOTE,Gradient Boosting,0.615625,0.8079510703363916,0.013764865363824944
34,TVAE,Gradient Boosting,0.603125,0.79515625,0.018543129623933497
9,CTGAN,KNN,0.296875,0.24707414215686274,0.015602486423658316
11,CopulaGAN,KNN,0.290625,0.23140931372549017,0.01780639943303235
14,DecisionTree,KNN,0.434375,0.37450367647058824,0.016467895287663504
12,GaussianCopula,KNN,0.41875,0.42064338235294113,0.01127849111157573
15,MonteCarlo,KNN,0.41875,0.400281862745098,0.027164581448350742
8,Original,KNN,0.54375,0.45896446078431374,0.03079733668275959
13,SMOTE,KNN,0.415625,0.6755351681957187,0.01913210069677925
10,TVAE,KNN,0.55,0.6317432598039215,0.028745395881006344
49,CTGAN,LightGBM,0.3375,0.2986734068627451,0.013935548620728162
51,CopulaGAN,LightGBM,0.328125,0.37292279411764706,0.022066776293129465
54,DecisionTree,LightGBM,0.578125,0.5598314950980392,0.01830953817967667
52,GaussianCopula,LightGBM,0.434375,0.42924632352941183,0.01848744317056476
55,MonteCarlo,LightGBM,0.484375,0.4323805147058824,0.009943672119197236
48,Original,LightGBM,0.703125,0.6497028186274509,0.02270640746955032
53,SMOTE,LightGBM,0.68125,0.8681957186544341,0.01213262044335007
50,TVAE,LightGBM,0.59375,0.7888939950980391,0.01164935036405498
1,CTGAN,Logistic Regression,0.30625,0.2939889705882353,0.013820375696261416
3,CopulaGAN,Logistic Regression,0.359375,0.32604473039215687,0.02014994437049122
6,DecisionTree,Logistic Regression,0.540625,0.4206158088235294,0.019967238047958476
4,GaussianCopula,Logistic Regression,0.41875,0.43551776960784316,0.015768824559453762
7,MonteCarlo,Logistic Regression,0.384375,0.45035539215686277,0.039128592203413484
0,Original,Logistic Regression,0.578125,0.584797794117647,0.029485279792243854
5,SMOTE,Logistic Regression,0.30625,0.5030581039755352,0.016095042650692087
2,TVAE,Logistic Regression,0.596875,0.7670281862745097,0.04655272218545912
25,CTGAN,Random Forest,0.30625,0.32762561274509805,0.027556150228417974
27,CopulaGAN,Random Forest,0.346875,0.38152573529411765,0.024452934560016574
30,DecisionTree,Random Forest,0.540625,0.5356004901960784,0.0236550262954229
28,GaussianCopula,Random Forest,0.5,0.42924632352941183,0.03240051492623013
31,MonteCarlo,Random Forest,0.440625,0.4245588235294118,0.021919666767496647
24,Original,Random Forest,0.71875,0.6661274509803922,0.014956270033206135
29,SMOTE,Random Forest,0.653125,0.8611620795107034,0.007515722157458444
26,TVAE,Random Forest,0.6125,0.8084283088235293,0.022245297909611602
41,CTGAN,XGBoost,0.309375,0.2900796568627451,0.01853423417460538
43,CopulaGAN,XGBoost,0.296875,0.3697947303921569,0.029309383183038242
46,DecisionTree,XGBoost,0.590625,0.5543535539215686,0.012086882041886278
44,GaussianCopula,XGBoost,0.415625,0.42532475490196076,0.011403359132509946
47,MonteCarlo,XGBoost,0.415625,0.4245680147058824,0.014635475991354443
40,Original,XGBoost,0.721875,0.6489307598039216,0.014823709698350574
45,SMOTE,XGBoost,0.6875,0.863914373088685,0.016181965205287998
42,TVAE,XGBoost,0.609375,0.7975,0.024613218945822586
