,Method,Classifier,Accuracy,CV Mean,CV Std
17,CTGAN,Decision Tree,0.74,0.7728124999999999,0.02
19,CopulaGAN,Decision Tree,0.655,0.6815625,0.012398021515548346
22,DecisionTree,Decision Tree,0.94375,0.9475,0.008705242673240066
20,GaussianCopula,Decision Tree,0.6875,0.6621874999999999,0.022238058593321466
23,MonteCarlo,Decision Tree,0.64875,0.6512499999999999,0.01363589014329466
16,Original,Decision Tree,0.9475,0.940625,0.004074501503251663
21,SMOTE,Decision Tree,0.91625,0.9211564405487807,0.014070137439750817
18,TVAE,Decision Tree,0.84375,0.8803124999999999,0.012484365222148878
33,CTGAN,Gradient Boosting,0.8375,0.8540625000000001,0.022043990110685502
35,CopulaGAN,Gradient Boosting,0.79875,0.7740625,0.009560661587986451
38,DecisionTree,Gradient Boosting,0.94875,0.95,0.003952847075210477
36,GaussianCopula,Gradient Boosting,0.80375,0.7887500000000001,0.0026882266459508177
39,MonteCarlo,Gradient Boosting,0.7975,0.7878125,0.0038780230143721606
32,Original,Gradient Boosting,0.96125,0.9481249999999999,0.004980430453284119
37,SMOTE,Gradient Boosting,0.93125,0.943210175304878,0.017861500946195576
34,TVAE,Gradient Boosting,0.85125,0.92125,0.007098635432250346
9,CTGAN,KNN,0.655,0.5753125000000001,0.013813772565812732
11,CopulaGAN,KNN,0.69375,0.6453125,0.025674494883054646
14,DecisionTree,KNN,0.78375,0.8215625,0.008232462420199654
12,GaussianCopula,KNN,0.76,0.7603125,0.01220751561539039
15,MonteCarlo,KNN,0.77375,0.7646875,0.003644344934278298
8,Original,KNN,0.78375,0.778125,0.011136581050753394
13,SMOTE,KNN,0.59125,0.7539064405487805,0.02004609845964811
10,TVAE,KNN,0.72125,0.8240624999999999,0.020314903703931263
49,CTGAN,LightGBM,0.8125,0.850625,0.01658312395177698
51,CopulaGAN,LightGBM,0.80625,0.7728125,0.016700486519859246
54,DecisionTree,LightGBM,0.9575,0.9568750000000001,0.005728219618694799
52,GaussianCopula,LightGBM,0.80875,0.7784375,0.006202947887899753
55,MonteCarlo,LightGBM,0.8,0.7865624999999999,0.002898005779842403
48,Original,LightGBM,0.96875,0.9606250000000001,0.004881406047441652
53,SMOTE,LightGBM,0.96375,0.961358612804878,0.013914550833188544
50,TVAE,LightGBM,0.85125,0.921875,0.00522912516583798
1,CTGAN,Logistic Regression,0.77875,0.744375,0.016903910420373144
3,CopulaGAN,Logistic Regression,0.80375,0.7315625,0.016694637986491342
6,DecisionTree,Logistic Regression,0.80125,0.8446875,0.0012500000000000178
4,GaussianCopula,Logistic Regression,0.8,0.7931249999999999,0.0007654655446196997
7,MonteCarlo,Logistic Regression,0.8,0.7959375000000001,0.000765465544619754
0,Original,Logistic Regression,0.84375,0.828125,0.01173436459719912
5,SMOTE,Logistic Regression,0.73875,0.7453166920731708,0.016990960626055575
2,TVAE,Logistic Regression,0.81375,0.8903125,0.014836346838086528
25,CTGAN,Random Forest,0.82625,0.849375,0.02130049148493996
27,CopulaGAN,Random Forest,0.8025,0.7703125,0.02010713492768175
30,DecisionTree,Random Forest,0.94,0.9365625,0.008003905296791057
28,GaussianCopula,Random Forest,0.80375,0.7921875,0.002964635306407851
31,MonteCarlo,Random Forest,0.8,0.7959375000000001,0.001593443597997768
24,Original,Random Forest,0.95125,0.9365625000000002,0.006218671481916396
29,SMOTE,Random Forest,0.93125,0.9475032393292683,0.018665418614547583
26,TVAE,Random Forest,0.855,0.921875,0.0059292706128157135
41,CTGAN,XGBoost,0.81875,0.8515625,0.01540469692983283
43,CopulaGAN,XGBoost,0.805,0.7546875,0.01792453799962497
46,DecisionTree,XGBoost,0.95875,0.95375,0.005096720759468789
44,GaussianCopula,XGBoost,0.8,0.7671875,0.001976423537605265
47,MonteCarlo,XGBoost,0.78375,0.77125,0.007029513674501236
40,Original,XGBoost,0.96625,0.9574999999999999,0.0026882266459508125
45,SMOTE,XGBoost,0.955,0.9596032774390244,0.015601885062561842
42,TVAE,XGBoost,0.84125,0.9203125,0.006011057519272295
