,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,15.63375,-0.2849048084534347,15.854062500000001,0.7390414241180937
19,CopulaGAN,Decision Tree,15.34125,-0.26086485281434424,12.927812499999998,0.9185163393347989
22,DecisionTree,Decision Tree,10.59375,0.1293221194816616,10.743125,0.6156381661028658
20,GaussianCopula,Decision Tree,9.8725,0.18860012975411955,10.4671875,0.29453850289478267
16,Original,Decision Tree,9.87,0.1888055994604365,8.9078125,0.3738275943700516
21,Regression,Decision Tree,9.145211796058845,0.24837440722276605,5.568526093045227,1.1632605143891275
23,Stochastic,Decision Tree,21.294472010081037,-0.7501475640348731,22.218423913426967,1.300229543340437
18,TVAE,Decision Tree,9.4425,0.22394091924064563,2.680625,0.2887618368785945
33,CTGAN,Gradient Boosting,7.243830741448392,0.40464488997778225,8.04780563268594,0.5488765256204696
35,CopulaGAN,Gradient Boosting,8.02738505543536,0.3402462200664501,6.088242153415096,0.336542979490033
38,DecisionTree,Gradient Boosting,5.755859082130167,0.5269381299170434,10.373265160266337,0.4235230314120142
36,GaussianCopula,Gradient Boosting,5.456269419730265,0.5515607698966116,5.290777378916507,0.14185758693755063
32,Original,Gradient Boosting,5.143921480323286,0.5772319856480819,4.784819561438997,0.35744421230737333
37,Regression,Gradient Boosting,5.138864818884319,0.5776475819444056,3.7764359271907573,0.46148613120369697
39,Stochastic,Gradient Boosting,11.688577086392934,0.039340599518035146,10.92982589257791,0.8730760836475935
34,TVAE,Gradient Boosting,8.097704134749948,0.3344668438363497,1.441278961310884,0.18719579569864944
9,CTGAN,KNN,9.315050000000001,0.23441576486868676,9.2742125,0.4541423124968653
11,CopulaGAN,KNN,11.080050000000002,0.08935415220887633,7.185325000000001,0.34763383978332685
14,DecisionTree,KNN,8.248199999999999,0.3220979073424086,16.871499999999997,0.6147041285244462
12,GaussianCopula,KNN,6.3536,0.4778110695776929,6.3242625,0.17851991485545848
8,Original,KNN,5.5036000000000005,0.547670769725477,5.209349999999999,0.3817990669187129
13,Regression,KNN,5.847772248514012,0.5193839813956211,3.429130809047488,0.5287694811510772
15,Stochastic,KNN,14.096035590182634,-0.15852331717959012,12.777347670465149,0.8830045958425069
10,TVAE,KNN,8.663450000000001,0.28796938912315284,1.6796374999999997,0.18736163811597084
49,CTGAN,LightGBM,7.528622577478565,0.38123845201354134,8.738312181826725,0.6775466845084849
51,CopulaGAN,LightGBM,8.594572650808912,0.29363027260722785,6.379759354716576,0.2235936108750496
54,DecisionTree,LightGBM,5.506789583507743,0.5474086246108332,6.772675637556276,0.4920864448160452
52,GaussianCopula,LightGBM,5.539979990698434,0.5446807753236279,5.484002418047763,0.164552009573195
48,Original,LightGBM,5.256306205988879,0.567995323017271,4.970625886585211,0.3220711499458153
53,Regression,LightGBM,5.428279198089079,0.5538612269447565,3.2650929865492544,0.38238847813772464
55,Stochastic,LightGBM,13.384370428773456,-0.10003306449527294,11.875381297199088,0.9497503795933266
50,TVAE,LightGBM,7.925467844027607,0.34862257986509004,1.5177725512991675,0.1899181608746444
1,CTGAN,Linear Regression,7.588218634229699,0.3763403783022182,8.11728924556428,0.5731443549224218
3,CopulaGAN,Linear Regression,7.8697557824122555,0.35320143624045874,6.4242595274148515,0.3753455741311165
6,DecisionTree,Linear Regression,8.559314187732232,0.29652809102864963,15.19714385491226,0.4124282572842655
4,GaussianCopula,Linear Regression,5.611486247777913,0.5388038274668483,5.042558378249492,0.14396693194288016
0,Original,Linear Regression,5.2965536677103024,0.5646874693613085,5.213376949499418,0.5128093770459281
5,Regression,Linear Regression,5.437526334738145,0.5531012243641338,4.887886613311476,0.7013330629547989
7,Stochastic,Linear Regression,11.964536407313478,0.01666008726804058,10.68652740890618,0.8792177154992703
2,TVAE,Linear Regression,8.271767780499763,0.3201609213672766,1.4999265639256305,0.22425440378671668
25,CTGAN,Random Forest,8.248197625,0.3220981025386296,8.333094062499999,0.6482049249137891
27,CopulaGAN,Random Forest,9.222076875,0.2420570291443368,6.31257759375,0.286471699437909
30,DecisionTree,Random Forest,5.92240125,0.513250381788398,6.106850937500001,0.5442035266225566
28,GaussianCopula,Random Forest,5.550724,0.5437977479492839,5.4806708125,0.11356501376846048
24,Original,Random Forest,5.144939999999999,0.577148275672541,4.86539578125,0.4054054607471073
29,Regression,Random Forest,5.431345147321133,0.5536092430694394,2.8111449514961016,0.4320144296651944
31,Stochastic,Random Forest,12.262319251567519,-0.007814054154008376,11.133657568552326,0.906937338578582
26,TVAE,Random Forest,7.8183895,0.3574231222251958,1.4375787499999997,0.17249020497476447
41,CTGAN,XGBoost,7.798163283397332,0.35908544063568115,9.903244958464953,0.7543721450700173
43,CopulaGAN,XGBoost,9.091459003289847,0.25279223918914795,7.116681156290449,0.37329855155863345
46,DecisionTree,XGBoost,5.841766996599915,0.519877552986145,7.277375093184409,0.5427793591565117
44,GaussianCopula,XGBoost,6.178609238601436,0.49219316244125366,6.140704244932453,0.17493331669910678
40,Original,XGBoost,5.730300377801468,0.5290387868881226,5.389394610503247,0.39501522455557064
45,Regression,XGBoost,6.255296852403513,0.48589038848876953,3.0724314391689695,0.28266999216471234
47,Stochastic,XGBoost,16.403217946614106,-0.3481457233428955,13.33979086218235,1.095215800171326
42,TVAE,XGBoost,7.995960578987455,0.3428289294242859,1.6207141108530336,0.19020889667627836
