,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,5693125.0,-0.6632742770656603,7930366.784733275,965483.3813648687
19,CopulaGAN,Decision Tree,8484129.602739725,-1.4786799045389456,9029774.081299735,681403.5460338962
22,DecisionTree,Decision Tree,86031.3904109589,0.9748655090673854,106015.11741821395,16322.127510663742
20,GaussianCopula,Decision Tree,307669.58219178085,0.9101128287372703,221479.72699675808,17637.540485969075
16,Original,Decision Tree,37007.68493150685,0.9891880240816202,72098.0192749779,23318.27614434382
21,Regression,Decision Tree,64743.24045164656,0.9810849460608891,41330.44039740149,18199.14846607382
23,Stochastic,Decision Tree,8167344.795450756,-1.3861296757403605,7174603.643843731,397049.29025047016
18,TVAE,Decision Tree,1909269.1164383562,0.44219770172483497,2180190.41809608,243625.7552022586
33,CTGAN,Gradient Boosting,3428183.3555813585,-0.0015605124431861128,4547485.323571731,653346.0255036599
35,CopulaGAN,Gradient Boosting,4498983.436816697,-0.31439998654546875,4527968.029085755,439645.9222023257
38,DecisionTree,Gradient Boosting,41062.7143802225,0.988003327421211,70207.05026124846,9940.689981169637
36,GaussianCopula,Gradient Boosting,88338.94480528084,0.9741913457797349,113652.04846569142,15509.45088575938
32,Original,Gradient Boosting,11108.648674813634,0.9967545540289776,17316.9044082229,6506.509312115821
37,Regression,Gradient Boosting,27511.798477392433,0.9919622936922584,13762.318386501971,3668.437934930301
39,Stochastic,Gradient Boosting,3980003.1935679275,-0.1627773734988629,4322376.994648581,260801.4553731744
34,TVAE,Gradient Boosting,563196.8879651533,0.8354592782213863,1343603.735845049,157892.6076358601
9,CTGAN,KNN,3571692.0641095885,-0.0434872826142112,4521482.463006189,641665.800246128
11,CopulaGAN,KNN,10831096.864109589,-2.164357853811398,5180251.364946654,359296.55481841334
14,DecisionTree,KNN,34687.56821917809,0.9898658575118376,88939.53806483938,20935.386679702173
12,GaussianCopula,KNN,3854768.21260274,-0.1261893620941943,4258344.334471559,511808.663322942
8,Original,KNN,14328.460000000001,0.9958138704230165,16897.057518420275,2989.5579761818367
13,Regression,KNN,23127.11188171048,0.9932433012983786,14968.822593221092,4041.5280525043418
15,Stochastic,KNN,3865608.659799578,-0.1293564516933845,4405075.396717247,381658.9289568631
10,TVAE,KNN,4774041.205479452,-0.39475945719187777,2975292.3196999705,222010.0137966465
49,CTGAN,LightGBM,3686800.3749934793,-0.07711673789047047,4612486.510343527,553459.992286665
51,CopulaGAN,LightGBM,3581334.9623317034,-0.046304502430956296,5057555.402757322,673202.5766955367
54,DecisionTree,LightGBM,32988.736795346624,0.9903621794103257,71708.40001233562,7350.28844503824
52,GaussianCopula,LightGBM,75430.80159494965,0.9779625228690177,136518.46987476302,15667.322601300333
48,Original,LightGBM,13557.971878260023,0.9960389722912655,25731.464536468062,8925.496642000955
53,Regression,LightGBM,39982.96851345067,0.9883187804502538,14849.202214888297,6665.127835548892
55,Stochastic,LightGBM,3834132.2497294717,-0.12016046474351438,4605529.145731332,159616.57333389742
50,TVAE,LightGBM,519589.5897755298,0.8481993633892216,1340732.7009101124,249112.86661736463
1,CTGAN,Linear Regression,3217623.521930374,0.05995557144657693,3839021.911238144,575262.6243506336
3,CopulaGAN,Linear Regression,2985162.246471896,0.12787026853894046,4415354.621327249,396898.3015187857
6,DecisionTree,Linear Regression,48597.02977137083,0.9858021403779971,237344.90730795683,59237.93802003444
4,GaussianCopula,Linear Regression,8339.590654983507,0.9975635478550547,153975.8914214261,10552.63688174409
0,Original,Linear Regression,2.05732849269396e-24,1.0,1.3158255571788192e-24,3.7615470349627073e-25
5,Regression,Linear Regression,1.948265295490907e-24,1.0,2.0009103226188735e-24,6.0561551397841335e-25
7,Stochastic,Linear Regression,3107074.3676521317,0.09225304685109792,3980360.97577835,173350.51735702055
2,TVAE,Linear Regression,476631.9158749571,0.8607496576478929,1291226.63322854,145968.61455882873
25,CTGAN,Random Forest,3403638.797856849,0.005610299984984635,4128866.957489687,564494.9875795863
27,CopulaGAN,Random Forest,3808886.973226712,-0.11278493390158673,4564930.324793669,462835.95623919304
30,DecisionTree,Random Forest,31775.348819863008,0.9907166766342094,54863.79155279987,8119.956402670685
28,GaussianCopula,Random Forest,95704.82193287669,0.9720393687979619,118527.55641675656,13190.10127850164
24,Original,Random Forest,10634.922528082188,0.996892955436681,23155.727455397875,8240.357135070537
29,Regression,Random Forest,43529.72290518712,0.9872825788304326,17341.13252171656,7435.466436264662
31,Stochastic,Random Forest,3408553.593226144,0.004174418511314282,4010540.6500996947,149909.7730574119
26,TVAE,Random Forest,515171.4923178082,0.8494901321418835,1222103.0562740257,218757.11552311515
41,CTGAN,XGBoost,3502551.0567317675,-0.023287534713745117,5120935.8320451,789024.1772787275
43,CopulaGAN,XGBoost,5380294.753463132,-0.571879506111145,5094458.920404066,658387.9440088489
46,DecisionTree,XGBoost,44698.25803797804,0.9869411587715149,73798.51298564658,11858.053657205117
44,GaussianCopula,XGBoost,131680.7345822582,0.9615288376808167,137364.884338438,11581.271350582403
40,Original,XGBoost,15848.920390470386,0.9953696727752686,28572.06640724338,7764.817838158173
45,Regression,XGBoost,38537.5158542611,0.9887410998344421,16584.995880859573,5214.078083626649
47,Stochastic,XGBoost,4332931.729692774,-0.26588714122772217,4849267.398007805,347272.8627907163
42,TVAE,XGBoost,889719.9660507209,0.7400639057159424,1368907.771417762,126020.41817213224
