,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,289.06896136363633,-5.246977314173487,148.37900220289856,29.32442852507544
19,CopulaGAN,Decision Tree,139.61768522727274,-2.017233355521044,170.2015290020704,13.580935547501907
22,DecisionTree,Decision Tree,34.77169204545455,0.24856003093970935,42.11859137888199,11.036464444757312
20,GaussianCopula,Decision Tree,60.51390681818182,-0.3077467788374757,61.657344799171845,10.254708962802216
16,Original,Decision Tree,42.808925,0.07486994778819112,41.506959991718425,9.13101534836648
21,Regression,Decision Tree,31.158952144642832,0.32663380301096856,18.13693117256038,3.863172302564072
23,Stochastic,Decision Tree,184.24976917836378,-2.9817631155183975,141.93168942403165,28.521521408407093
18,TVAE,Decision Tree,80.41453636363639,-0.7378129496285954,68.48138840579709,11.607880500618474
33,CTGAN,Gradient Boosting,133.37442852249674,-1.8823123220855833,101.08759100595232,10.463422109271642
35,CopulaGAN,Gradient Boosting,94.19619551639384,-1.0356439989145998,104.89004808571144,14.882580704085555
38,DecisionTree,Gradient Boosting,23.394464769198148,0.4944296682667083,29.879070494968026,1.9807349709644486
36,GaussianCopula,Gradient Boosting,21.25064174923218,0.5407591451782168,32.488933084800315,5.888193493242738
32,Original,Gradient Boosting,17.001270457756505,0.6325909555950924,20.0202573058864,2.6302959931066034
37,Regression,Gradient Boosting,19.203440599106855,0.5850005576150746,11.616443948138535,3.1076961090989412
39,Stochastic,Gradient Boosting,61.34900370395671,-0.3257937918269127,81.04805951499306,4.953580696659057
34,TVAE,Gradient Boosting,45.8427863985417,0.009306134774052843,38.83971210584228,4.9475532568721645
9,CTGAN,KNN,118.42579809090908,-1.559262227936531,106.18056098169771,17.544559088182062
11,CopulaGAN,KNN,112.45503222727274,-1.4302299073358524,100.79404635991719,12.57972803676161
14,DecisionTree,KNN,34.12393713636364,0.26255845610146544,73.26007686525881,4.065346815765853
12,GaussianCopula,KNN,38.98300090909092,0.15755077553570274,42.30418793358178,7.197036343728181
8,Original,KNN,25.970338727272726,0.4387632760523611,24.70302717614907,3.730748735513317
13,Regression,KNN,29.11668899636959,0.3707685018615535,16.989861676256254,2.6364538037224996
15,Stochastic,KNN,62.54084896163309,-0.3515503803294866,78.05428279695744,3.9298177533028933
10,TVAE,KNN,46.075458045454546,0.0042779418713652095,42.145156742194615,4.979903953488525
49,CTGAN,LightGBM,139.47381965349447,-2.0141243223981387,98.91678879342045,11.633419577432877
51,CopulaGAN,LightGBM,90.02590686648428,-0.9455212182928217,100.85921386051434,12.850677583574614
54,DecisionTree,LightGBM,25.828728618406547,0.4418235670409596,26.432228281148184,2.2866006966821275
52,GaussianCopula,LightGBM,25.433014532791365,0.4503752181904833,32.67679384329699,3.490077344235237
48,Original,LightGBM,17.592250637077235,0.6198194710471592,22.4098728223932,2.809029939842225
53,Regression,LightGBM,19.605453234073114,0.5763127905203358,10.733478481040999,2.5834676491416553
55,Stochastic,LightGBM,83.8684054829825,-0.8124534158097345,79.17702334797153,4.3990942866304
50,TVAE,LightGBM,47.26920184187043,-0.021519675347608347,38.840156538425504,4.981011753390072
1,CTGAN,Linear Regression,125.08362343831855,-1.7031423723518841,83.37752652015557,13.320858177204093
3,CopulaGAN,Linear Regression,1.4105113574779783e+20,-3.04821119845675e+18,91.64787205522666,6.570627644648434
6,DecisionTree,Linear Regression,34.69145933651586,0.2502939144747326,60.65354122845882,13.65858808462988
4,GaussianCopula,Linear Regression,2.7096616349830774e+18,-5.855763511576685e+16,26.96731559808225,1.933161078140251
0,Original,Linear Regression,15.96092587560863,0.6550735112210685,19.533193340338833,1.2418003169723126
5,Regression,Linear Regression,16.41642788230392,0.6452298023394136,14.662818761403296,0.8577842229419482
7,Stochastic,Linear Regression,61.92665027273134,-0.33827712796138587,66.57814392927459,4.262292935452604
2,TVAE,Linear Regression,35.311558883218716,0.2368931405469188,36.48758727854009,4.34633512012048
25,CTGAN,Random Forest,123.3044858206818,-1.664693995591751,87.7684596117027,13.191519153486155
27,CopulaGAN,Random Forest,86.1964641170454,-0.8627643499358022,93.36946877507744,8.562843053816907
30,DecisionTree,Random Forest,24.17760464249999,0.4775054817360519,25.00235818883315,3.813911515341148
28,GaussianCopula,Random Forest,24.44070264909091,0.47181975445898805,33.867732101290684,6.333644323095006
24,Original,Random Forest,17.209116592727273,0.6280992589290928,21.66672049408613,3.6133647436543033
29,Regression,Random Forest,20.57116963988988,0.5554430006591079,10.81616508808317,2.621967789659329
31,Stochastic,Random Forest,62.286616000807435,-0.3460562327347363,70.70257424523724,5.730695704381289
26,TVAE,Random Forest,41.32681744715912,0.10689930236187417,35.85873692711884,4.134925879517695
41,CTGAN,XGBoost,140.39702409015865,-2.034075399625453,100.00880545752409,4.075748047135706
43,CopulaGAN,XGBoost,109.35613828430401,-1.3632606967037821,107.4652719811875,11.952259439685882
46,DecisionTree,XGBoost,26.663394947414602,0.42378585867676544,21.85057772966067,3.368469154262856
44,GaussianCopula,XGBoost,25.744365254242656,0.44364671685127843,36.933103108449096,6.826261119722461
40,Original,XGBoost,19.80983590437917,0.5718959416867939,24.85299559229368,4.805002761126362
45,Regression,XGBoost,25.109803121490824,0.45736003712279516,11.18854014317963,2.9800709767720908
47,Stochastic,XGBoost,87.38645264764877,-0.8884808133005921,83.00572238562287,3.9423013243538403
42,TVAE,XGBoost,59.18006560843405,-0.27892156101160825,38.226362051713366,4.267039168818961
