,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,138.27852941176468,-0.8856047438526247,153.96262345679014,23.79489725475346
19,CopulaGAN,Decision Tree,402.5383333333333,-4.489125420589587,307.3553308641975,42.3931645893768
22,DecisionTree,Decision Tree,16.703431372549023,0.7722273329874195,27.816950617283947,8.07239887495675
20,GaussianCopula,Decision Tree,44.71460784313726,0.3902590877470239,47.8474774691358,4.597829371381406
16,Original,Decision Tree,10.416078431372549,0.8579634380978161,30.52905154320988,8.366720140317213
21,Regression,Decision Tree,8.80934280856213,0.8798733349225545,16.296131522247094,16.873817301182076
23,Stochastic,Decision Tree,165.71889887091987,-1.259789304864087,193.28260507876286,21.996949556760114
18,TVAE,Decision Tree,62.124705882352956,0.15285011620721412,75.91433148148148,14.714060806984076
33,CTGAN,Gradient Boosting,112.39569902975823,-0.5326592217946506,80.98822236969781,16.201905397136493
35,CopulaGAN,Gradient Boosting,88.39282032815629,-0.2053492472209042,159.20762768477294,17.876678087224455
38,DecisionTree,Gradient Boosting,17.285169643219273,0.7642945870468691,25.641685647524447,8.708663729113988
36,GaussianCopula,Gradient Boosting,22.206326369443484,0.697188316046701,25.61092691599893,5.044316035278491
32,Original,Gradient Boosting,6.208861361528038,0.9153342280466539,13.13749442507295,4.911778907400501
37,Regression,Gradient Boosting,10.532788654014114,0.8563719448240215,5.267414810428097,3.0438801962571898
39,Stochastic,Gradient Boosting,73.23910749233036,0.0012910239171163296,112.94524704071235,12.723052471142974
34,TVAE,Gradient Boosting,39.297260008024615,0.4641315596372193,41.59558048039896,5.875223768298773
9,CTGAN,KNN,127.4039568627451,-0.7373160277878132,91.33823286419754,20.107846996237214
11,CopulaGAN,KNN,111.45208235294118,-0.5197918005850546,174.3859342962963,29.79668797528248
14,DecisionTree,KNN,80.63840784313724,-0.09960790740667047,183.59278107407408,22.056088261834585
12,GaussianCopula,KNN,44.82114509803921,0.38880631590966974,64.99422985185186,10.444730873724701
8,Original,KNN,25.860125490196076,0.6473640882039258,45.488621074074075,17.32680254845746
13,Regression,KNN,32.97189765091796,0.5503859717855479,26.873932758801665,5.373697074999803
15,Stochastic,KNN,141.9017458715993,-0.9350119379682416,110.96691234280993,9.980356094180426
10,TVAE,KNN,62.580572549019614,0.1466337907018186,56.10235854320988,1.9151869624548126
49,CTGAN,LightGBM,136.56657757342248,-0.862260089253263,85.3874876143115,22.858731623176766
51,CopulaGAN,LightGBM,126.65219663065545,-0.7270648147766674,169.64689982128462,14.503882413497598
54,DecisionTree,LightGBM,22.06151813221912,0.6991629617145478,32.261154510432,11.888891747504344
52,GaussianCopula,LightGBM,25.41625953890208,0.6534167685944031,24.77266016059581,6.4758703423536526
48,Original,LightGBM,8.338757275893952,0.886290371005902,14.52791396770321,4.250430350226922
53,Regression,LightGBM,16.11029661823767,0.7803154845698169,6.692069492275763,2.344621423610749
55,Stochastic,LightGBM,95.53864643975753,-0.302791732848285,119.2592064871533,5.66040541590941
50,TVAE,LightGBM,40.622071165909304,0.44606606375262303,42.284050848308254,6.522038636429136
1,CTGAN,Linear Regression,103.79113023815319,-0.4153249125473879,71.991320889229,18.06719746894512
3,CopulaGAN,Linear Regression,70.80690613139008,0.03445720267026986,141.2397761874635,14.84180176218564
6,DecisionTree,Linear Regression,43.760041894152046,0.40327581629760656,76.58790427402425,14.232674845004805
4,GaussianCopula,Linear Regression,28.66460978537891,0.6091213551234349,28.758348927704294,4.947239772534153
0,Original,Linear Regression,24.291119474973538,0.6687594935356317,24.318384047891524,7.627529292981001
5,Regression,Linear Regression,28.599401226876367,0.6100105572850086,18.234294679875934,5.435106123746032
7,Stochastic,Linear Regression,70.01297104227329,0.04528352384043355,97.59501039856174,5.286259160911526
2,TVAE,Linear Regression,64.86046596530802,0.11554452572684681,38.1124448941395,2.3429650007466294
25,CTGAN,Random Forest,117.18446785294118,-0.597960214281479,76.61620618842592,17.96884085619061
27,CopulaGAN,Random Forest,90.4333457352941,-0.23317442300212332,151.8488304992593,18.682172068330047
30,DecisionTree,Random Forest,14.413083588235297,0.8034591566519174,19.093392891882722,7.285955405340926
28,GaussianCopula,Random Forest,23.318215598039206,0.6820262832061901,25.12938598441358,4.8735619560891275
24,Original,Random Forest,7.901513892156864,0.8922527442109116,14.327806299475302,4.600820142480006
29,Regression,Random Forest,13.290892856517463,0.8187616636733333,6.103467849680315,3.1732372981798966
31,Stochastic,Random Forest,87.30133258574455,-0.19046541475823786,103.1869977337971,5.453534489208556
26,TVAE,Random Forest,34.00075302941173,0.5363562117737879,38.48314173216049,3.904721235229273
41,CTGAN,XGBoost,139.2355146599593,-0.8986544626446098,90.16431312681232,14.328743710031993
43,CopulaGAN,XGBoost,79.97009447846506,-0.09049459924403114,174.54188928154082,17.868073595495375
46,DecisionTree,XGBoost,18.359867098775887,0.7496397116368947,19.483296114113294,9.626714971210863
44,GaussianCopula,XGBoost,26.60375942961077,0.6372236875949875,27.65392662854233,4.522776230340998
40,Original,XGBoost,6.909231565384943,0.9057837838492537,13.012281984826618,2.733256403929446
45,Regression,XGBoost,14.23423444942568,0.8058979935849393,5.014895855132978,2.428767502497509
47,Stochastic,XGBoost,79.52151337924049,-0.08437762177617181,122.36403803447752,13.09258955521093
42,TVAE,XGBoost,46.14683232904921,0.37072887364664386,43.583994102065944,5.217241503871415
