,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,47812133056.495,-2.8201094484800056,29735809668.012184,1205778191.1915631
19,CopulaGAN,Decision Tree,23787134962.2025,-0.9005522910681929,26621193930.409687,1477857412.5526614
22,DecisionTree,Decision Tree,7350237921.79375,0.41272828592603406,6760144328.674375,871365515.3980877
20,GaussianCopula,Decision Tree,9944235327.5225,0.20547223258810643,9657363304.582813,143336649.88655606
16,Original,Decision Tree,6170017551.29625,0.5070259191920239,6152821830.484062,377445637.7911194
21,Regression,Decision Tree,5585732673.874912,0.5537093034745,3634284120.9250917,534326196.69509315
23,Stochastic,Decision Tree,19886290508.106873,-0.588881344730499,27149352784.451645,998005625.5391728
18,TVAE,Decision Tree,8915950818.12625,0.28763044471866994,7672340639.524063,392074679.1100796
33,CTGAN,Gradient Boosting,15501087660.838495,-0.2385109730393391,14405929775.22472,767822315.6610885
35,CopulaGAN,Gradient Boosting,13819322126.493416,-0.10414072019392795,13366044484.851217,776371926.5712711
38,DecisionTree,Gradient Boosting,4765782353.943096,0.6192219623796067,4556354837.937286,389958207.7546849
36,GaussianCopula,Gradient Boosting,4839480956.528836,0.6133335673200326,4373418451.8964205,219859229.7461015
32,Original,Gradient Boosting,3116425429.366206,0.7510028215194225,3210202884.728863,108659367.59034091
37,Regression,Gradient Boosting,3485251019.2473536,0.7215342738794049,2227655814.981826,152851358.07256788
39,Stochastic,Gradient Boosting,11312295399.054258,0.09616652143793725,13160214431.160944,737719117.0488034
34,TVAE,Gradient Boosting,4645296884.405237,0.6288485498410419,3875776299.5001197,302185540.4968248
9,CTGAN,KNN,17469049946.37395,-0.3957478675393855,16371090027.044712,713876886.0058839
11,CopulaGAN,KNN,15131847079.86975,-0.2090092683056417,16010460381.246151,824305001.2216159
14,DecisionTree,KNN,13357892754.521055,-0.06727328527746046,18219470109.677284,741344848.0737993
12,GaussianCopula,KNN,10529980023.0882,0.15867221127795894,10688921284.467825,797016032.5304374
8,Original,KNN,4385453491.10085,0.649609602285916,4587510948.390075,392311148.034072
13,Regression,KNN,4956087971.268364,0.6040168619088943,3525141430.949843,239077812.27438498
15,Stochastic,KNN,16756135989.384903,-0.33878723497716257,15065892538.381588,451184583.74619967
10,TVAE,KNN,9015869004.80135,0.2796471487519009,9858264215.2962,312351862.1868425
49,CTGAN,LightGBM,16551398718.816957,-0.32242906955441386,15352528907.69215,657313086.3192078
51,CopulaGAN,LightGBM,14423240876.33578,-0.15239281803823546,14088752496.811258,847634513.1789898
54,DecisionTree,LightGBM,4697270062.517778,0.624695979853406,3736884507.393791,216271371.98078445
52,GaussianCopula,LightGBM,5060259337.059047,0.5956937440457394,4470967828.292955,278054413.5060842
48,Original,LightGBM,2704135323.099354,0.7839441113088534,2697578613.401362,172269019.96573183
53,Regression,LightGBM,3045722401.5693493,0.756651875164525,1481000045.6232076,93821891.475894
55,Stochastic,LightGBM,12158001041.532671,0.028596055346260307,13826269284.819424,765204230.3623512
50,TVAE,LightGBM,4904598431.632589,0.6081307899912932,3885452895.7368484,261997650.92766112
1,CTGAN,Linear Regression,14861790262.59914,-0.18743218037143716,14189172936.740229,799115060.6526884
3,CopulaGAN,Linear Regression,13783045451.720947,-0.10124227456520041,13243307517.163197,925327410.1187189
6,DecisionTree,Linear Regression,6082603655.054852,0.5140101432709966,7540774603.472368,380528655.8963573
4,GaussianCopula,Linear Regression,5175698953.186067,0.5864703118308525,4635880503.489655,378192146.78214735
0,Original,Linear Regression,4740364629.8202915,0.6212527960168688,4903030470.207641,127484832.26264966
5,Regression,Linear Regression,5431197099.096141,0.566056437383818,3764797850.8737,174267031.0341489
7,Stochastic,Linear Regression,12397886170.782522,0.009429634812075038,12893204998.296926,792419204.5567517
2,TVAE,Linear Regression,5287922235.842442,0.5775038592798127,4843120602.395241,123873911.63484707
25,CTGAN,Random Forest,15157929396.165455,-0.21109320174575275,14597628904.424688,544784416.6530241
27,CopulaGAN,Random Forest,14818690096.814651,-0.18398854922555552,13719241512.538671,922627495.5378034
30,DecisionTree,Random Forest,4487495274.458069,0.6414566344967136,3517506147.9472847,172433029.96109152
28,GaussianCopula,Random Forest,5053781712.035855,0.5962112954489692,4824891758.061175,155161679.94063115
24,Original,Random Forest,2965380051.431523,0.7630710945394888,3021723533.279521,168733320.57975283
29,Regression,Random Forest,3263457554.4632545,0.739255200687496,1695469895.2462234,115840260.27202609
31,Stochastic,Random Forest,12055987442.61358,0.03674677124600456,13121860854.916464,779206156.1037585
26,TVAE,Random Forest,4952152880.767577,0.6043312690570739,3921549310.1514945,301660843.17861
41,CTGAN,XGBoost,18909057960.73009,-0.5108020989627953,16920563906.424463,939879986.5451941
43,CopulaGAN,XGBoost,17683195882.494476,-0.4128577696004587,15614582190.484793,1134074367.6629174
46,DecisionTree,XGBoost,4909014368.378929,0.6077779640324796,3943355022.8338485,159434882.08660802
44,GaussianCopula,XGBoost,5329237431.663018,0.574202844248053,5005420211.512786,148694286.41479954
40,Original,XGBoost,3008253686.812603,0.7596455627938872,2961777788.8458242,158336588.53887156
45,Regression,XGBoost,3168867232.897744,0.7468128091447509,1536097742.1972413,161281631.8634288
47,Stochastic,XGBoost,13820808170.564058,-0.10425945262923708,15446528314.670559,1043444428.0367293
42,TVAE,XGBoost,5093834825.708824,0.5930111186695238,4227982152.43867,329676575.4188869
