,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,747.4907383495145,-1.900883838252457,859.6677960332594,75.86437084981581
19,CopulaGAN,Decision Tree,959.0130033980582,-2.7217656079245827,908.1432836991869,80.74578954318001
22,DecisionTree,Decision Tree,114.15392269417475,0.5569881305180628,93.99669226718405,10.812926707566918
20,GaussianCopula,Decision Tree,217.52489757281552,0.15582303911911533,200.6958616178862,23.991031750799994
16,Original,Decision Tree,42.58102330097088,0.8347503240203619,49.036130056335715,13.80388028854862
21,Regression,Decision Tree,75.86500606354193,0.7055808738652897,31.910385396124877,7.459675819077284
23,Stochastic,Decision Tree,637.4642098550365,-1.473889680447369,562.7090999197778,47.61718009420111
18,TVAE,Decision Tree,326.75148640776695,-0.26806668954612656,339.6848052283814,22.22407759125935
33,CTGAN,Gradient Boosting,549.3852317313682,-1.1320702156431506,439.88844440904876,43.67870299406964
35,CopulaGAN,Gradient Boosting,442.3567012618676,-0.7167107759309879,491.0507029079375,52.99056587252497
38,DecisionTree,Gradient Boosting,65.65090019540558,0.7452200735435361,64.56085420758663,6.604472277724338
36,GaussianCopula,Gradient Boosting,105.62258430120028,0.5900967971451407,84.271525877405,8.515531341556718
32,Original,Gradient Boosting,30.176898188589746,0.8828886141958622,30.617437829482583,4.857350180799776
37,Regression,Gradient Boosting,34.9245429181978,0.864463816189275,19.047495567388754,2.65640045903779
39,Stochastic,Gradient Boosting,311.1290798427482,-0.2074387989328763,303.44645149320576,5.137164688015999
34,TVAE,Gradient Boosting,115.94090309524037,0.5500531649074236,178.16044313351205,8.293362619190761
9,CTGAN,KNN,405.4584344854369,-0.5735149070595982,472.02006488742046,52.375311211138246
11,CopulaGAN,KNN,534.9331701359223,-1.075984233890083,532.6125113548262,46.03077980178298
14,DecisionTree,KNN,179.68377046601944,0.3026779878342575,192.52312212537325,25.049765352667833
12,GaussianCopula,KNN,200.9578440970874,0.2201169429891754,156.12318851784184,5.503270670300743
8,Original,KNN,67.76205679611651,0.737027035491259,94.77844030548411,15.808081368499302
13,Regression,KNN,82.45847103278544,0.6799927628880286,63.813702050138126,8.36086223431883
15,Stochastic,KNN,283.2471137777286,-0.09923365258509698,311.99481567879866,15.849540365231551
10,TVAE,KNN,184.89774809708734,0.2824434315153771,231.41789143793054,21.302233002849604
49,CTGAN,LightGBM,541.0526117834098,-1.0997327413478768,496.0970031337877,37.812236641836144
51,CopulaGAN,LightGBM,464.21227715340785,-0.8015285316926977,538.7217742833357,66.28436084670156
54,DecisionTree,LightGBM,66.7084000094362,0.7411160974511368,54.66712421589911,5.989177288840584
52,GaussianCopula,LightGBM,119.45410304133323,0.536419036186748,88.79685538168783,7.331188898151025
48,Original,LightGBM,21.997791727032897,0.914630328879934,24.61184384653017,4.528792409989246
53,Regression,LightGBM,32.719120360829294,0.873022684312931,13.247645616616305,1.7125714592391303
55,Stochastic,LightGBM,324.93415213589594,-0.26101392574919524,345.86708997065335,23.177223879973155
50,TVAE,LightGBM,131.97140486441157,0.48784152653455826,190.31782120112229,14.328279995387277
1,CTGAN,Linear Regression,379.2023255045439,-0.4716194342591664,384.4890810417258,27.79159492976716
3,CopulaGAN,Linear Regression,478.8087684526553,-0.8581750204487639,447.28714415625643,43.05874997306543
6,DecisionTree,Linear Regression,129.80477361631588,0.4962498522148622,161.89705444187157,12.002156232053217
4,GaussianCopula,Linear Regression,482.0357634112027,-0.8706984365141486,83.67972795517292,9.228343774749098
0,Original,Linear Regression,95.97094009110684,0.6275531792314848,113.16221189419227,10.286979521420704
5,Regression,Linear Regression,99.30998012825069,0.6145949353602419,99.55846788583288,4.634117157157951
7,Stochastic,Linear Regression,263.4421692538086,-0.02237404678746291,280.1382361016237,17.496962781081507
2,TVAE,Linear Regression,127.85499733870799,0.5038166008068374,191.0488945536129,5.569090384747643
25,CTGAN,Random Forest,461.44899843339806,-0.790804719117892,425.930339954799,37.330906606655056
27,CopulaGAN,Random Forest,433.73844049140786,-0.6832647784085653,484.00524248688487,52.4474280781927
30,DecisionTree,Random Forest,63.364255583155284,0.7540941505844778,50.02261683068006,5.072220634441439
28,GaussianCopula,Random Forest,91.28810522271846,0.6457264612401793,92.36302459313806,7.212704506517452
24,Original,Random Forest,29.854417119395947,0.8841401081258502,28.653712087996826,4.253194114146419
29,Regression,Random Forest,41.17433134651433,0.8402094551463113,16.68496834565243,1.7506287953820905
31,Stochastic,Random Forest,290.43752995508595,-0.1271384292051545,292.16228371072424,14.113418998032087
26,TVAE,Random Forest,107.83962740179611,0.5814928316787213,180.02492094275888,13.249852868674983
41,CTGAN,XGBoost,602.4365084449062,-1.3379531561552538,505.5364078363028,34.1532210420216
43,CopulaGAN,XGBoost,552.0057115830126,-1.1422398502086386,578.3302319128168,48.71684774473299
46,DecisionTree,XGBoost,68.37023928037934,0.7346667831847196,53.96520438400919,6.609367689358597
44,GaussianCopula,XGBoost,117.42833564463305,0.5442806933279747,103.28264123571061,10.517951844270687
40,Original,XGBoost,21.21804757371494,0.9176563827108167,26.230751385742053,4.113097547173604
45,Regression,XGBoost,32.901825260958134,0.8723136378127381,16.764070935772743,2.181580926562194
47,Stochastic,XGBoost,315.78484576254243,-0.2255070309771141,343.54342015671085,12.578602147383338
42,TVAE,XGBoost,162.23388447109693,0.3703980138693487,201.41505324887572,17.488806831013193
