,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,37265685.12954546,-4.445812847517806,79841260.57897727,11577563.524001738
19,CopulaGAN,Decision Tree,12469817.065909091,-0.8222740236133379,20946683.39261364,1909063.4732273743
22,DecisionTree,Decision Tree,13260426.752272727,-0.9378095993689963,77057585.74431819,29579557.77990167
20,GaussianCopula,Decision Tree,11719185.838636363,-0.7125806913421182,11448480.808522727,363450.1293957992
16,Original,Decision Tree,13134012.481818182,-0.9193360772599088,37338046.56306818,20181062.08678129
21,Regression,Decision Tree,18668143.20603674,-1.7280650753455546,9299899.927403582,2070834.2487788212
23,Stochastic,Decision Tree,26617384.281504635,-2.889725702979569,32926190.3019936,1283035.304276172
18,TVAE,Decision Tree,8907563.35909091,-0.30170484756649985,2153423.382954546,154127.98500620632
33,CTGAN,Gradient Boosting,16253662.878592258,-1.375225514189832,35886957.764625,9625611.82713549
35,CopulaGAN,Gradient Boosting,7324113.433579615,-0.07030773470585938,10346704.739469022,2686043.832393149
38,DecisionTree,Gradient Boosting,8233843.4263486015,-0.2032509307096746,40009163.163730755,17115696.378581032
36,GaussianCopula,Gradient Boosting,6903393.0378224645,-0.008825850541852365,5937691.71337293,856110.3763482547
32,Original,Gradient Boosting,12626440.544046346,-0.8451621617623544,20802413.324053712,15630957.750875492
37,Regression,Gradient Boosting,7653856.653450805,-0.1184946889216214,6101023.056359725,2044058.3264846269
39,Stochastic,Gradient Boosting,7962799.575895693,-0.1636419961655764,16872728.171841793,1162149.2587370991
34,TVAE,Gradient Boosting,7966894.092827294,-0.1642403475130152,1169019.526043125,202085.25376302033
9,CTGAN,KNN,17932139.967363633,-1.6205094010288916,38552729.03740909,10878211.724808168
11,CopulaGAN,KNN,8660109.413272727,-0.265543218641094,11448706.196659092,2792668.111416904
14,DecisionTree,KNN,28748713.896454543,-3.2011870959216546,61467821.36013637,18329122.388231948
12,GaussianCopula,KNN,8308391.346363638,-0.21414497489972084,6762411.9648409095,568158.5455299681
8,Original,KNN,8944318.678727273,-0.3070760782629034,18614941.04125,14854933.819038434
13,Regression,KNN,8193126.281558381,-0.19730073955011318,6432834.933395699,2372157.260065544
15,Stochastic,KNN,10162749.714433474,-0.48513123450106277,18671151.330937255,1426871.9455449542
10,TVAE,KNN,7957257.904454545,-0.16283216520645105,1246501.4598863635,172993.81584805454
49,CTGAN,LightGBM,14944424.941242166,-1.1839003109930162,38170009.58181456,10367430.26255532
51,CopulaGAN,LightGBM,7901253.962183427,-0.15464804119876163,10724076.672182104,2802232.4356314447
54,DecisionTree,LightGBM,10285582.403041553,-0.5030813629205906,39518868.85908298,14273093.16831115
52,GaussianCopula,LightGBM,7402869.152572437,-0.08181668469069603,6328663.131749722,625285.4310085244
48,Original,LightGBM,8426287.803671094,-0.23137374822429213,16445520.91125749,15804138.269387722
53,Regression,LightGBM,8494746.55569797,-0.24137795316556687,5605251.029133354,2326436.4803936044
55,Stochastic,LightGBM,9365924.121312054,-0.368687298553908,18527635.815497853,1135170.756534565
50,TVAE,LightGBM,8067577.94776962,-0.17895376090864934,1127709.9270218215,146656.60595073635
1,CTGAN,Linear Regression,9856666.560921257,-0.44040183897241203,32958927.291124605,10842629.25736923
3,CopulaGAN,Linear Regression,6910734.754880831,-0.00989873077846437,9521775.557410847,2875913.439841059
6,DecisionTree,Linear Regression,8249936.826510235,-0.20560273626633618,49040787.45015134,16559349.803048585
4,GaussianCopula,Linear Regression,6632422.040826788,0.030772437578008627,5489022.714110365,819238.9443692822
0,Original,Linear Regression,6770620.087325655,0.010576895901821648,15260215.32986114,15517719.174005032
5,Regression,Linear Regression,6587425.356708953,0.03734801829288792,7650580.973461208,2677096.3327799444
7,Stochastic,Linear Regression,6966422.524282172,-0.018036650932117926,15780406.872656232,1205731.7517768694
2,TVAE,Linear Regression,7999957.522157289,-0.1690720646168964,1122859.7531219781,218865.06985457364
25,CTGAN,Random Forest,15571619.52577909,-1.275555256138699,35756701.866277836,9566093.210165387
27,CopulaGAN,Random Forest,7414354.849059773,-0.08349514446611628,10590249.56048182,2366935.16155938
30,DecisionTree,Random Forest,8961903.52718,-0.3096458362934513,41495779.33731938,15284031.12296997
28,GaussianCopula,Random Forest,7024168.648709772,-0.026475368352956608,5931731.040258465,720354.0425113974
24,Original,Random Forest,11278846.026085,-0.6482317279424199,17596003.1645125,14614393.862992035
29,Regression,Random Forest,7855831.504861283,-0.14801024020863207,5491375.661826389,2139179.6405291143
31,Stochastic,Random Forest,8229322.576107727,-0.20259027723616763,16683712.90458334,1073612.6129317658
26,TVAE,Random Forest,7872001.545469774,-0.15037324560044185,1126070.2220676704,172928.55538563634
41,CTGAN,XGBoost,15723361.245489215,-1.297729730606079,40351582.213228405,10079499.066000978
43,CopulaGAN,XGBoost,8718123.157705842,-0.2740210294723511,12276813.980599513,2427052.125953306
46,DecisionTree,XGBoost,9064932.619282221,-0.3247019052505493,50790344.29358422,51560590.88304324
44,GaussianCopula,XGBoost,8016256.230850436,-0.1714538335800171,7004919.802369215,718263.9456219503
40,Original,XGBoost,22647544.7116768,-2.30959415435791,21758232.923235722,14977852.521772318
45,Regression,XGBoost,9262559.960428689,-0.3535822629928589,5639166.02524831,2496176.598502049
47,Stochastic,XGBoost,12604218.807550985,-0.8419147729873657,20071609.49144838,1504340.6625288553
42,TVAE,XGBoost,8066567.415219452,-0.17880618572235107,1307061.3387828355,164869.95743003843
