,Method,Regressor,MSE,R2,CV Mean,CV Std
17,CTGAN,Decision Tree,2205426709411.1646,-1.5737235067041286,2492473777318.1807,184823761503.8061
19,CopulaGAN,Decision Tree,4539118220714.247,-4.297131486849733,2922375820764.078,272956606300.91498
22,DecisionTree,Decision Tree,95505984000.0,0.8885449264748693,120307524556.62862,41239020490.68509
20,GaussianCopula,Decision Tree,165237820840.52942,0.8071681720915668,208890609797.4043,39381784201.61967
16,Original,Decision Tree,107653560470.58824,0.8743687568572508,121034564414.39859,36546355438.76359
21,Regression,Decision Tree,144715844598.1285,0.8311172303095081,67962656119.0187,24450719234.856934
23,Stochastic,Decision Tree,4198452315317.586,-3.899575837001761,2248141331240.7354,501229976120.44763
18,TVAE,Decision Tree,220168129565.52942,0.7430647375077923,361940523291.6781,95269259352.25903
33,CTGAN,Gradient Boosting,1246340701387.5176,-0.4544742506449515,1390075868413.9702,225048339631.04462
35,CopulaGAN,Gradient Boosting,1696084574146.1484,-0.9793234203659842,1864639193882.097,284894310574.9885
38,DecisionTree,Gradient Boosting,92857167028.44412,0.8916360845149705,92770156978.38033,6419142271.33275
36,GaussianCopula,Gradient Boosting,88924028004.58846,0.8962260408792586,112197691583.90927,19365590960.359547
32,Original,Gradient Boosting,50056104750.74492,0.9415847405396512,70281489319.51901,13209164878.401693
37,Regression,Gradient Boosting,67022457794.23188,0.9217850793381587,41347537209.78533,11251571613.482897
39,Stochastic,Gradient Boosting,1962225637455.9875,-1.2899088992743484,1313798593415.7546,203140256383.7672
34,TVAE,Gradient Boosting,146488505463.84662,0.8290485426854559,201498686793.43134,52690993372.78845
9,CTGAN,KNN,1788878371978.5256,-1.087613384271112,1346763956678.5002,171591540354.21344
11,CopulaGAN,KNN,1581992389948.196,-0.8461783309606383,1783619821480.0247,402358224550.4328
14,DecisionTree,KNN,340936346352.94116,0.6021287467164729,699162032685.7244,40173600044.00999
12,GaussianCopula,KNN,356498084284.9619,0.5839682653230538,472637309799.03925,94653992047.83278
8,Original,KNN,129563089534.11765,0.8488004304508483,144791791467.60318,16953465892.740982
13,Regression,KNN,156500564693.27524,0.8173645125250637,111229296659.96216,13156320643.764769
15,Stochastic,KNN,1081507533716.5564,-0.26211465124909417,1279552510181.8472,216987754027.91846
10,TVAE,KNN,319720431828.66077,0.6268876279317752,337877458300.91956,75485190079.23157
49,CTGAN,LightGBM,1710835456896.9143,-0.9965376372421455,1441018497027.7014,148695519773.74728
51,CopulaGAN,LightGBM,2543415132947.227,-1.9681545467094836,1738747715567.148,200062282035.60333
54,DecisionTree,LightGBM,96481658672.52072,0.8874063183185217,104907803407.77148,26110797621.270645
52,GaussianCopula,LightGBM,94760775996.33131,0.889414581017567,124497653996.1827,24843799642.481586
48,Original,LightGBM,44146846604.99752,0.9484808194399351,57827744217.28972,12891605932.034851
53,Regression,LightGBM,66443765941.01356,0.9224604102477784,41432562682.72202,7010942264.086301
55,Stochastic,LightGBM,1009078544430.7595,-0.1775903315352696,1341293175045.1777,85659285247.29288
50,TVAE,LightGBM,301103200443.50977,0.6486138570743007,266480897183.4964,55346967016.7105
1,CTGAN,Linear Regression,1079458682371.3934,-0.2597236505206244,1249472114058.9316,200505506327.50052
3,CopulaGAN,Linear Regression,1684071865908.812,-0.9653046413978699,1598090619201.6294,260429297982.2121
6,DecisionTree,Linear Regression,131935946492.5392,0.8460313165619688,241832126714.784,30892352653.612732
4,GaussianCopula,Linear Regression,80543702435.46423,0.9060058448596172,113214148957.78181,30649367379.89066
0,Original,Linear Regression,69777885984.65915,0.9185695064630885,82713919681.64613,15259881506.210522
5,Regression,Linear Regression,81577358459.5365,0.9047995727147988,67423868549.576614,4553713522.189471
7,Stochastic,Linear Regression,1010763949200.4358,-0.179557191669645,1136851103933.8625,195748224552.084
2,TVAE,Linear Regression,924076205337.5636,-0.07839296654670269,197757408098.01334,45769573786.84082
25,CTGAN,Random Forest,1383147850894.623,-0.6141276070993282,1234642251253.989,117421402474.13843
27,CopulaGAN,Random Forest,1623949319403.3105,-0.8951418876034187,1596297802659.639,229023319799.2215
30,DecisionTree,Random Forest,83778966587.6706,0.9022303054760601,69191386150.1296,21895651761.485176
28,GaussianCopula,Random Forest,76872839325.52467,0.9102897263577546,124676966915.91531,22679011377.145332
24,Original,Random Forest,36860180438.72941,0.9569843275899008,61851574128.842575,16407507849.770195
29,Regression,Random Forest,66497501873.13166,0.9223977006455699,36309387621.86735,10024490440.646431
31,Stochastic,Random Forest,1163140311001.3806,-0.35737975206561146,1160075705305.317,162982078051.2581
26,TVAE,Random Forest,161271410404.54892,0.8117969560510415,209318991475.87146,67398790631.74316
41,CTGAN,XGBoost,1218197532865.484,-0.421631293738153,1448067535647.3809,223530585820.60995
43,CopulaGAN,XGBoost,2016597193900.6433,-1.3533602723444895,1915222237914.5234,274830683841.1661
46,DecisionTree,XGBoost,110078610845.65408,0.8715387334751021,73469008983.2167,30784182925.85105
44,GaussianCopula,XGBoost,105107206946.0142,0.8773403404943806,132758224485.64844,19698585247.390507
40,Original,XGBoost,49055441810.85478,0.9427525098967978,64078954909.98401,17789375181.568703
45,Regression,XGBoost,81786151950.2637,0.904555911607024,39105021420.857605,14063910148.948622
47,Stochastic,XGBoost,1965167737026.775,-1.2933423168493179,1431432360627.89,152367836757.21225
42,TVAE,XGBoost,134892297026.70091,0.8425812681738903,268908191265.72275,109441838821.03716
