Transformation,Model,No Scaling CV Accuracy,Transformation CV Accuracy,CV Improvement,No Scaling Test Accuracy,Transformation Test Accuracy,Test Improvement
Standard,KNN,0.6488095238095238,0.8141156462585034,0.16530612244897958,0.6885245901639344,0.9016393442622951,0.21311475409836067
Robust,KNN,0.6488095238095238,0.8098639455782312,0.16105442176870732,0.6885245901639344,0.8524590163934426,0.16393442622950816
Yeo-Johnson,KNN,0.6488095238095238,0.8056972789115647,0.1568877551020409,0.6885245901639344,0.8360655737704918,0.14754098360655743
MinMax,KNN,0.6488095238095238,0.789030612244898,0.14022108843537417,0.6885245901639344,0.8360655737704918,0.14754098360655743
Quantile,KNN,0.6488095238095238,0.7725340136054422,0.12372448979591832,0.6885245901639344,0.819672131147541,0.1311475409836066
Quantile,Decision Tree,0.7314625850340136,0.7687925170068028,0.03732993197278922,0.8360655737704918,0.8032786885245902,-0.032786885245901676
Binning,KNN,0.6488095238095238,0.6855442176870749,0.03673469387755102,0.6885245901639344,0.8032786885245902,0.11475409836065575
MinMax,Decision Tree,0.7314625850340136,0.7521258503401361,0.020663265306122502,0.8360655737704918,0.8032786885245902,-0.032786885245901676
Yeo-Johnson,Decision Tree,0.7314625850340136,0.7438775510204081,0.012414965986394466,0.8360655737704918,0.7704918032786885,-0.06557377049180335
Yeo-Johnson,Logistic Regression,0.8138605442176872,0.8261904761904763,0.012329931972789088,0.8852459016393442,0.8688524590163934,-0.016393442622950838
Robust,Decision Tree,0.7314625850340136,0.7437925170068027,0.012329931972789088,0.8360655737704918,0.819672131147541,-0.016393442622950838
Standard,Logistic Regression,0.8138605442176872,0.8180272108843537,0.004166666666666541,0.8852459016393442,0.8524590163934426,-0.032786885245901676
Standard,LightGBM,0.8097789115646258,0.8098639455782314,8.503401360560048e-05,0.8360655737704918,0.8360655737704918,0.0
Robust,Logistic Regression,0.8138605442176872,0.8139455782312925,8.503401360537843e-05,0.8852459016393442,0.8524590163934426,-0.032786885245901676
MinMax,XGBoost,0.8055272108843538,0.8055272108843538,0.0,0.819672131147541,0.819672131147541,0.0
Quantile,XGBoost,0.8055272108843538,0.8055272108843538,0.0,0.819672131147541,0.819672131147541,0.0
MinMax,LightGBM,0.8097789115646258,0.8097789115646258,0.0,0.8360655737704918,0.8360655737704918,0.0
Yeo-Johnson,XGBoost,0.8055272108843538,0.8055272108843538,0.0,0.819672131147541,0.819672131147541,0.0
Yeo-Johnson,Gradient Boosting,0.8096938775510203,0.8096938775510203,0.0,0.7704918032786885,0.7704918032786885,0.0
Standard,XGBoost,0.8055272108843538,0.8055272108843538,0.0,0.819672131147541,0.819672131147541,0.0
Yeo-Johnson,LightGBM,0.8097789115646258,0.8097789115646258,0.0,0.8360655737704918,0.8360655737704918,0.0
Robust,XGBoost,0.8055272108843538,0.8055272108843538,0.0,0.819672131147541,0.819672131147541,0.0
Robust,Gradient Boosting,0.8096938775510203,0.8096938775510203,0.0,0.7704918032786885,0.7868852459016393,0.016393442622950838
MinMax,Gradient Boosting,0.8096938775510203,0.8096938775510203,0.0,0.7704918032786885,0.7868852459016393,0.016393442622950838
Yeo-Johnson,Random Forest,0.8140306122448979,0.8139455782312925,-8.503401360537843e-05,0.8688524590163934,0.8688524590163934,0.0
MinMax,Random Forest,0.8140306122448979,0.8139455782312925,-8.503401360537843e-05,0.8688524590163934,0.8524590163934426,-0.016393442622950838
Standard,Gradient Boosting,0.8096938775510203,0.8056122448979591,-0.004081632653061162,0.7704918032786885,0.7868852459016393,0.016393442622950838
Quantile,Gradient Boosting,0.8096938775510203,0.8056122448979591,-0.004081632653061162,0.7704918032786885,0.7868852459016393,0.016393442622950838
Quantile,Logistic Regression,0.8138605442176872,0.8096938775510205,-0.004166666666666652,0.8852459016393442,0.8524590163934426,-0.032786885245901676
Robust,LightGBM,0.8097789115646258,0.8056122448979591,-0.004166666666666652,0.8360655737704918,0.8360655737704918,0.0
Standard,Decision Tree,0.7314625850340136,0.7271258503401361,-0.00433673469387752,0.8360655737704918,0.8032786885245902,-0.032786885245901676
Robust,Random Forest,0.8140306122448979,0.8057823129251702,-0.008248299319727703,0.8688524590163934,0.8688524590163934,0.0
Quantile,LightGBM,0.8097789115646258,0.801530612244898,-0.008248299319727814,0.8360655737704918,0.8360655737704918,0.0
MinMax,Logistic Regression,0.8138605442176872,0.8016156462585033,-0.01224489795918382,0.8852459016393442,0.8524590163934426,-0.032786885245901676
Binning,Decision Tree,0.7314625850340136,0.719047619047619,-0.012414965986394577,0.8360655737704918,0.6557377049180327,-0.1803278688524591
Quantile,Random Forest,0.8140306122448979,0.801530612244898,-0.012499999999999956,0.8688524590163934,0.8524590163934426,-0.016393442622950838
Standard,Random Forest,0.8140306122448979,0.7934523809523809,-0.020578231292517013,0.8688524590163934,0.8524590163934426,-0.016393442622950838
Binning,Logistic Regression,0.8138605442176872,0.7604591836734695,-0.053401360544217624,0.8852459016393442,0.8688524590163934,-0.016393442622950838
Binning,Random Forest,0.8140306122448979,0.7602891156462586,-0.05374149659863936,0.8688524590163934,0.819672131147541,-0.0491803278688524
Binning,LightGBM,0.8097789115646258,0.7518707482993197,-0.05790816326530612,0.8360655737704918,0.819672131147541,-0.016393442622950838
Binning,XGBoost,0.8055272108843538,0.7312074829931973,-0.07431972789115648,0.819672131147541,0.819672131147541,0.0
Binning,Gradient Boosting,0.8096938775510203,0.7230442176870748,-0.08664965986394546,0.7704918032786885,0.8524590163934426,0.08196721311475408
