Transformation,Model,No Scaling CV Accuracy,Transformation CV Accuracy,CV Improvement,No Scaling Test Accuracy,Transformation Test Accuracy,Test Improvement
Robust,KNN,0.6716666666666666,0.8474999999999999,0.17583333333333329,0.7166666666666667,0.8833333333333333,0.16666666666666663
Yeo-Johnson,KNN,0.6716666666666666,0.8416666666666668,0.17000000000000015,0.7166666666666667,0.8766666666666667,0.16000000000000003
MinMax,KNN,0.6716666666666666,0.8300000000000001,0.15833333333333344,0.7166666666666667,0.8633333333333333,0.1466666666666666
Standard,KNN,0.6716666666666666,0.8200000000000001,0.14833333333333343,0.7166666666666667,0.8766666666666667,0.16000000000000003
Quantile,KNN,0.6716666666666666,0.8074999999999999,0.13583333333333325,0.7166666666666667,0.8566666666666667,0.14
Robust,Random Forest,0.9175000000000001,0.9225000000000001,0.0050000000000000044,0.93,0.9366666666666666,0.006666666666666599
Standard,Random Forest,0.9175000000000001,0.9208333333333334,0.0033333333333332993,0.93,0.94,0.009999999999999898
MinMax,Logistic Regression,0.8491666666666667,0.8525,0.0033333333333332993,0.8666666666666667,0.8833333333333333,0.016666666666666607
MinMax,Random Forest,0.9175000000000001,0.9208333333333334,0.0033333333333332993,0.93,0.94,0.009999999999999898
Quantile,Random Forest,0.9175000000000001,0.9208333333333332,0.0033333333333330772,0.93,0.9366666666666666,0.006666666666666599
MinMax,Decision Tree,0.8774999999999998,0.8800000000000001,0.0025000000000002798,0.8733333333333333,0.8766666666666667,0.0033333333333334103
Quantile,Decision Tree,0.8774999999999998,0.8775000000000001,2.220446049250313e-16,0.8733333333333333,0.88,0.00666666666666671
Yeo-Johnson,XGBoost,0.9266666666666665,0.9266666666666665,0.0,0.94,0.94,0.0
Robust,XGBoost,0.9266666666666665,0.9266666666666665,0.0,0.94,0.94,0.0
Robust,Gradient Boosting,0.9241666666666667,0.9241666666666667,0.0,0.9333333333333333,0.9333333333333333,0.0
MinMax,XGBoost,0.9266666666666665,0.9266666666666665,0.0,0.94,0.94,0.0
MinMax,LightGBM,0.9283333333333333,0.9283333333333333,0.0,0.9266666666666666,0.9333333333333333,0.00666666666666671
Standard,XGBoost,0.9266666666666665,0.9266666666666665,0.0,0.94,0.94,0.0
Quantile,XGBoost,0.9266666666666665,0.9266666666666665,0.0,0.94,0.94,0.0
MinMax,Gradient Boosting,0.9241666666666667,0.9233333333333332,-0.0008333333333334636,0.9333333333333333,0.9333333333333333,0.0
Yeo-Johnson,Decision Tree,0.8774999999999998,0.8758333333333332,-0.0016666666666665941,0.8733333333333333,0.89,0.01666666666666672
Yeo-Johnson,Gradient Boosting,0.9241666666666667,0.9225,-0.0016666666666667052,0.9333333333333333,0.9366666666666666,0.0033333333333332993
Quantile,Gradient Boosting,0.9241666666666667,0.9225,-0.0016666666666667052,0.9333333333333333,0.9333333333333333,0.0
Standard,Gradient Boosting,0.9241666666666667,0.9225,-0.0016666666666667052,0.9333333333333333,0.9333333333333333,0.0
Robust,Logistic Regression,0.8491666666666667,0.8474999999999999,-0.0016666666666668162,0.8666666666666667,0.87,0.0033333333333332993
Standard,Logistic Regression,0.8491666666666667,0.8466666666666667,-0.0025000000000000577,0.8666666666666667,0.8666666666666667,0.0
Yeo-Johnson,Random Forest,0.9175000000000001,0.9149999999999998,-0.0025000000000002798,0.93,0.9366666666666666,0.006666666666666599
Robust,LightGBM,0.9283333333333333,0.9241666666666667,-0.004166666666666652,0.9266666666666666,0.93,0.0033333333333334103
Quantile,LightGBM,0.9283333333333333,0.9233333333333335,-0.004999999999999893,0.9266666666666666,0.94,0.013333333333333308
Yeo-Johnson,Logistic Regression,0.8491666666666667,0.8441666666666666,-0.0050000000000001155,0.8666666666666667,0.87,0.0033333333333332993
Yeo-Johnson,LightGBM,0.9283333333333333,0.9216666666666666,-0.00666666666666671,0.9266666666666666,0.94,0.013333333333333308
Standard,LightGBM,0.9283333333333333,0.9208333333333334,-0.007499999999999951,0.9266666666666666,0.9333333333333333,0.00666666666666671
Robust,Decision Tree,0.8774999999999998,0.8683333333333334,-0.009166666666666434,0.8733333333333333,0.88,0.00666666666666671
Standard,Decision Tree,0.8774999999999998,0.8683333333333334,-0.009166666666666434,0.8733333333333333,0.8766666666666667,0.0033333333333334103
Binning,KNN,0.6716666666666666,0.6575,-0.01416666666666666,0.7166666666666667,0.6866666666666666,-0.030000000000000027
Quantile,Logistic Regression,0.8491666666666667,0.8308333333333333,-0.018333333333333424,0.8666666666666667,0.84,-0.026666666666666727
Binning,Logistic Regression,0.8491666666666667,0.7541666666666667,-0.09500000000000008,0.8666666666666667,0.73,-0.13666666666666671
Binning,Random Forest,0.9175000000000001,0.7516666666666667,-0.1658333333333334,0.93,0.78,-0.15000000000000002
Binning,Gradient Boosting,0.9241666666666667,0.7516666666666667,-0.1725,0.9333333333333333,0.7466666666666667,-0.18666666666666665
Binning,Decision Tree,0.8774999999999998,0.7016666666666668,-0.17583333333333306,0.8733333333333333,0.6833333333333333,-0.18999999999999995
Binning,XGBoost,0.9266666666666665,0.7291666666666667,-0.1974999999999998,0.94,0.76,-0.17999999999999994
Binning,LightGBM,0.9283333333333333,0.7258333333333333,-0.2025,0.9266666666666666,0.76,-0.16666666666666663
