Transformation,Model,No Scaling CV Accuracy,Transformation CV Accuracy,CV Improvement,No Scaling Test Accuracy,Transformation Test Accuracy,Test Improvement
Yeo-Johnson,KNN,0.7778124999999999,0.8584375,0.08062500000000006,0.77875,0.855,0.07624999999999993
Binning,KNN,0.7778124999999999,0.8521875,0.07437500000000008,0.77875,0.84125,0.0625
MinMax,KNN,0.7778124999999999,0.8440624999999999,0.06625000000000003,0.77875,0.83625,0.057499999999999996
Robust,KNN,0.7778124999999999,0.8434375,0.06562500000000004,0.77875,0.83625,0.057499999999999996
Standard,KNN,0.7778124999999999,0.8396874999999999,0.06187500000000001,0.77875,0.82875,0.04999999999999993
Quantile,KNN,0.7778124999999999,0.8334374999999999,0.055625000000000036,0.77875,0.83,0.05124999999999991
Yeo-Johnson,Logistic Regression,0.8462500000000001,0.86875,0.022499999999999964,0.845,0.86625,0.02124999999999999
Binning,Logistic Regression,0.8462500000000001,0.8674999999999999,0.02124999999999988,0.845,0.8625,0.01750000000000007
MinMax,Logistic Regression,0.8462500000000001,0.8568750000000002,0.010625000000000107,0.845,0.855,0.010000000000000009
Standard,Logistic Regression,0.8462500000000001,0.8556249999999999,0.0093749999999998,0.845,0.855,0.010000000000000009
Robust,Logistic Regression,0.8462500000000001,0.8553124999999999,0.009062499999999862,0.845,0.855,0.010000000000000009
MinMax,Random Forest,0.94375,0.9487499999999999,0.004999999999999893,0.9475,0.9525,0.0050000000000000044
Quantile,Random Forest,0.94375,0.946875,0.0031250000000000444,0.9475,0.94625,-0.0012499999999999734
Robust,Decision Tree,0.9393750000000001,0.9415625000000001,0.002187500000000009,0.9525,0.94875,-0.003750000000000031
Yeo-Johnson,Decision Tree,0.9393750000000001,0.9412499999999999,0.001874999999999849,0.9525,0.94625,-0.006249999999999978
Quantile,Logistic Regression,0.8462500000000001,0.8478125000000001,0.0015625000000000222,0.845,0.85125,0.006249999999999978
Standard,Decision Tree,0.9393750000000001,0.940625,0.0012499999999999734,0.9525,0.95125,-0.0012499999999999734
MinMax,Decision Tree,0.9393750000000001,0.9403125000000001,0.0009375000000000355,0.9525,0.95125,-0.0012499999999999734
Quantile,Gradient Boosting,0.95625,0.9565625000000001,0.00031250000000004885,0.96,0.96,0.0
Quantile,XGBoost,0.9625,0.9625,0.0,0.965,0.965,0.0
MinMax,Gradient Boosting,0.95625,0.95625,0.0,0.96,0.96,0.0
Yeo-Johnson,Gradient Boosting,0.95625,0.95625,0.0,0.96,0.96,0.0
Yeo-Johnson,XGBoost,0.9625,0.9625,0.0,0.965,0.965,0.0
Standard,XGBoost,0.9625,0.9625,0.0,0.965,0.965,0.0
Robust,Gradient Boosting,0.95625,0.95625,0.0,0.96,0.96,0.0
MinMax,XGBoost,0.9625,0.9625,0.0,0.965,0.965,0.0
Robust,Random Forest,0.94375,0.94375,0.0,0.9475,0.9475,0.0
Robust,XGBoost,0.9625,0.9625,0.0,0.965,0.965,0.0
Standard,Random Forest,0.94375,0.9434375000000002,-0.0003124999999998268,0.9475,0.95625,0.008750000000000036
Standard,LightGBM,0.9674999999999999,0.9671875,-0.00031249999999993783,0.97,0.9675,-0.0024999999999999467
Yeo-Johnson,LightGBM,0.9674999999999999,0.9671875,-0.00031249999999993783,0.97,0.97,0.0
Standard,Gradient Boosting,0.95625,0.9559375000000001,-0.00031249999999993783,0.96,0.96,0.0
Robust,LightGBM,0.9674999999999999,0.9665625,-0.0009374999999999245,0.97,0.965,-0.0050000000000000044
MinMax,LightGBM,0.9674999999999999,0.9665625,-0.0009374999999999245,0.97,0.96875,-0.0012499999999999734
Yeo-Johnson,Random Forest,0.94375,0.9428124999999999,-0.0009375000000000355,0.9475,0.94125,-0.006249999999999978
Quantile,Decision Tree,0.9393750000000001,0.9378124999999999,-0.0015625000000001332,0.9525,0.9475,-0.0050000000000000044
Quantile,LightGBM,0.9674999999999999,0.965625,-0.00187499999999996,0.97,0.9675,-0.0024999999999999467
Binning,Random Forest,0.94375,0.9215625,-0.022187500000000027,0.9475,0.9275,-0.020000000000000018
Binning,Gradient Boosting,0.95625,0.931875,-0.024375000000000036,0.96,0.95125,-0.008749999999999925
Binning,Decision Tree,0.9393750000000001,0.9112499999999999,-0.028125000000000178,0.9525,0.9175,-0.03500000000000003
Binning,LightGBM,0.9674999999999999,0.9334374999999999,-0.034062499999999996,0.97,0.95125,-0.018749999999999933
Binning,XGBoost,0.9625,0.9284375,-0.034062499999999996,0.965,0.94875,-0.016249999999999987
