Transformation,Model,No Scaling CV Accuracy,Transformation CV Accuracy,CV Improvement,No Scaling Test Accuracy,Transformation Test Accuracy,Test Improvement
Robust,KNN,0.8902083333333334,0.9027083333333333,0.012499999999999956,0.89,0.9108333333333334,0.02083333333333337
Standard,KNN,0.8902083333333334,0.898125,0.007916666666666572,0.89,0.9075,0.01749999999999996
Yeo-Johnson,KNN,0.8902083333333334,0.8956250000000001,0.005416666666666736,0.89,0.8991666666666667,0.009166666666666656
Yeo-Johnson,Logistic Regression,0.8591666666666665,0.8641666666666667,0.0050000000000002265,0.8675,0.8775,0.009999999999999898
MinMax,LightGBM,0.9202083333333334,0.9220833333333334,0.00187499999999996,0.9241666666666667,0.925,0.0008333333333333526
Yeo-Johnson,LightGBM,0.9202083333333334,0.921875,0.0016666666666665941,0.9241666666666667,0.925,0.0008333333333333526
Quantile,Random Forest,0.9179166666666667,0.9191666666666667,0.0012499999999999734,0.9208333333333333,0.9233333333333333,0.0025000000000000577
Standard,Random Forest,0.9179166666666667,0.9189583333333335,0.0010416666666668295,0.9208333333333333,0.9175,-0.0033333333333332993
Standard,Logistic Regression,0.8591666666666665,0.86,0.0008333333333334636,0.8675,0.8641666666666666,-0.0033333333333334103
Robust,Logistic Regression,0.8591666666666665,0.8597916666666666,0.0006250000000000977,0.8675,0.8641666666666666,-0.0033333333333334103
MinMax,Random Forest,0.9179166666666667,0.9183333333333333,0.0004166666666666208,0.9208333333333333,0.9225,0.0016666666666667052
Yeo-Johnson,Random Forest,0.9179166666666667,0.9183333333333333,0.0004166666666666208,0.9208333333333333,0.9208333333333333,0.0
Binning,Logistic Regression,0.8591666666666665,0.8591666666666666,1.1102230246251565e-16,0.8675,0.8733333333333333,0.005833333333333246
Yeo-Johnson,XGBoost,0.9200000000000002,0.9200000000000002,0.0,0.9216666666666666,0.9216666666666666,0.0
Standard,XGBoost,0.9200000000000002,0.9200000000000002,0.0,0.9216666666666666,0.9216666666666666,0.0
MinMax,XGBoost,0.9200000000000002,0.9200000000000002,0.0,0.9216666666666666,0.9216666666666666,0.0
Quantile,XGBoost,0.9200000000000002,0.9200000000000002,0.0,0.9216666666666666,0.9216666666666666,0.0
Standard,Gradient Boosting,0.9197916666666666,0.9197916666666666,0.0,0.92,0.9216666666666666,0.0016666666666665941
Robust,XGBoost,0.9200000000000002,0.9200000000000002,0.0,0.9216666666666666,0.9216666666666666,0.0
MinMax,Gradient Boosting,0.9197916666666666,0.9195833333333333,-0.00020833333333325488,0.92,0.92,0.0
Robust,Decision Tree,0.9081250000000001,0.9077083333333335,-0.0004166666666666208,0.9025,0.9066666666666666,0.004166666666666652
Standard,Decision Tree,0.9081250000000001,0.9077083333333332,-0.0004166666666668428,0.9025,0.9091666666666667,0.00666666666666671
Robust,Gradient Boosting,0.9197916666666666,0.9191666666666667,-0.0006249999999998757,0.92,0.9208333333333333,0.0008333333333332416
Quantile,Gradient Boosting,0.9197916666666666,0.9191666666666667,-0.0006249999999998757,0.92,0.9208333333333333,0.0008333333333332416
Yeo-Johnson,Gradient Boosting,0.9197916666666666,0.9189583333333333,-0.0008333333333332416,0.92,0.9208333333333333,0.0008333333333332416
Quantile,Decision Tree,0.9081250000000001,0.9070833333333332,-0.0010416666666668295,0.9025,0.9041666666666667,0.0016666666666667052
Robust,Random Forest,0.9179166666666667,0.9164583333333335,-0.0014583333333332282,0.9208333333333333,0.9233333333333333,0.0025000000000000577
Quantile,LightGBM,0.9202083333333334,0.91875,-0.0014583333333334503,0.9241666666666667,0.9241666666666667,0.0
Standard,LightGBM,0.9202083333333334,0.9185416666666667,-0.0016666666666667052,0.9241666666666667,0.9258333333333333,0.0016666666666665941
Robust,LightGBM,0.9202083333333334,0.9181250000000001,-0.002083333333333326,0.9241666666666667,0.9241666666666667,0.0
MinMax,Decision Tree,0.9081250000000001,0.9060416666666666,-0.002083333333333437,0.9025,0.9083333333333333,0.005833333333333357
Binning,KNN,0.8902083333333334,0.8875,-0.0027083333333334236,0.89,0.885,-0.0050000000000000044
Yeo-Johnson,Decision Tree,0.9081250000000001,0.9052083333333332,-0.0029166666666669006,0.9025,0.9083333333333333,0.005833333333333357
MinMax,KNN,0.8902083333333334,0.8833333333333332,-0.0068750000000001865,0.89,0.895,0.0050000000000000044
MinMax,Logistic Regression,0.8591666666666665,0.849375,-0.009791666666666532,0.8675,0.8566666666666667,-0.010833333333333361
Quantile,KNN,0.8902083333333334,0.8764583333333335,-0.013749999999999929,0.89,0.8891666666666667,-0.0008333333333333526
Quantile,Logistic Regression,0.8591666666666665,0.8441666666666668,-0.01499999999999968,0.8675,0.8458333333333333,-0.021666666666666723
Binning,LightGBM,0.9202083333333334,0.8895833333333334,-0.030625000000000013,0.9241666666666667,0.9083333333333333,-0.015833333333333366
Binning,XGBoost,0.9200000000000002,0.8881249999999999,-0.03187500000000021,0.9216666666666666,0.9041666666666667,-0.01749999999999996
Binning,Gradient Boosting,0.9197916666666666,0.8866666666666667,-0.03312499999999985,0.92,0.9066666666666666,-0.01333333333333342
Binning,Random Forest,0.9179166666666667,0.884375,-0.03354166666666669,0.9208333333333333,0.905,-0.015833333333333255
Binning,Decision Tree,0.9081250000000001,0.8677083333333332,-0.04041666666666688,0.9025,0.89,-0.012499999999999956
