Transformation,Model,No Scaling CV R2,Transformation CV R2,CV Improvement,No Scaling Test R2,Transformation Test R2,Test Improvement
Robust,KNN,0.464195684718021,0.7641858081207902,0.2999901234027692,0.6473640882039258,0.7095672895369154,0.06220320133298962
Yeo-Johnson,KNN,0.464195684718021,0.7419094587685215,0.2777137740505006,0.6473640882039258,0.7138149640164209,0.06645087581249509
Binning,KNN,0.464195684718021,0.7388116908925297,0.27461600617450876,0.6473640882039258,0.7285576008577488,0.08119351265382302
Standard,KNN,0.464195684718021,0.7321591127390382,0.26796342802101725,0.6473640882039258,0.7190172315709293,0.07165314336700357
MinMax,KNN,0.464195684718021,0.6984855753373077,0.23428989061928673,0.6473640882039258,0.7039265754739785,0.05656248727005275
Quantile,KNN,0.464195684718021,0.6461910506435834,0.18199536592556242,0.6473640882039258,0.662935703917513,0.015571615713587228
Yeo-Johnson,Linear Regression,0.7244357342240262,0.7541478488700303,0.029712114646004095,0.6687594935356317,0.7314914113312387,0.06273191779560705
MinMax,Gradient Boosting,0.8439261077551817,0.8505377413557313,0.006611633600549616,0.9143064751890294,0.914414273462518,0.00010779827348861293
Standard,Gradient Boosting,0.8439261077551817,0.8505362649063268,0.006610157151145102,0.9143064751890294,0.9145220438678633,0.00021556867883387731
Robust,Gradient Boosting,0.8439261077551817,0.850383290499301,0.0064571827441192164,0.9143064751890294,0.9147794461434878,0.0004729709544584182
Yeo-Johnson,Gradient Boosting,0.8439261077551817,0.8497281815839036,0.005802073828721888,0.9143064751890294,0.9149954783047357,0.0006890031157062992
Robust,Random Forest,0.8212571695926568,0.8258967804499762,0.004639610857319343,0.8666198654805357,0.8786734642709804,0.012053598790444653
Quantile,Gradient Boosting,0.8439261077551817,0.8480263292738315,0.004100221518649749,0.9143064751890294,0.9060802094264084,-0.008226265762620977
Robust,LightGBM,0.8326939525551079,0.8361312984486762,0.0034373458935682555,0.886290371005902,0.8743565117730785,-0.01193385923282353
Quantile,Random Forest,0.8212571695926568,0.8244004070180274,0.003143237425370593,0.8666198654805357,0.8584394628516749,-0.008180402628860772
Standard,Random Forest,0.8212571695926568,0.8242546436038228,0.0029974740111660125,0.8666198654805357,0.8819501860164746,0.015330320535938857
Yeo-Johnson,XGBoost,0.8343537880395004,0.8343912351940894,3.744715458897652e-05,0.9057837838492537,0.911032069654541,0.005248285805287245
Robust,XGBoost,0.8343537880395004,0.8343537880395004,0.0,0.9057837838492537,0.9057837838492537,0.0
Quantile,XGBoost,0.8343537880395004,0.8343537880395004,0.0,0.9057837838492537,0.9057837838492537,0.0
Standard,Linear Regression,0.7244357342240262,0.7244357342240262,0.0,0.6687594935356317,0.668759493535632,3.3306690738754696e-16
MinMax,XGBoost,0.8343537880395004,0.8343537880395004,0.0,0.9057837838492537,0.9057837838492537,0.0
Standard,XGBoost,0.8343537880395004,0.8343537880395004,0.0,0.9057837838492537,0.9057837838492537,0.0
Robust,Linear Regression,0.7244357342240262,0.7244357342240261,-1.1102230246251565e-16,0.6687594935356317,0.6687594935356317,0.0
MinMax,Linear Regression,0.7244357342240262,0.724435734224026,-2.220446049250313e-16,0.6687594935356317,0.668759493535632,3.3306690738754696e-16
Quantile,LightGBM,0.8326939525551079,0.8323881946604711,-0.0003057578946368267,0.886290371005902,0.8743971972093378,-0.011893173796564183
MinMax,Random Forest,0.8212571695926568,0.8205812019271896,-0.0006759676654671809,0.8666198654805357,0.872748619464272,0.006128753983736246
Yeo-Johnson,LightGBM,0.8326939525551079,0.8312960492222716,-0.0013979033328362922,0.886290371005902,0.8820393086525459,-0.00425106235335615
Standard,LightGBM,0.8326939525551079,0.8305123569920017,-0.0021815955631062645,0.886290371005902,0.8909642696401995,0.0046738986342974576
Yeo-Johnson,Random Forest,0.8212571695926568,0.818928709592447,-0.002328460000209809,0.8666198654805357,0.8767621305405644,0.010142265060028688
MinMax,LightGBM,0.8326939525551079,0.8293450546928373,-0.003348897862270661,0.886290371005902,0.8823751637629093,-0.003915207242992769
Quantile,Linear Regression,0.7244357342240262,0.7145037532859384,-0.009931980938087781,0.6687594935356317,0.7381447029999719,0.06938520946434024
Standard,Decision Tree,0.6758862715769892,0.6614920030027678,-0.014394268574221436,0.6791115939993448,0.8504193667261242,0.17130777272677933
MinMax,Decision Tree,0.6758862715769892,0.6604336627402478,-0.015452608836741377,0.6791115939993448,0.6925887840574743,0.013477190058129418
Quantile,Decision Tree,0.6758862715769892,0.6550033984127823,-0.020882873164206894,0.6791115939993448,0.8666478768060404,0.18753628280669554
Robust,Decision Tree,0.6758862715769892,0.6494601111615135,-0.02642616041547574,0.6791115939993448,0.8456319629369999,0.1665203689376551
Yeo-Johnson,Decision Tree,0.6758862715769892,0.6451481207426364,-0.03073815083435283,0.6791115939993448,0.6727854295955089,-0.006326164403835932
Binning,LightGBM,0.8326939525551079,0.7986626103207909,-0.03403134223431703,0.886290371005902,0.7846388869189035,-0.10165148408699853
Binning,Gradient Boosting,0.8439261077551817,0.8038057799799461,-0.040120327775235665,0.9143064751890294,0.7497238084881008,-0.16458266670092858
Binning,Random Forest,0.8212571695926568,0.7755743303892584,-0.04568283920339844,0.8666198654805357,0.764151283948251,-0.10246858153228466
Binning,Linear Regression,0.7244357342240262,0.6643941077125017,-0.06004162651152445,0.6687594935356317,0.614067725585222,-0.05469176795040964
Binning,XGBoost,0.8343537880395004,0.7514713807358102,-0.08288240730369023,0.9057837838492537,0.7488734125626775,-0.15691037128657626
Binning,Decision Tree,0.6758862715769892,0.5129912634592808,-0.1628950081177084,0.6791115939993448,0.5424359617800394,-0.13667563221930545
