Transformation,Model,No Scaling CV R2,Transformation CV R2,CV Improvement,No Scaling Test R2,Transformation Test R2,Test Improvement
Yeo-Johnson,Decision Tree,0.8365835958475287,0.8442214141785198,0.007637818330991086,0.8880079343462308,0.9169594314206337,0.02895149707440292
MinMax,Decision Tree,0.8365835958475287,0.8424505569962758,0.005866961148747074,0.8880079343462308,0.8817886900171523,-0.006219244329078499
Quantile,KNN,0.7580119284898663,0.7622284256338719,0.0042164971440056265,0.7747743440845718,0.8098938355250762,0.03511949144050441
Robust,Decision Tree,0.8365835958475287,0.8382024521906125,0.0016188563430837855,0.8880079343462308,0.9032662811297747,0.015258346783543875
Yeo-Johnson,KNN,0.7580119284898663,0.7585486833944304,0.0005367549045640629,0.7747743440845718,0.7529715082494869,-0.02180283583508491
Quantile,XGBoost,0.9208057028339282,0.9208057028339282,0.0,0.9426688001172493,0.9426688001172493,0.0
Robust,XGBoost,0.9208057028339282,0.9208057028339282,0.0,0.9426688001172493,0.9426688001172493,0.0
Standard,XGBoost,0.9208057028339282,0.9208057028339282,0.0,0.9426688001172493,0.9426688001172493,0.0
MinMax,XGBoost,0.9208057028339282,0.9208057028339282,0.0,0.9426688001172493,0.9426688001172493,0.0
Robust,Linear Regression,0.6362575245158383,0.6362575245157982,-4.007905118896815e-14,0.6210042781741847,0.6210042781742156,3.086420008457935e-14
Standard,Linear Regression,0.6362575245158383,0.6362575245157981,-4.0190073491430667e-14,0.6210042781741847,0.6210042781742158,3.108624468950438e-14
MinMax,Linear Regression,0.6362575245158383,0.6362575245157981,-4.0190073491430667e-14,0.6210042781741847,0.6210042781742157,3.097522238704187e-14
Robust,Gradient Boosting,0.823692040128536,0.823669735490444,-2.2304638092052187e-05,0.831006491523737,0.8296094324891503,-0.0013970590345866452
Robust,Random Forest,0.9062507175221883,0.9061571752445783,-9.354227761004807e-05,0.9329755201351538,0.9334703144126812,0.0004947942775274106
Standard,Random Forest,0.9062507175221883,0.9060878486516334,-0.00016286887055494415,0.9329755201351538,0.9328571098147846,-0.00011841032036918886
Quantile,Gradient Boosting,0.823692040128536,0.8235036246632246,-0.00018841546531145337,0.831006491523737,0.8301175583435374,-0.0008889331801995581
Standard,Gradient Boosting,0.823692040128536,0.8234773748673586,-0.0002146652611774158,0.831006491523737,0.8297186742365379,-0.0012878172871990667
MinMax,Gradient Boosting,0.823692040128536,0.8234749168199832,-0.00021712330855283568,0.831006491523737,0.8298040345151819,-0.0012024570085550357
Robust,LightGBM,0.9025030644290488,0.90224789589312,-0.00025516853592877364,0.9151847626085453,0.9182072007985502,0.003022438190004917
Yeo-Johnson,XGBoost,0.9208057028339282,0.9204215691322453,-0.0003841337016828872,0.9426688001172493,0.942430181913766,-0.00023861820348325402
Yeo-Johnson,Random Forest,0.9062507175221883,0.9055388308524014,-0.000711886669786943,0.9329755201351538,0.9317712964971359,-0.001204223638017976
Yeo-Johnson,LightGBM,0.9025030644290488,0.9017210588846739,-0.0007820055443749085,0.9151847626085453,0.914791827540914,-0.0003929350676312726
MinMax,LightGBM,0.9025030644290488,0.9015646119537607,-0.0009384524752881207,0.9151847626085453,0.9156408035869741,0.00045604097842877334
Quantile,LightGBM,0.9025030644290488,0.9014291290119093,-0.0010739354171395155,0.9151847626085453,0.9162002729011803,0.0010155102926350246
Yeo-Johnson,Gradient Boosting,0.823692040128536,0.8224823580699289,-0.0012096820586071644,0.831006491523737,0.8229227921190111,-0.008083699404725864
Standard,LightGBM,0.9025030644290488,0.9011482253366646,-0.001354839092384208,0.9151847626085453,0.9119871019743915,-0.0031976606341538316
MinMax,Random Forest,0.9062507175221883,0.9040650853696881,-0.0021856321525002276,0.9329755201351538,0.9332111054594375,0.0002355853242836936
Quantile,Random Forest,0.9062507175221883,0.9037962121116747,-0.002454505410513619,0.9329755201351538,0.934389531596679,0.0014140114615251997
Robust,KNN,0.7580119284898663,0.7546799360648192,-0.0033319924250471145,0.7747743440845718,0.751763190080634,-0.023011154003937828
Standard,Decision Tree,0.8365835958475287,0.8331317127754989,-0.0034518830720298155,0.8880079343462308,0.8887219280133313,0.0007139936671004543
Quantile,Decision Tree,0.8365835958475287,0.8330251977321502,-0.0035583981153785027,0.8880079343462308,0.9027665413177108,0.014758606971480015
MinMax,KNN,0.7580119284898663,0.7527140405864686,-0.005297887903397691,0.7747743440845718,0.7786399595070911,0.0038656154225192862
Standard,KNN,0.7580119284898663,0.7525736863829919,-0.00543824210687438,0.7747743440845718,0.7550698531458112,-0.019704490938760588
Quantile,Linear Regression,0.6362575245158383,0.6292424931552644,-0.007015031360573909,0.6210042781741847,0.6489807865555861,0.02797650838140142
Yeo-Johnson,Linear Regression,0.6362575245158383,0.6226443230507326,-0.013613201465105695,0.6210042781741847,0.6429531632955428,0.021948885121358064
Binning,KNN,0.7580119284898663,0.736023398998144,-0.021988529491722364,0.7747743440845718,0.7489314850997386,-0.025842858984833184
Binning,Linear Regression,0.6362575245158383,0.5909162216723186,-0.04534130284351967,0.6210042781741847,0.6037282698717792,-0.0172760083024055
Binning,Gradient Boosting,0.823692040128536,0.7414520171997314,-0.08224002292880461,0.831006491523737,0.7269296567742467,-0.10407683474949025
Binning,XGBoost,0.9208057028339282,0.8368831875900915,-0.08392251524383665,0.9426688001172493,0.8237507361720351,-0.1189180639452142
Binning,LightGBM,0.9025030644290488,0.8169673523542391,-0.0855357120748097,0.9151847626085453,0.7980784539024351,-0.11710630870611016
Binning,Random Forest,0.9062507175221883,0.8204723201050876,-0.0857783974171007,0.9329755201351538,0.7814832241865918,-0.15149229594856206
Binning,Decision Tree,0.8365835958475287,0.6544605405465627,-0.18212305530096606,0.8880079343462308,0.5379934146208141,-0.35001451972541675
