Transformation,Model,No Scaling CV R2,Transformation CV R2,CV Improvement,No Scaling Test R2,Transformation Test R2,Test Improvement
Quantile,Gradient Boosting,-1.0431774688829463,-0.4724454070909193,0.570732061792027,-0.8475918833883709,-0.9247432161591302,-0.07715133277075936
Standard,Gradient Boosting,-1.0431774688829463,-0.7311630627705228,0.3120144061124235,-0.8475918833883709,-0.3126367159130301,0.5349551674753408
Robust,KNN,-0.4095749223302462,-0.1136254455250036,0.29594947680524264,-0.3070760782629034,-0.3234345174994895,-0.016358439236586086
Standard,KNN,-0.4095749223302462,-0.14095009262291408,0.26862482970733215,-0.3070760782629034,-0.3163119877834184,-0.009235909520515007
Binning,Gradient Boosting,-1.0431774688829463,-0.8051183692714077,0.2380590996115386,-0.8475918833883709,-0.23453070005934773,0.6130611833290232
Yeo-Johnson,KNN,-0.4095749223302462,-0.17759723505926886,0.23197768727097737,-0.3070760782629034,-0.21554393362907565,0.09153214463382775
Quantile,KNN,-0.4095749223302462,-0.18764084876119663,0.2219340735690496,-0.3070760782629034,-0.3013694705753456,0.005706607687557819
MinMax,KNN,-0.4095749223302462,-0.2450975710018081,0.16447735132843813,-0.3070760782629034,-0.25668479380023346,0.05039128446266994
MinMax,Random Forest,-0.506566975528616,-0.36745513497786536,0.1391118405507506,-0.39027889710109354,-0.31975411913442087,0.07052477796667267
Binning,KNN,-0.4095749223302462,-0.27095698561002857,0.13861793672021766,-0.3070760782629034,-0.7413434442811813,-0.43426736601827787
Yeo-Johnson,Random Forest,-0.506566975528616,-0.3864999172750858,0.12006705825353015,-0.39027889710109354,-0.3485950563076643,0.04168384079342924
Quantile,Random Forest,-0.506566975528616,-0.4242125042373111,0.08235447129130485,-0.39027889710109354,-0.2690776893242328,0.12120120777686072
Standard,Random Forest,-0.506566975528616,-0.4305796047725492,0.07598737075606676,-0.39027889710109354,-0.33803091014258313,0.052247986958510406
Robust,Random Forest,-0.506566975528616,-0.44548718411687266,0.0610797914117433,-0.39027889710109354,-0.33195943061108824,0.0583194664900053
Standard,LightGBM,-0.1284914656397961,-0.1229582918519471,0.005533173787849011,-0.23137374822429213,-0.2837316427714067,-0.05235789454711459
Quantile,LightGBM,-0.1284914656397961,-0.12363721328267166,0.0048542523571244445,-0.23137374822429213,-0.22502613861936904,0.006347609604923088
Binning,Linear Regression,0.02365869249423107,0.026752389471919137,0.003093696977688066,0.010576895901821648,0.02468156484719397,0.014104668945372323
Yeo-Johnson,Linear Regression,0.02365869249423107,0.02565240007626124,0.001993707582030168,0.010576895901821648,0.017899201984642676,0.0073223060828210285
Quantile,Linear Regression,0.02365869249423107,0.023766671485079292,0.00010797899084822107,0.010576895901821648,0.029707137768302916,0.019130241866481268
MinMax,XGBoost,-0.7199095726013184,-0.7199095726013184,0.0,-2.30959415435791,-2.30959415435791,0.0
Standard,Linear Regression,0.02365869249423107,0.023658692494231026,-4.5102810375396984e-17,0.010576895901821648,0.010576895901821981,3.3306690738754696e-16
MinMax,Linear Regression,0.02365869249423107,0.023658692494231005,-6.591949208711867e-17,0.010576895901821648,0.010576895901821981,3.3306690738754696e-16
Robust,Linear Regression,0.02365869249423107,0.02365869249423098,-9.020562075079397e-17,0.010576895901821648,0.010576895901821981,3.3306690738754696e-16
Quantile,XGBoost,-0.7199095726013184,-0.7202091932296752,-0.000299620628356867,-2.30959415435791,-2.30959415435791,0.0
Yeo-Johnson,XGBoost,-0.7199095726013184,-0.7202091932296752,-0.000299620628356867,-2.30959415435791,-2.30959415435791,0.0
Robust,XGBoost,-0.7199095726013184,-0.7202091932296752,-0.000299620628356867,-2.30959415435791,-2.30959415435791,0.0
