Transformation,Model,No Scaling CV MSE,Transformation CV MSE,CV Improvement,No Scaling Test MSE,Transformation Test MSE,Test Improvement
Binning,Decision Tree,909.4922048611112,787.1147373690383,122.37746749207292,942.190625,825.0275092273715,117.16311577262843
Robust,Decision Tree,909.4922048611112,908.2575925925927,1.2346122685185037,942.190625,923.4091666666667,18.781458333333262
Binning,Linear Regression,569.4561087260236,568.5537595465312,0.9023491794923757,574.9848629046938,575.6930513330336,-0.7081884283397812
Standard,Random Forest,511.6134778790039,510.8851509631921,0.728326915811806,538.3007622200673,530.1357788346951,8.164983385372238
Yeo-Johnson,Linear Regression,569.4561087260236,568.7890152611584,0.667093464865161,574.9848629046938,574.1329306095039,0.851932295189954
MinMax,Random Forest,511.6134778790039,511.32806338836247,0.2854144906414149,538.3007622200673,532.5003672981346,5.800394921932707
Robust,Random Forest,511.6134778790039,511.5144944026348,0.09898347636908511,538.3007622200673,534.2003832900336,4.100378930033685
Quantile,XGBoost,564.9913468363881,564.9913468363881,0.0,574.2262960418637,574.2262960418637,0.0
Quantile,Gradient Boosting,481.12929986649505,481.12929986649505,0.0,486.81029509690677,486.81029509690677,0.0
Yeo-Johnson,LightGBM,481.4712672633098,481.4712672633098,0.0,478.5783803613062,478.5783803613062,0.0
Yeo-Johnson,XGBoost,564.9913468363881,564.9913468363881,0.0,574.2262960418637,574.2262960418637,0.0
Robust,LightGBM,481.4712672633098,481.4712672633098,0.0,478.5783803613062,478.5783803613062,0.0
Robust,XGBoost,564.9913468363881,564.9913468363881,0.0,574.2262960418637,574.2262960418637,0.0
Robust,Gradient Boosting,481.12929986649505,481.12929986649505,0.0,486.81029509690677,486.81029509690677,0.0
Standard,Linear Regression,569.4561087260236,569.4561087260236,0.0,574.9848629046938,574.9848629046937,1.1368683772161603e-13
Standard,LightGBM,481.4712672633098,481.4712672633098,0.0,478.5783803613062,478.5783803613062,0.0
MinMax,Linear Regression,569.4561087260236,569.4561087260236,0.0,574.9848629046938,574.9848629046938,0.0
Standard,Gradient Boosting,481.12929986649505,481.12929986649505,0.0,486.81029509690677,486.81029509690677,0.0
Standard,XGBoost,564.9913468363881,564.9913468363881,0.0,574.2262960418637,574.2262960418637,0.0
Robust,Linear Regression,569.4561087260236,569.4561087260236,0.0,574.9848629046938,574.9848629046938,0.0
Quantile,LightGBM,481.4712672633098,481.4712672633098,0.0,478.5783803613062,478.5783803613062,0.0
MinMax,Gradient Boosting,481.12929986649505,481.12929986649505,0.0,486.81029509690677,486.81029509690677,0.0
MinMax,XGBoost,564.9913468363881,564.9913468363881,0.0,574.2262960418637,574.2262960418637,0.0
MinMax,LightGBM,481.4712672633098,481.4712672633098,0.0,478.5783803613062,478.5783803613062,0.0
Yeo-Johnson,Gradient Boosting,481.12929986649505,481.15713054318456,-0.02783067668951844,486.81029509690677,486.81029509690677,0.0
Quantile,Decision Tree,909.4922048611112,909.9163252314814,-0.42412037037024675,942.190625,895.3120833333334,46.87854166666659
Yeo-Johnson,Random Forest,511.6134778790039,512.1775597527896,-0.5640818737857671,538.3007622200673,539.7789984183,-1.4782361982327075
Quantile,Random Forest,511.6134778790039,512.3632302230709,-0.7497523440670193,538.3007622200673,537.078704269029,1.2220579510383232
Quantile,Linear Regression,569.4561087260236,572.0148775075592,-2.558768781535605,574.9848629046938,575.353467920193,-0.36860501549915625
Yeo-Johnson,Decision Tree,909.4922048611112,913.3714872685184,-3.8792824074072314,942.190625,932.4133333333333,9.777291666666656
MinMax,Decision Tree,909.4922048611112,914.1075578703703,-4.615353009259138,942.190625,920.1441666666667,22.04645833333325
Standard,Decision Tree,909.4922048611112,915.3279629629629,-5.835758101851752,942.190625,906.6145833333334,35.57604166666658
Binning,Gradient Boosting,481.12929986649505,490.13453486256515,-9.0052349960701,486.81029509690677,500.2141810806114,-13.40388598370464
Binning,LightGBM,481.4712672633098,497.69008779643474,-16.218820533124926,478.5783803613062,505.53695769464696,-26.95857733334077
Binning,XGBoost,564.9913468363881,588.6771660423159,-23.685819205927828,574.2262960418637,573.0872063789031,1.1390896629606004
Binning,KNN,518.8760583333333,560.4572416666667,-41.581183333333456,543.6684333333334,579.7161000000001,-36.047666666666714
Standard,KNN,518.8760583333333,566.7838416666666,-47.90778333333333,543.6684333333334,573.6806,-30.012166666666644
Yeo-Johnson,KNN,518.8760583333333,569.9622083333333,-51.086149999999975,543.6684333333334,580.8115666666666,-37.14313333333325
Robust,KNN,518.8760583333333,571.1072,-52.23114166666676,543.6684333333334,573.9530000000001,-30.284566666666706
MinMax,KNN,518.8760583333333,577.8610249999999,-58.98496666666665,543.6684333333334,575.7316333333333,-32.06319999999994
Quantile,KNN,518.8760583333333,591.4242333333334,-72.54817500000013,543.6684333333334,578.7039666666667,-35.03553333333332
Binning,Random Forest,511.6134778790039,608.2062148083244,-96.5927369293205,538.3007622200673,619.5872449500355,-81.28648272996816
