Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,Y
4.8346,33,2582,226,1073,14,-33.116974,173.936739,9377.003868675762,615676.1191819723,48471.543830123155,52393.05112048768,663587.7453460671,135706.0
2.8884,29,323,156,478,67,35.7225525,108.380452,30714.17054176313,175182.4862527174,221053.18550490125,642159.1915765724,259426.28038678918,137482.0
6.6986,22,3260,193,1313,354,-11.825475,-70.977258,3586.8433822499346,203377.53604871206,357577.89876285265,128014.10920952745,97361.72120092102,340757.0
6.8773,46,629,212,1019,286,-1.921088,-145.797374,26129.760670631345,15716.909191593153,263152.47215820255,403610.69352641446,574576.374804456,325984.0
4.587,9,10339,654,864,539,-0.1799325,84.373658,65238.08201907808,560613.8473296871,738908.6357442425,32840.80218076013,88461.53776642098,44703.0
3.5045,21,1694,290,779,49,-74.2251305,21.441885,54425.467744222144,847098.4776714438,1095061.7024071428,54287.74091538599,10786.198852242533,93179.0
3.7484,15,1430,297,1108,251,-2.737838,7.896805,12407.076624082993,141993.65798426364,705492.095910358,609453.725808337,777204.4460599403,69523.0
6.6481,3,3171,700,1616,732,-83.5429955,-51.622376,86940.7798831458,104797.4144672985,197494.91739030005,439603.83608753694,576443.029083234,291587.0
5.8001,22,8679,993,798,263,-89.02453,131.928687,4281.923955922028,559465.6744309404,1017034.8803406009,85566.67173085455,494885.8999148395,173660.0
8.7623,29,2723,62,1195,388,-3.561927,75.265244,6850.589683524723,588806.2013453759,727948.1163045693,612341.3081714778,173326.717954446,238665.0
2.1103,4,24440,261,467,209,-41.9240625,165.677892,6407.180256680095,609736.6900088033,18801.52220501497,466313.8236228818,288102.5688161481,108088.0
5.185,45,684,246,1101,575,87.697211,-111.773094,33629.38508776327,214241.41895250452,222531.8900674306,435062.22969454963,526345.2643231314,131976.0
5.8711,22,1051,565,874,322,-7.8330155,-123.313192,150938.389044252,366227.67447610816,786593.287583804,273164.87096619076,121686.4752858723,333319.0
5.8287,39,1371,294,1173,228,39.502938,-88.56508,15699.975548602955,101548.53774881584,179475.15614282354,418244.0989909045,540795.6464997081,340624.0
1.9875,52,2465,342,1267,3153,25.465685,126.222801,23491.903577138233,257303.54061267342,414778.99435594457,167246.72073711516,30351.235034779424,73628.0
5.5711,13,1197,450,1317,647,62.2829005,-7.588488,96797.95662470697,94071.2489687279,430553.55809707247,669579.7711376317,100374.66379940022,320864.0
4.7558,37,3155,432,654,244,53.568039,-14.941684,22036.529251266234,177561.5832456896,1063084.6591465967,44241.65066871933,46732.75688733077,329424.0
7.6848,17,1458,349,866,186,57.881255,-17.872278,10995.808588818294,39463.845963338936,194694.84159013836,473833.4931816111,599172.2259553666,207865.0
2.3684,17,1420,319,584,258,24.945926,-35.250858,48720.78856649583,24919.19007898131,195693.30594898708,417404.91291061864,570044.2305754338,398869.0
3.9209,26,2085,501,297,1233,-37.840348,-115.495141,8391.4256986037,192615.53646989353,17117.725516147442,8466.393193892107,162664.60986516342,206740.0
8.4199,37,2184,270,1360,814,85.2787645,118.020479,33126.41676633345,66203.75709243919,199779.81037727706,490131.05105729814,577561.4848259281,202000.0
6.8618,34,1068,100,700,281,9.6364605,82.723021,11667.817485702368,164631.52749112755,196306.83660340772,503514.32059858757,598436.0346822967,219134.0
5.1133,36,2376,374,1670,549,34.8693055,-136.382043,14426.931732659388,95281.632187414,143738.58088710599,448828.2023756159,583483.3280626171,274298.0
5.937,12,3843,411,794,324,30.131549,-128.423841,4120.821417606205,589775.6550409618,733638.8499711601,163300.115572407,60023.37023242673,126796.0
5.5886,52,2458,242,1158,160,11.601199,-12.40305,157279.11075609011,68560.37622102081,521828.611519799,211090.6445935247,313996.5713561759,368725.0
3.3667,4,943,236,1774,176,-67.9153355,51.760243,161424.02524654838,147169.23438322166,807080.8160626392,144673.20360862574,16338.729178126456,164259.0
6.6388,52,3284,39,818,117,-13.2915375,-63.610792,1916.4034688850206,533622.9945908883,581113.5846781225,39596.83198693069,668562.4523943063,142146.0
4.5316,14,2349,496,503,308,-51.618525,89.492164,38324.35876074274,147032.94976126787,211746.41505793313,387910.02279930125,699339.2632457316,181735.0
6.5663,41,1302,169,531,340,5.243069,153.275351,15258.924313179248,40810.7105812051,219896.39750278465,468771.4493835533,526790.7947011597,357150.0
4.7827,30,551,669,1075,159,-34.4049415,167.280999,3099.0705322007934,49635.15123760474,218135.18123959744,499216.24247919675,619542.6728213622,500001.0
1.4672,16,1686,96,923,245,74.0589615,-97.586962,4837.029875783236,65527.90108398752,357454.9369096013,624243.5408813485,339968.47135596216,186174.0
1.96,32,3471,618,612,227,-43.351493,15.633077,35019.20889230456,582125.122630861,869884.6775176367,37163.787356577275,67442.06114595615,85375.0
13.8598,38,2705,310,2133,271,80.8765315,155.603338,4767.0643105368545,21232.752339024122,189797.4803717433,477773.8754586549,615848.6690152138,371600.0
12.7828,4,1070,445,1574,495,-71.001909,-44.337696,6084.137789597349,139267.5576782236,787296.7757133828,413913.17015345633,18916.777984952358,500001.0
3.1461,32,2448,512,895,346,-74.4564875,-136.561343,222809.74080128694,148601.87254854004,172652.86840357305,517474.0408271921,570292.3173912915,234511.0
4.063,3,2175,351,4854,408,82.661177,-8.432934,7638.104151052559,3063.0260193533663,732550.0334470855,21612.480675579234,27890.076683675114,194036.0
2.3258,31,1846,298,2374,249,-57.2427365,8.556946,6000.561867096864,432025.3944576635,934210.7925340156,260991.2505531885,355609.3023242305,81782.0
4.3238,34,880,32,664,302,-9.671558,-172.597457,22876.26033082287,59599.28221047896,189269.9089690519,538012.59157366,597397.9094287571,319381.0
5.7271,16,3110,270,1646,329,11.339451,-31.771851,3368.5707710338056,12191.281037560526,574569.8097407547,496803.71897932637,573983.4380170662,271503.0
3.7914,18,7198,262,1087,620,-78.649357,124.656056,6962.206990417937,58276.022039804426,155207.8300777324,514737.2316565628,697959.7172910643,334796.0
3.3144,52,2688,342,1781,267,56.51842,61.479794,6630.86351847355,633064.0431005716,669622.7766188183,294657.70982292504,366949.9834443202,180018.0
3.9653,17,482,46,451,109,-64.440607,-64.037834,6939.303825755135,607755.4574338719,820394.6168801095,2653.862999511479,18575.1811788471,108470.0
1.9329,5,920,428,1186,209,-12.157132,24.150368,45063.95410169585,609419.2934162356,202030.33189321868,601216.3420837594,27805.95351108684,217236.0
3.4177,27,3835,832,481,323,26.0711625,-26.404937,73572.4188816176,560303.9901537227,730671.6876996112,421432.63682045374,221979.6946048519,500001.0
3.5187,17,2052,528,57,415,81.7190415,21.733261,12133.047960293647,318922.0301073886,543523.4325216158,15291.84654785567,606966.3738094611,57368.0
4.4443,27,2607,517,1128,315,-35.3071755,69.191519,36870.84263055118,45872.54372813423,146393.46919278204,535098.9628403153,613988.4734731709,143140.0
4.1649,18,5395,537,1011,525,36.889006,-93.754545,21888.794519048643,222930.679086783,137113.71105410185,506074.8381253823,628245.6528724603,215545.0
2.9654,31,1835,652,1409,463,-41.709779,-161.122301,5468.359158112758,534214.1421385034,827017.6049206436,161705.01295961183,373233.9060220467,232303.0
3.8237,16,2721,2464,733,789,-84.2079425,174.958784,50087.52578912699,574521.8320845758,748209.613036942,644600.8529694682,699106.1348204263,326595.0
3.8739,38,2978,8,756,82,-42.66035,109.582284,25047.563403200256,837350.6941194917,181695.35190128133,435388.2016668831,486384.69016268745,293103.0
2.7603,34,1732,59,694,262,-31.097867,96.801193,59074.69773576071,550577.9739255547,204394.64413111637,170580.4353346266,4780.844354055425,485911.0
4.7217,32,1279,141,257,187,-40.810703,96.417202,22442.636904382904,108166.93733985195,213151.95807991887,420367.5939271545,571140.8362298277,258367.0
6.9534,32,628,251,710,42,-16.540042,-45.243969,51443.76875024057,225860.63015382978,184864.54864195286,466698.7847499343,611834.2634420447,272280.0
4.9126,15,5949,375,139,61,-76.4679705,131.462663,15443.601296922638,574751.5714565465,167849.6641793827,394505.72831440374,64445.28826664964,149814.0
6.9998,20,5317,82,723,178,-22.092094,50.780809,130885.54593163184,78526.35856174631,979982.0733731627,151001.09942253007,327775.0888940193,136788.0
3.8618,12,3125,710,1340,349,-29.771743,-8.550409,128279.57662649798,559884.4366619913,774225.2545009766,710584.2922174389,7614.889669834603,76551.0
9.6385,38,2482,864,1233,570,-39.061657,149.721297,14239.680785486315,177665.34608708872,198367.12172213444,495047.5778782096,595947.4994367672,206114.0
2.299,15,3263,733,1203,117,-22.1254505,111.004292,40960.535389463206,572395.3877998745,725932.7072861642,83879.58727306659,23117.354025800272,440014.0
5.2421,27,1526,343,506,163,52.79614,-107.449359,48916.883880881265,182840.1127240709,171094.66228436565,504282.97248613444,624279.5811513001,185994.0
7.3971,32,1644,147,799,13,3.0800995,58.026333,41426.973020560836,84935.1492135464,158422.80322877323,2096.842026098367,701501.9294921943,272235.0
5.5077,33,2552,292,468,227,29.143058,158.938752,32761.42467278296,111669.72156974456,207915.91078891343,408398.59037700103,492089.57684147416,223667.0
3.8314,39,1611,462,1041,299,29.1618,-114.647713,28069.367871829825,78594.31733360277,175574.4210256093,470722.9429259644,574468.172296809,148246.0
