Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,Y
5.9605,36,4489,587,2714,721,-33.116974,173.936739,39629.46721444143,23963.95630648031,166880.92987998767,551821.905585375,508856.6037139775,188018.0
4.0617,50,1303,133,1008,778,35.7225525,108.380452,15595.600328897563,523158.40356361266,695683.1299386281,99258.16782570624,29570.663516027336,149552.0
3.1367,1,1856,523,3773,661,-11.825475,-70.977258,13563.19146958154,17838.19811760612,1140.45327093282,258303.87289791857,396680.72256967647,217062.0
4.9482,28,3431,453,1061,820,-1.921088,-145.797374,18634.848206573482,23240.20966522476,155261.00969577965,563843.2089627659,584814.2027035342,210068.0
2.7981,11,964,146,1293,652,-0.1799325,84.373658,61847.44744630456,507187.0191172058,843120.3185713226,632546.959586185,365240.85215180065,306389.0
4.235,20,9241,274,968,448,-74.2251305,21.441885,29107.659857911152,2196.00506791643,107625.10385329122,572590.5318854863,525884.2268991349,218361.0
2.3607,3,858,299,1257,236,-2.737838,7.896805,233549.24913103814,528267.1782488987,624325.58482276,780868.3595847555,248557.5530058129,410578.0
5.2949,34,4076,368,3529,839,-83.5429955,-51.622376,29369.230116656916,23259.227683667617,195018.2153848536,533552.9663723881,532979.5242500405,231864.0
4.3296,11,4875,527,980,593,-89.02453,131.928687,4290.221371603726,468974.3531091961,700649.6774146942,446900.2536597679,773789.344610743,68955.0
2.7038,48,1099,437,1636,489,-3.561927,75.265244,3000.089460702158,554365.7342010961,779395.7555120147,122432.91282464174,7810.114563435243,100626.0
2.3724,48,4514,424,1938,453,-41.9240625,165.677892,34488.01028410571,66120.93564985995,181386.49505070975,374365.72362419666,761881.0362172518,225678.0
4.3734,3,1497,68,1552,629,87.697211,-111.773094,32044.383866657627,2196.00506791643,208138.91743268963,546485.0944616952,540379.470881456,390144.0
4.7705,5,2580,654,10334,443,-7.8330155,-123.313192,8717.629939762173,40239.49346856284,207575.72000129832,499009.7912524421,744290.5289561985,174096.0
6.3771,42,7269,535,1139,705,39.502938,-88.56508,46036.89164771381,589104.6306718728,158564.29250526224,726871.5395069198,425298.13554509287,114886.0
2.7525,33,1854,374,967,499,25.465685,126.222801,42066.62731773878,2196.00506791643,123735.98625347277,578750.5893956142,582428.2557568495,166813.0
4.8436,17,3115,288,10132,460,62.2829005,-7.588488,6393.484599187921,293391.56833812065,691438.7620744269,747756.485263556,218398.21125126004,56294.0
2.2951,26,3095,454,2485,342,53.568039,-14.941684,11738.32315129153,495521.5648174728,675663.6059909218,93786.26251515368,9789.643245759231,69930.0
3.799,14,1625,430,1092,159,57.881255,-17.872278,26944.1150161618,463217.0642047031,774687.7879106712,695494.4989038752,239736.972848444,80088.0
2.7802,9,26,352,1236,221,24.945926,-35.250858,206331.86689858013,482141.8361056742,1140.45327093282,57060.61381164481,456.141312556066,163767.0
3.6376,5,5902,169,428,254,-37.840348,-115.495141,16770.642229979745,558224.6211979799,608967.3440244822,107268.73489657807,456.141312556066,112520.0
7.1205,23,2279,1377,2362,698,85.2787645,118.020479,33877.087930032765,19042.364339301123,154715.92069277208,529294.0837339925,614709.6350152348,135038.0
4.9282,1,2714,925,1497,841,9.6364605,82.723021,7331.69073017436,565573.353362926,1140.45327093282,484700.3958185159,787004.2422237651,338673.0
6.3784,38,1953,560,845,470,34.8693055,-136.382043,8810.980802369078,44878.07405010298,124609.72259405031,526493.0251116231,769802.0444878999,116673.0
4.5291,16,1305,382,1547,624,30.131549,-128.423841,13600.228012937598,253069.7155805935,265741.3848777769,107704.51329076031,340569.69377604447,416274.0
5.3454,35,2311,351,1375,683,11.601199,-12.40305,25584.13076885242,13089.082332900272,173074.13617034495,540575.1975115547,571759.9209240504,278264.0
3.981,37,2706,691,2177,776,-67.9153355,51.760243,28372.688079193955,28190.498251240195,165035.08168813045,538554.4428465327,569517.0386561571,234238.0
9.3337,49,1598,661,1007,818,-13.2915375,-63.610792,85552.90888846689,617796.1236739353,9655.086594126205,724782.9570703164,338997.99597152515,148581.0
6.8871,17,7501,700,2307,294,-51.618525,89.492164,38389.05383218637,2196.00506791643,114965.62647495724,553663.163972378,653347.2532411619,161231.0
7.808,44,1250,629,2985,495,5.243069,153.275351,44115.74463286693,2196.00506791643,125280.24231593971,564621.1574440476,517816.05406351516,184582.0
7.4557,36,2113,368,942,333,-34.4049415,167.280999,10910.127789691534,107016.30101197677,737237.9227931539,323849.8340947785,38299.797649885615,105656.0
4.7673,40,2522,619,4078,339,74.0589615,-97.586962,42636.59008031539,2196.00506791643,185720.41641848255,548821.5091748158,560090.7532686125,218833.0
3.1137,30,5163,984,2592,852,-43.351493,15.633077,20510.44635788813,2196.00506791643,187652.00872364244,532540.094785763,580357.1193402415,188810.0
13.3203,31,3752,803,1499,313,80.8765315,155.603338,39138.832219734686,21971.385093702957,151796.88399192644,580805.62974012,93708.98206871995,166088.0
1.5627,9,3864,348,1883,542,-71.001909,-44.337696,30898.026817759885,567215.8479801617,731586.921042141,71810.7636186536,101004.120294503,372664.0
