Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,Y
5.4668,36,3497,747,1590,533,-33.116974,173.936739,17700.255305724793,23494.002043552722,88989.90002081753,648969.8971912833,681209.1267070599,259984.0
3.2022,28,3361,912,2113,831,35.7225525,108.380452,60138.15924061908,98805.35282638096,244791.88486826906,332224.29503014893,426804.9567510354,135246.0
1.9346,17,6608,1634,4509,1309,-11.825475,-70.977258,53958.20633883877,13617.02851515769,85788.852408516,613294.39371638,795185.0765403324,182809.0
4.7671,29,1894,336,907,311,-1.921088,-145.797374,16564.409779782734,159594.67931892216,878211.1059342222,67153.47563782214,72110.07058006349,351579.0
3.9238,34,1561,425,611,327,-0.1799325,84.373658,38394.72977974661,236313.5311483326,546146.7141967592,247336.96414755553,293069.86723295203,241064.0
3.2978,6,722,171,402,178,-74.2251305,21.441885,49387.001797806566,38724.804447497176,54329.28515472482,663814.3682030939,795728.0318026412,155210.0
3.2534,27,1077,117,783,136,-2.737838,7.896805,235538.0678275637,230627.2805508313,666508.6014851135,332140.9937894406,390154.957056366,82193.0
4.0206,30,804,152,365,92,-83.5429955,-51.622376,72674.67018185885,271261.24134355213,722434.579269303,177384.79964125104,255728.6638502305,180040.0
1.6311,18,2440,576,956,458,-89.02453,131.928687,32143.18791870057,675501.3369106943,460403.4637208955,398484.70208916924,245353.24996315292,131882.0
1.2579,39,1535,447,1289,486,-3.561927,75.265244,182333.8143525044,13462.2132603623,104087.00167089021,780945.9216200524,787066.0264401827,29813.0
2.9625,33,4907,864,2419,761,-41.9240625,165.677892,3546.781571982099,838078.5838121802,294524.5336769086,418595.5647274827,99674.26524619797,111558.0
1.7399,46,515,120,638,159,87.697211,-111.773094,13884.701231940748,377102.97983749927,425076.0983390623,279216.7144797132,419784.5595708038,72009.0
5.8982,47,1652,419,1644,453,-7.8330155,-123.313192,1137.242756394014,30610.26885867556,128863.71713141438,291649.21109907475,180819.46255519675,436205.0
1.1763,36,1701,447,1339,331,39.502938,-88.56508,264195.759299269,409535.2479252564,797988.2823380324,197463.91551392214,137900.20965880383,57462.0
5.1502,10,2213,424,567,329,25.465685,126.222801,81806.87826824142,210764.92533531008,132439.42754276906,522500.3477731723,666389.8378530521,310763.0
5.244,17,7009,1309,4640,1392,62.2829005,-7.588488,1532.5584029170423,5467.090023676753,20346.993974785924,655280.4394561286,753049.827014227,404129.0
2.1508,25,682,139,579,175,53.568039,-14.941684,79874.8634293868,741764.8095431236,866473.459080673,46911.557388355875,42673.485405746025,247940.0
4.4117,6,4018,997,1354,659,57.881255,-17.872278,18220.788162573102,41360.2468125889,108487.65434952288,611756.3176847378,743756.0667687814,345056.0
3.4118,10,1978,500,1778,571,24.945926,-35.250858,61016.25432599218,73145.52910284688,239005.53225116263,433196.5852829717,525582.5104006507,110366.0
5.3807,39,2227,352,635,398,-37.840348,-115.495141,28600.139837887713,484319.6125472309,163601.84578635066,209914.03740289345,216434.64915607305,357255.0
3.1824,35,2073,361,892,311,85.2787645,118.020479,102261.2026234351,347927.57361188275,111899.95933933003,486176.3421992287,367063.3899945718,97825.0
2.841,37,2949,769,2325,688,9.6364605,82.723021,4981.901437411791,73501.1088425706,338814.2687256769,442892.36639780586,551987.4645146558,165594.0
3.8761,46,4669,964,2409,775,34.8693055,-136.382043,41791.24798754648,10648.99458692711,88909.8009287935,312027.18303857034,498308.31264527625,414061.0
2.4567,21,1948,508,1785,601,30.131549,-128.423841,14245.27615957405,33412.804747431524,325142.6942045439,340460.710751788,461680.3225573155,195240.0
5.3909,39,3045,659,1655,681,11.601199,-12.40305,8462.05560425843,6718.846757742353,95620.810564012,406513.37730945536,532098.6381951908,376535.0
3.2505,22,4669,838,2132,744,-67.9153355,51.760243,83187.84275692489,494752.6994245059,316503.65180170326,502835.6544588038,515534.29789210105,87984.0
3.8279,14,2577,456,866,420,-13.2915375,-63.610792,34304.538162855344,228045.25164211902,668724.0915764304,145629.65110642713,154676.4292523193,308111.0
6.0092,33,1017,148,383,185,-51.618525,89.492164,400.0794109082205,781136.7040059027,877143.5047634151,22866.8357942358,3037.712483326495,380629.0
2.7314,48,760,150,446,161,5.243069,153.275351,20897.312771567696,26408.254571814876,321511.98768916243,431880.81613221165,406469.8494129909,180627.0
4.5832,7,716,148,216,140,-34.4049415,167.280999,36368.39783822337,246515.5969052888,301770.39775138855,396555.29603928287,520845.668894107,115658.0
4.7876,46,845,152,413,146,74.0589615,-97.586962,11627.827312676049,26475.178917619774,282704.9767153699,255651.46807625575,280522.33710804157,319633.0
3.0409,16,1256,292,715,289,-43.351493,15.633077,5970.803992882812,179166.76919262842,513819.01176393457,21521.35785137547,57036.88077111353,234134.0
4.8153,30,3210,555,1510,563,80.8765315,155.603338,34031.74684351793,166802.941969245,350221.26661970635,344911.22728053376,533225.5240278773,219975.0
5.1814,29,6047,1019,2801,894,-71.001909,-44.337696,10783.886030571723,329406.8373826948,76519.03255143348,759196.6458650477,735252.234425817,188038.0
2.9096,10,1683,290,743,323,-74.4564875,-136.561343,62522.25767572134,98121.37849793688,52535.78775053351,709080.5029996663,833557.3006603369,97986.0
3.2458,45,2929,622,1769,677,82.661177,-8.432934,53297.58617663894,648899.1027228375,955221.9414954684,24610.45835447062,86875.68509851037,76365.0
12.0783,16,9901,1723,3834,1566,-57.2427365,8.556946,21166.189254350305,4969.3761676091235,60073.551019056424,530093.8613573507,704351.9749347873,419078.0
4.5034,32,3592,739,1366,563,-9.671558,-172.597457,171621.8270576077,825462.2176129865,1064257.6173975486,5663.624061650317,7653.48518391087,131368.0
