Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Y
4.0,85,19.5,77.0,2,991.67,0,3,5.0,2,1
61.0,103,6.0,92.0,0,1025.47,14,1,5.5,1,0
44.0,65,3.0,19.0,3,1023.68,5,1,8.0,0,0
11.0,79,12.0,56.0,2,1004.1,1,3,4.0,2,2
23.0,35,2.5,81.0,2,1187.76,12,0,5.0,1,3
30.0,73,18.0,78.0,2,1015.78,3,2,1.5,2,2
22.0,75,13.0,52.0,2,999.74,0,3,5.0,1,2
34.0,68,7.0,39.0,3,1008.96,1,2,8.5,2,3
36.0,69,2.0,2.0,3,1029.7,5,1,8.5,2,0
33.0,63,10.0,39.0,2,1003.66,4,0,8.0,0,3
30.0,52,4.0,49.0,2,1017.81,2,0,6.0,1,3
23.0,36,4.5,19.0,0,1016.75,11,2,7.0,0,0
22.0,24,1.5,7.0,0,1029.6,5,1,6.5,2,0
-8.0,75,14.0,46.0,3,822.72,14,0,16.5,2,3
26.0,77,6.0,55.0,3,1080.02,1,1,14.5,2,0
22.0,87,11.5,68.0,2,1006.67,1,0,3.5,1,2
10.0,72,7.5,17.0,3,1009.62,4,2,8.0,1,3
63.0,76,7.0,82.0,2,1019.46,13,2,1.5,1,3
27.0,49,7.5,15.0,0,1025.36,6,2,9.5,1,0
67.0,94,23.0,80.0,3,998.45,13,0,1.0,1,2
-11.0,71,7.5,14.0,3,874.63,2,1,15.5,2,1
15.0,76,5.5,99.0,2,993.0,1,0,4.5,2,2
-7.0,82,18.5,55.0,3,992.44,0,3,1.0,1,1
21.0,77,15.0,75.0,2,1002.98,3,0,2.5,0,2
15.0,72,10.0,66.0,3,1012.18,2,0,2.5,2,2
11.0,65,8.0,82.0,2,994.61,0,3,4.0,2,2
30.0,79,5.0,85.0,2,991.31,2,2,4.5,2,2
11.0,102,31.0,85.0,3,995.1,9,3,1.5,1,2
17.0,89,15.5,65.0,2,1014.24,1,2,5.0,1,2
11.0,85,19.0,60.0,2,1012.25,2,3,2.5,1,2
16.0,85,9.5,65.0,2,1014.99,2,2,2.0,2,2
68.0,96,33.5,79.0,2,1002.97,8,2,2.0,1,2
30.0,56,12.0,33.0,2,1001.35,2,2,9.0,0,3
26.0,78,16.0,73.0,2,995.51,0,2,4.5,1,2
33.0,55,0.0,18.0,3,1006.11,3,0,7.0,2,3
36.0,52,7.0,4.0,3,1024.01,5,2,7.0,2,0
1.0,95,2.5,83.0,2,997.12,0,3,1.5,1,1
15.0,97,23.0,91.0,2,1009.36,13,3,2.5,2,2
0.0,86,9.0,79.0,2,995.35,0,3,1.0,1,1
31.0,57,5.0,7.0,0,1018.43,11,1,6.0,2,0
20.0,87,20.0,52.0,2,1014.67,1,0,4.5,0,2
24.0,78,13.0,89.0,2,1011.2,1,1,4.5,2,2
2.0,84,1.5,70.0,2,995.9,0,3,3.0,1,1
4.0,44,13.5,35.0,1,1104.13,7,1,13.0,0,0
-2.0,87,3.5,90.0,2,997.87,0,3,2.5,2,1
28.0,47,7.0,11.0,0,1020.89,6,2,7.0,1,0
32.0,71,19.0,92.0,2,1003.24,3,2,2.5,2,2
33.0,67,4.5,46.0,2,1013.32,4,1,9.0,2,3
53.0,84,7.5,74.0,0,1017.74,9,0,6.5,1,0
38.0,74,11.5,35.0,1,940.77,12,1,11.5,1,2
66.0,83,20.5,109.0,3,1005.29,10,2,6.5,1,3
22.0,68,6.5,58.0,2,809.03,1,1,10.0,2,1
0.0,60,17.5,57.0,2,991.36,0,3,1.0,2,1
10.0,44,2.0,70.0,3,1019.65,4,3,13.5,2,3
56.0,102,43.5,74.0,2,1019.56,7,3,4.0,1,2
-4.0,89,12.5,73.0,2,983.3,1,3,4.0,1,1
27.0,72,8.5,58.0,3,994.21,0,2,2.0,0,2
-5.0,76,15.0,73.0,2,997.76,1,3,3.5,1,1
19.0,78,19.0,71.0,2,1016.53,1,1,1.5,1,2
-5.0,93,16.5,63.0,2,992.47,1,3,2.0,2,1
-2.0,101,12.0,75.0,2,989.34,8,3,3.5,1,1
11.0,57,5.5,15.0,3,1007.21,4,2,6.0,2,3
37.0,34,4.5,18.0,0,1010.87,11,0,8.5,2,0
-2.0,75,8.0,80.0,2,987.92,1,3,4.0,1,1
30.0,25,8.5,4.0,0,1023.11,8,3,9.5,1,0
13.0,52,9.5,42.0,3,1012.28,3,3,5.0,2,3
11.0,65,12.5,45.0,2,1015.64,3,2,7.5,2,3
15.0,66,8.0,59.0,2,1006.99,2,0,5.0,1,2
-4.0,68,5.5,71.0,2,999.3,0,3,3.5,2,1
29.0,51,11.5,14.0,3,1016.46,3,3,5.0,0,3
7.0,27,7.5,74.0,2,814.28,3,1,5.0,1,3
0.0,70,14.0,54.0,2,993.32,1,3,4.5,1,1
23.0,94,17.0,79.0,3,1008.79,13,0,9.5,1,3
-3.0,103,10.0,102.0,3,981.12,13,3,2.0,1,1
49.0,98,12.0,76.0,0,1026.49,7,3,5.5,1,0
16.0,82,27.5,81.0,2,995.65,3,0,2.0,0,2
27.0,68,14.0,97.0,2,1014.56,0,1,2.5,2,2
35.0,83,16.0,75.0,0,1027.52,0,0,6.0,1,0
30.0,76,10.0,41.0,2,1005.59,3,2,5.5,2,3
-6.0,99,2.5,83.0,3,985.79,1,3,3.0,2,1
25.0,40,0.5,12.0,3,1010.06,9,1,9.5,1,0
32.0,77,12.5,87.0,3,1023.85,10,1,1.0,2,0
-1.0,81,7.0,59.0,2,984.68,1,3,1.0,1,1
28.0,59,5.5,10.0,0,1013.58,11,2,8.5,2,0
67.0,82,32.5,109.0,2,999.14,14,1,0.5,1,2
23.0,25,2.5,12.0,3,1012.08,8,1,6.5,1,0
-9.0,36,5.0,69.0,1,899.5,14,1,7.0,2,2
14.0,76,9.5,75.0,2,1009.77,1,2,3.0,0,2
-1.0,76,13.5,60.0,2,993.26,1,3,3.0,1,1
-6.0,77,14.5,73.0,2,981.18,1,3,3.5,1,1
-2.0,86,1.5,88.0,2,988.84,0,3,2.0,1,1
-12.0,73,10.5,18.0,3,968.94,8,2,17.0,0,1
31.0,36,5.5,19.0,3,1015.03,9,0,8.5,2,0
-5.0,61,14.0,63.0,2,999.86,0,3,3.5,1,1
40.0,35,6.5,0.0,3,1029.38,5,3,8.5,0,0
-4.0,34,11.0,42.0,2,1150.77,8,2,15.0,1,1
14.0,103,12.5,96.0,0,1021.66,5,3,9.0,2,0
38.0,39,9.0,10.0,0,1018.1,10,2,7.0,0,0
19.0,89,16.0,96.0,3,1010.48,1,1,1.5,2,2
21.0,97,19.5,74.0,2,996.4,3,1,3.5,1,2
12.0,85,18.0,86.0,3,997.97,2,1,4.5,0,2
22.0,67,4.5,37.0,2,1013.23,2,1,8.0,1,3
-5.0,93,18.0,60.0,2,988.73,0,3,4.5,2,1
26.0,64,10.5,40.0,2,1015.27,3,1,6.0,2,3
1.0,102,35.0,90.0,2,988.38,5,3,4.0,2,1
22.0,75,10.0,88.0,2,1018.77,3,2,1.0,1,2
15.0,93,6.0,68.0,3,996.13,3,0,3.0,2,2
41.0,75,6.5,92.0,2,1026.83,1,0,16.5,2,1
26.0,82,18.5,90.0,2,994.41,2,1,3.0,2,2
15.0,89,32.0,86.0,3,1016.42,1,2,2.0,2,2
15.0,52,8.5,41.0,2,1000.77,3,3,8.0,1,3
21.0,66,8.0,52.0,2,1003.77,0,2,2.0,1,2
31.0,55,7.0,7.0,3,1013.42,9,3,6.0,2,0
39.0,49,3.5,4.0,3,1019.35,5,3,9.0,2,0
28.0,58,6.5,11.0,0,1025.37,10,2,9.0,1,0
22.0,71,8.0,32.0,3,1001.86,1,3,5.5,1,3
18.0,70,4.0,93.0,1,969.49,11,3,10.0,1,2
31.0,94,16.5,65.0,2,1006.65,3,1,5.0,2,2
25.0,83,19.0,95.0,3,1002.21,2,0,3.0,2,2
-2.0,60,9.5,72.0,3,997.74,0,3,2.0,2,1
-3.0,80,11.0,52.0,2,982.1,0,3,2.0,1,1
31.0,91,29.5,104.0,2,995.61,8,2,4.5,1,2
20.0,61,16.5,94.0,3,1001.79,0,0,2.5,0,2
54.0,98,16.5,89.0,2,1008.89,2,0,7.0,1,3
26.0,90,11.5,75.0,3,1011.38,2,1,3.0,1,2
20.0,51,12.5,45.0,3,1019.45,2,3,6.0,2,3
43.0,39,0.5,6.0,0,1013.52,5,1,6.0,1,0
32.0,73,9.0,77.0,2,998.17,3,3,2.5,0,2
31.0,59,8.5,5.0,0,1014.26,8,0,9.5,0,0
