Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,Y
7.8917,48,4312,617,1237,436,-33.116974,173.936739,1031.3944308737446,535938.8767170201,705872.273606307,44626.632672402484,1046.6883580283538,357269.0
4.659,41,799,182,468,164,35.7225525,108.380452,14767.891463821394,12917.00543024181,176233.25756834153,503430.8169086752,580302.1858897828,240772.0
1.4065,34,3448,1048,2318,1115,-11.825475,-70.977258,22406.054940683625,4035.8981463999808,188813.39011755513,491248.06056123937,546386.1787819095,109504.0
5.5115,24,1801,434,569,452,-1.921088,-145.797374,9083.643830552037,54561.93491389669,157996.53021458656,498265.83140023006,605189.9750271046,333712.0
1.3,41,866,258,888,180,-0.1799325,84.373658,8179.829968369731,26674.86048691895,218841.39676793758,469111.04836977413,530842.1790918079,149623.0
3.7924,33,1503,343,986,430,-74.2251305,21.441885,11627.03693147574,34654.39057148529,154888.0024628478,539569.1159185494,590654.0241858071,186850.0
2.4287,35,2833,702,2354,546,-2.737838,7.896805,61328.45686044374,36124.069317997346,181241.84732844838,474446.04440158326,542612.4141015318,97640.0
3.9548,8,2984,633,1425,646,-83.5429955,-51.622376,163349.8252936245,318539.51028004655,723113.3310267366,206545.14229697254,200285.63332568714,157926.0
2.5523,41,1588,403,1097,371,-89.02453,131.928687,3597.4316820025674,553245.8347674677,688221.1305379446,52524.1511059154,18510.095464677026,91391.0
2.7281,46,1261,332,834,288,-3.561927,75.265244,17100.48260824361,5615.805510358146,188298.67105405108,486854.1296955294,553975.6878037875,195577.0
4.0752,26,1991,350,845,369,-41.9240625,165.677892,17560.909205523945,29331.28078769957,155004.8520067692,536973.6476583182,589841.2864553205,285223.0
3.8236,16,1162,395,673,204,87.697211,-111.773094,181269.05980089243,335329.3825629569,536284.5361895564,241005.66180136608,287463.43486672384,105263.0
2.673,40,2105,564,1320,512,-7.8330155,-123.313192,6831.395217478057,37305.198206777844,143002.2743963801,545297.823486003,597053.9375944486,113822.0
2.8652,36,2080,299,1011,365,39.502938,-88.56508,18265.300289708663,8364.102543861783,180156.84687364617,485804.6453983366,559005.1865989675,250285.0
11.8756,48,1965,289,769,301,25.465685,126.222801,5798.82889707932,9519.72745850282,179798.52687067207,485003.8361324737,550238.4097491924,325423.0
2.185,18,503,210,226,103,62.2829005,-7.588488,58187.67022657558,573678.3805246121,799907.801359585,221645.08989264615,171988.9773376127,121951.0
1.9539,30,3599,1400,2092,850,53.568039,-14.941684,31761.077122918912,60646.745738056845,173856.92935850014,501353.4342138543,569939.8642079552,177284.0
